year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;41.0000;64.0000;139.000;20.0000;92.0000;
2005;1;1;2;40.0000;109.000;206.000;21.0000;92.0000;
2005;1;1;3;39.0000;86.0000;171.000;17.0000;92.0000;
2005;1;1;4;37.0000;63.0000;133.000;15.0000;92.0000;
2005;1;1;5;36.0000;51.0000;114.000;15.0000;92.0000;
2005;1;1;6;36.0000;45.0000;104.000;14.0000;92.0000;
2005;1;1;7;34.0000;54.0000;117.000;14.0000;92.0000;
2005;1;1;8;33.0000;61.0000;125.000;14.0000;92.0000;
2005;1;1;9;30.0000;49.0000;104.000;13.0000;92.0000;
2005;1;1;10;30.0000;37.0000;86.0000;14.0000;92.0000;
2005;1;1;11;37.0000;28.0000;80.0000;14.0000;92.0000;
2005;1;1;12;43.0000;25.0000;80.0000;17.0000;92.0000;
2005;1;1;13;40.0000;10.0000;56.0000;19.0000;92.0000;
2005;1;1;14;39.0000;5.00000;45.0000;22.0000;92.0000;
2005;1;1;15;50.0000;10.0000;65.0000;20.0000;92.0000;
2005;1;1;16;53.0000;9.00000;66.0000;20.0000;92.0000;
2005;1;1;17;56.0000;11.0000;72.0000;15.0000;92.0000;
2005;1;1;18;66.0000;88.0000;200.000;13.0000;92.0000;
2005;1;1;19;61.0000;76.0000;177.000;14.0000;92.0000;
2005;1;1;20;69.0000;167.000;324.000;16.0000;92.0000;
2005;1;1;21;60.0000;137.000;269.000;15.0000;92.0000;
2005;1;1;22;51.0000;100.000;204.000;15.0000;92.0000;
2005;1;1;23;53.0000;94.0000;196.000;15.0000;92.0000;
2005;1;1;24;47.0000;59.0000;136.000;15.0000;92.0000;
2005;1;2;1;45.0000;64.0000;142.000;14.0000;77.0000;
2005;1;2;2;43.0000;55.0000;127.000;14.0000;77.0000;
2005;1;2;3;36.0000;35.0000;89.0000;13.0000;77.0000;
2005;1;2;4;34.0000;25.0000;73.0000;13.0000;77.0000;
2005;1;2;5;32.0000;14.0000;53.0000;12.0000;77.0000;
2005;1;2;6;32.0000;17.0000;58.0000;12.0000;77.0000;
2005;1;2;7;30.0000;21.0000;62.0000;12.0000;77.0000;
2005;1;2;8;30.0000;26.0000;70.0000;12.0000;77.0000;
2005;1;2;9;29.0000;31.0000;77.0000;13.0000;77.0000;
2005;1;2;10;36.0000;41.0000;99.0000;14.0000;77.0000;
2005;1;2;11;47.0000;59.0000;137.000;15.0000;77.0000;
2005;1;2;12;45.0000;36.0000;99.0000;17.0000;77.0000;
2005;1;2;13;58.0000;49.0000;133.000;17.0000;77.0000;
2005;1;2;14;47.0000;8.00000;58.0000;23.0000;77.0000;
2005;1;2;15;49.0000;5.00000;57.0000;23.0000;77.0000;
2005;1;2;16;60.0000;14.0000;80.0000;20.0000;77.0000;
2005;1;2;17;66.0000;23.0000;101.000;15.0000;77.0000;
2005;1;2;18;69.0000;52.0000;148.000;14.0000;77.0000;
2005;1;2;19;72.0000;100.000;224.000;15.0000;77.0000;
