year;month;day;hour;NO2;NO;NOx;SO2;O3;PM10;
2005;1;1;1;42.0000;26.0000;81.0000;4.00000;12.0000;37.0000;
2005;1;1;2;41.0000;34.0000;92.0000;3.00000;12.0000;37.0000;
2005;1;1;3;43.0000;36.0000;97.0000;3.00000;12.0000;37.0000;
2005;1;1;4;43.0000;40.0000;103.000;4.00000;12.0000;37.0000;
2005;1;1;5;41.0000;37.0000;98.0000;4.00000;12.0000;37.0000;
2005;1;1;6;42.0000;42.0000;106.000;4.00000;12.0000;37.0000;
2005;1;1;7;40.0000;64.0000;138.000;7.00000;12.0000;37.0000;
2005;1;1;8;43.0000;76.0000;159.000;9.00000;11.0000;37.0000;
2005;1;1;9;38.0000;68.0000;142.000;9.00000;12.0000;37.0000;
2005;1;1;10;38.0000;60.0000;129.000;11.0000;13.0000;37.0000;
2005;1;1;11;43.0000;49.0000;118.000;13.0000;17.0000;37.0000;
2005;1;1;12;45.0000;34.0000;97.0000;12.0000;23.0000;37.0000;
2005;1;1;13;42.0000;21.0000;74.0000;8.00000;32.0000;37.0000;
2005;1;1;14;62.0000;37.0000;118.000;17.0000;31.0000;37.0000;
2005;1;1;15;32.0000;6.00000;42.0000;5.00000;55.0000;37.0000;
2005;1;1;16;48.0000;11.0000;65.0000;6.00000;42.0000;37.0000;
2005;1;1;17;75.0000;43.0000;140.000;7.00000;17.0000;37.0000;
2005;1;1;18;68.0000;42.0000;132.000;7.00000;15.0000;37.0000;
2005;1;1;19;70.0000;76.0000;187.000;8.00000;13.0000;37.0000;
2005;1;1;20;70.0000;100.000;222.000;8.00000;13.0000;37.0000;
2005;1;1;21;58.0000;43.0000;124.000;5.00000;12.0000;37.0000;
2005;1;1;22;52.0000;35.0000;105.000;4.00000;12.0000;37.0000;
2005;1;1;23;47.0000;31.0000;93.0000;3.00000;12.0000;37.0000;
2005;1;1;24;44.0000;19.0000;73.0000;3.00000;12.0000;37.0000;
2005;1;2;1;38.0000;21.0000;71.0000;2.00000;13.0000;73.0000;
2005;1;2;2;37.0000;18.0000;65.0000;2.00000;13.0000;73.0000;
2005;1;2;3;34.0000;11.0000;51.0000;3.00000;13.0000;73.0000;
2005;1;2;4;34.0000;8.00000;46.0000;2.00000;13.0000;73.0000;
2005;1;2;5;35.0000;12.0000;53.0000;2.00000;12.0000;73.0000;
2005;1;2;6;31.0000;18.0000;59.0000;3.00000;13.0000;73.0000;
2005;1;2;7;36.0000;42.0000;101.000;4.00000;12.0000;73.0000;
2005;1;2;8;38.0000;52.0000;118.000;5.00000;12.0000;73.0000;
2005;1;2;9;32.0000;35.0000;86.0000;4.00000;13.0000;73.0000;
2005;1;2;10;32.0000;36.0000;87.0000;7.00000;14.0000;73.0000;
2005;1;2;11;36.0000;33.0000;86.0000;8.00000;19.0000;73.0000;
2005;1;2;12;45.0000;41.0000;108.000;14.0000;20.0000;73.0000;
2005;1;2;13;43.0000;24.0000;80.0000;12.0000;30.0000;73.0000;
2005;1;2;14;43.0000;15.0000;67.0000;9.00000;37.0000;73.0000;
2005;1;2;15;47.0000;15.0000;70.0000;8.00000;35.0000;73.0000;
2005;1;2;16;63.0000;24.0000;100.000;9.00000;24.0000;73.0000;
2005;1;2;17;69.0000;34.0000;121.000;7.00000;15.0000;73.0000;
2005;1;2;18;71.0000;49.0000;146.000;7.00000;12.0000;73.0000;
2005;1;2;19;73.0000;87.0000;206.000;7.00000;12.0000;73.0000;
2005;1;2;20;75.0000;110.000;244.000;8.00000;12.0000;73.0000;
2005;1;2;21;63.0000;71.0000;172.000;7.00000;12.0000;73.0000;
2005;1;2;22;57.0000;64.0000;155.000;6.00000;12.0000;73.0000;
2005;1;2;23;49.0000;47.0000;121.000;4.00000;12.0000;73.0000;
2005;1;2;24;46.0000;33.0000;96.0000;4.00000;12.0000;73.0000;
2005;1;3;1;45.0000;38.0000;103.000;3.00000;12.0000;19.0000;
2005;1;3;2;43.0000;32.0000;93.0000;3.00000;12.0000;19.0000;
2005;1;3;3;40.0000;35.0000;94.0000;3.00000;11.0000;19.0000;
2005;1;3;4;33.0000;14.0000;55.0000;2.00000;12.0000;19.0000;
2005;1;3;5;32.0000;26.0000;72.0000;3.00000;12.0000;19.0000;
2005;1;3;6;31.0000;19.0000;59.0000;2.00000;12.0000;19.0000;
2005;1;3;7;39.0000;48.0000;112.000;5.00000;12.0000;19.0000;
2005;1;3;8;46.0000;78.0000;165.000;9.00000;12.0000;19.0000;
2005;1;3;9;46.0000;69.0000;151.000;8.00000;12.0000;19.0000;
2005;1;3;10;45.0000;63.0000;142.000;10.0000;14.0000;19.0000;
2005;1;3;11;50.0000;74.0000;164.000;12.0000;16.0000;19.0000;
2005;1;3;12;56.0000;60.0000;148.000;15.0000;19.0000;19.0000;
2005;1;3;13;42.0000;21.0000;73.0000;9.00000;32.0000;19.0000;
2005;1;3;14;42.0000;17.0000;68.0000;8.00000;38.0000;19.0000;
2005;1;3;15;35.0000;10.0000;51.0000;5.00000;48.0000;19.0000;
2005;1;3;16;31.0000;6.00000;41.0000;3.00000;47.0000;19.0000;
2005;1;3;17;60.0000;59.0000;151.000;6.00000;16.0000;19.0000;
2005;1;3;18;103.000;274.000;522.000;16.0000;13.0000;19.0000;
2005;1;3;19;100.000;256.000;491.000;16.0000;13.0000;19.0000;
2005;1;3;20;70.0000;84.0000;198.000;10.0000;12.0000;19.0000;
2005;1;3;21;65.0000;84.0000;194.000;11.0000;13.0000;19.0000;
2005;1;3;22;59.0000;62.0000;154.000;7.00000;13.0000;19.0000;
2005;1;3;23;49.0000;47.0000;120.000;4.00000;12.0000;19.0000;
2005;1;3;24;48.0000;52.0000;127.000;4.00000;12.0000;19.0000;
2005;1;4;1;45.0000;49.0000;120.000;3.00000;12.0000;61.0000;
2005;1;4;2;39.0000;23.0000;74.0000;3.00000;12.0000;61.0000;
2005;1;4;3;37.0000;21.0000;70.0000;3.00000;12.0000;61.0000;
2005;1;4;4;38.0000;24.0000;74.0000;3.00000;12.0000;61.0000;
2005;1;4;5;36.0000;21.0000;68.0000;3.00000;12.0000;61.0000;
2005;1;4;6;37.0000;33.0000;87.0000;3.00000;11.0000;61.0000;
2005;1;4;7;39.0000;59.0000;129.000;5.00000;12.0000;61.0000;
2005;1;4;8;47.0000;94.0000;191.000;7.00000;11.0000;61.0000;
2005;1;4;9;49.0000;106.000;210.000;8.00000;12.0000;61.0000;
2005;1;4;10;58.0000;141.000;272.000;13.0000;13.0000;61.0000;
2005;1;4;11;51.0000;101.000;206.000;13.0000;14.0000;61.0000;
2005;1;4;12;63.0000;97.0000;211.000;11.0000;17.0000;61.0000;
2005;1;4;13;85.0000;122.000;271.000;22.0000;17.0000;61.0000;
2005;1;4;14;65.0000;60.0000;156.000;14.0000;19.0000;61.0000;
2005;1;4;15;67.0000;57.0000;154.000;12.0000;18.0000;61.0000;
2005;1;4;16;66.0000;53.0000;147.000;10.0000;16.0000;61.0000;
2005;1;4;17;72.0000;107.000;235.000;11.0000;12.0000;61.0000;
2005;1;4;18;84.0000;183.000;363.000;14.0000;12.0000;61.0000;
2005;1;4;19;103.000;282.000;534.000;19.0000;12.0000;61.0000;
2005;1;4;20;107.000;351.000;644.000;20.0000;12.0000;61.0000;
2005;1;4;21;67.0000;101.000;220.000;9.00000;12.0000;61.0000;
2005;1;4;22;63.0000;94.0000;207.000;9.00000;13.0000;61.0000;
2005;1;4;23;48.0000;49.0000;123.000;4.00000;13.0000;61.0000;
2005;1;4;24;45.0000;49.0000;119.000;3.00000;12.0000;61.0000;
2005;1;5;1;41.0000;46.0000;111.000;3.00000;12.0000;77.0000;
2005;1;5;2;39.0000;42.0000;103.000;3.00000;12.0000;77.0000;
2005;1;5;3;32.0000;29.0000;76.0000;2.00000;12.0000;77.0000;
2005;1;5;4;32.0000;23.0000;67.0000;3.00000;12.0000;77.0000;
2005;1;5;5;33.0000;23.0000;68.0000;2.00000;12.0000;77.0000;
2005;1;5;6;34.0000;33.0000;84.0000;2.00000;12.0000;77.0000;
2005;1;5;7;35.0000;73.0000;147.000;6.00000;12.0000;77.0000;
2005;1;5;8;45.0000;113.000;218.000;9.00000;11.0000;77.0000;
2005;1;5;9;50.0000;125.000;240.000;11.0000;12.0000;77.0000;
2005;1;5;10;48.0000;109.000;214.000;12.0000;13.0000;77.0000;
2005;1;5;11;48.0000;98.0000;198.000;13.0000;14.0000;77.0000;
2005;1;5;12;55.0000;85.0000;185.000;15.0000;15.0000;77.0000;
2005;1;5;13;62.0000;79.0000;182.000;15.0000;16.0000;77.0000;
2005;1;5;14;75.0000;93.0000;218.000;19.0000;15.0000;77.0000;
2005;1;5;15;82.0000;118.000;261.000;15.0000;14.0000;77.0000;
2005;1;5;16;97.0000;212.000;420.000;16.0000;13.0000;77.0000;
2005;1;5;17;78.0000;165.000;331.000;13.0000;12.0000;77.0000;
2005;1;5;18;92.0000;276.000;514.000;16.0000;13.0000;77.0000;
2005;1;5;19;91.0000;277.000;515.000;15.0000;12.0000;77.0000;
2005;1;5;20;73.0000;151.000;304.000;9.00000;12.0000;77.0000;
2005;1;5;21;72.0000;136.000;280.000;9.00000;12.0000;77.0000;
2005;1;5;22;65.0000;132.000;268.000;8.00000;12.0000;77.0000;
2005;1;5;23;55.0000;102.000;212.000;7.00000;12.0000;77.0000;
2005;1;5;24;52.0000;99.0000;203.000;6.00000;12.0000;77.0000;
2005;1;6;1;54.0000;101.000;208.000;6.00000;12.0000;80.0000;
2005;1;6;2;47.0000;80.0000;169.000;5.00000;12.0000;80.0000;
2005;1;6;3;37.0000;62.0000;131.000;3.00000;12.0000;80.0000;
2005;1;6;4;38.0000;71.0000;147.000;3.00000;12.0000;80.0000;
