year;month;day;hour;NO2;NO;NOx;O3;
2005;1;1;1;77.0000;72.0000;188.000;25.0000;
2005;1;1;2;80.0000;72.0000;191.000;23.0000;
2005;1;1;3;70.0000;58.0000;160.000;23.0000;
2005;1;1;4;63.0000;43.0000;129.000;30.0000;
2005;1;1;5;54.0000;39.0000;115.000;33.0000;
2005;1;1;6;52.0000;37.0000;109.000;36.0000;
2005;1;1;7;53.0000;39.0000;112.000;32.0000;
2005;1;1;8;50.0000;41.0000;113.000;31.0000;
2005;1;1;9;59.0000;49.0000;135.000;33.0000;
2005;1;1;10;69.0000;62.0000;165.000;27.0000;
2005;1;1;11;78.0000;41.0000;141.000;30.0000;
2005;1;1;12;77.0000;38.0000;136.000;28.0000;
2005;1;1;13;77.0000;33.0000;127.000;31.0000;
2005;1;1;14;61.0000;21.0000;93.0000;41.0000;
2005;1;1;15;64.0000;17.0000;90.0000;42.0000;
2005;1;1;16;76.0000;15.0000;100.000;36.0000;
2005;1;1;17;100.000;27.0000;141.000;28.0000;
2005;1;1;18;75.0000;17.0000;101.000;29.0000;
2005;1;1;19;69.0000;15.0000;93.0000;35.0000;
2005;1;1;20;54.0000;13.0000;74.0000;42.0000;
2005;1;1;21;72.0000;29.0000;117.000;34.0000;
2005;1;1;22;66.0000;30.0000;113.000;37.0000;
2005;1;1;23;69.0000;50.0000;146.000;28.0000;
2005;1;1;24;90.0000;59.0000;181.000;27.0000;
2005;1;2;1;84.0000;50.0000;160.000;27.0000;
2005;1;2;2;86.0000;39.0000;145.000;31.0000;
2005;1;2;3;73.0000;39.0000;133.000;27.0000;
2005;1;2;4;66.0000;36.0000;121.000;31.0000;
2005;1;2;5;58.0000;21.0000;90.0000;32.0000;
2005;1;2;6;48.0000;22.0000;82.0000;34.0000;
2005;1;2;7;47.0000;17.0000;73.0000;38.0000;
2005;1;2;8;42.0000;20.0000;73.0000;35.0000;
2005;1;2;9;43.0000;25.0000;81.0000;43.0000;
2005;1;2;10;50.0000;38.0000;109.000;31.0000;
2005;1;2;11;58.0000;32.0000;107.000;29.0000;
2005;1;2;12;49.0000;18.0000;77.0000;46.0000;
2005;1;2;13;49.0000;19.0000;78.0000;42.0000;
2005;1;2;14;30.0000;11.0000;47.0000;60.0000;
2005;1;2;15;20.0000;8.00000;32.0000;67.0000;
2005;1;2;16;23.0000;7.00000;34.0000;71.0000;
2005;1;2;17;29.0000;6.00000;39.0000;65.0000;
2005;1;2;18;27.0000;6.00000;37.0000;55.0000;
2005;1;2;19;23.0000;7.00000;33.0000;51.0000;
2005;1;2;20;38.0000;9.00000;51.0000;41.0000;
2005;1;2;21;37.0000;7.00000;48.0000;40.0000;
2005;1;2;22;73.0000;48.0000;146.000;26.0000;
2005;1;2;23;82.0000;71.0000;190.000;20.0000;
2005;1;2;24;80.0000;68.0000;184.000;21.0000;
2005;1;3;1;14.0000;6.00000;23.0000;62.0000;
2005;1;3;2;5.00000;6.00000;14.0000;75.0000;
2005;1;3;3;5.00000;5.00000;12.0000;75.0000;
2005;1;3;4;13.0000;4.00000;19.0000;62.0000;
2005;1;3;5;6.00000;4.00000;12.0000;71.0000;
2005;1;3;6;24.0000;5.00000;32.0000;67.0000;
2005;1;3;7;44.0000;6.00000;54.0000;56.0000;
2005;1;3;8;42.0000;13.0000;62.0000;50.0000;
2005;1;3;9;63.0000;36.0000;118.000;38.0000;
2005;1;3;10;64.0000;29.0000;109.000;37.0000;
2005;1;3;11;49.0000;17.0000;75.0000;52.0000;
2005;1;3;12;22.0000;8.00000;35.0000;68.0000;
2005;1;3;13;17.0000;8.00000;28.0000;68.0000;
2005;1;3;14;17.0000;10.0000;32.0000;65.0000;
