year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;56.0000;170.000;317.000;7.00000;477.000;
2005;1;1;2;58.0000;211.000;382.000;8.00000;740.000;
2005;1;1;3;62.0000;190.000;353.000;7.00000;737.000;
2005;1;1;4;50.0000;164.000;302.000;7.00000;558.000;
2005;1;1;5;50.0000;131.000;252.000;6.00000;438.000;
2005;1;1;6;44.0000;105.000;204.000;4.00000;286.000;
2005;1;1;7;43.0000;120.000;228.000;4.00000;245.000;
2005;1;1;8;44.0000;123.000;232.000;4.00000;264.000;
2005;1;1;9;43.0000;85.0000;173.000;4.00000;149.000;
2005;1;1;10;46.0000;66.0000;146.000;3.00000;115.000;
2005;1;1;11;44.0000;32.0000;93.0000;5.00000;72.0000;
2005;1;1;12;41.0000;17.0000;67.0000;10.0000;50.0000;
2005;1;1;13;38.0000;8.00000;51.0000;18.0000;48.0000;
2005;1;1;14;50.0000;15.0000;73.0000;18.0000;84.0000;
2005;1;1;15;64.0000;20.0000;95.0000;14.0000;128.000;
2005;1;1;16;68.0000;19.0000;97.0000;12.0000;137.000;
2005;1;1;17;74.0000;39.0000;135.000;6.00000;150.000;
2005;1;1;18;73.0000;93.0000;216.000;6.00000;136.000;
2005;1;1;19;82.0000;135.000;288.000;8.00000;162.000;
2005;1;1;20;91.0000;190.000;382.000;8.00000;197.000;
2005;1;1;21;84.0000;132.000;287.000;7.00000;184.000;
2005;1;1;22;71.0000;127.000;266.000;7.00000;153.000;
2005;1;1;23;72.0000;150.000;303.000;7.00000;168.000;
2005;1;1;24;58.0000;96.0000;206.000;7.00000;130.000;
2005;1;2;1;49.0000;73.0000;161.000;6.00000;92.0000;
2005;1;2;2;47.0000;86.0000;180.000;6.00000;86.0000;
2005;1;2;3;44.0000;45.0000;113.000;6.00000;65.0000;
2005;1;2;4;44.0000;59.0000;134.000;7.00000;76.0000;
2005;1;2;5;43.0000;58.0000;133.000;5.00000;79.0000;
2005;1;2;6;43.0000;66.0000;145.000;5.00000;80.0000;
2005;1;2;7;42.0000;76.0000;159.000;4.00000;70.0000;
2005;1;2;8;41.0000;87.0000;174.000;2.00000;58.0000;
2005;1;2;9;40.0000;76.0000;156.000;3.00000;47.0000;
2005;1;2;10;45.0000;75.0000;160.000;3.00000;42.0000;
2005;1;2;11;43.0000;30.0000;89.0000;5.00000;40.0000;
2005;1;2;12;43.0000;19.0000;72.0000;12.0000;21.0000;
2005;1;2;13;40.0000;8.00000;53.0000;22.0000;37.0000;
2005;1;2;14;26.0000;3.00000;31.0000;36.0000;15.0000;
2005;1;2;15;23.0000;6.00000;32.0000;38.0000;35.0000;
2005;1;2;16;25.0000;9.00000;38.0000;36.0000;20.0000;
2005;1;2;17;47.0000;49.0000;122.000;13.0000;32.0000;
2005;1;2;18;69.0000;133.000;273.000;4.00000;57.0000;
2005;1;2;19;74.0000;182.000;354.000;5.00000;72.0000;
2005;1;2;20;71.0000;138.000;283.000;5.00000;74.0000;
2005;1;2;21;66.0000;128.000;262.000;4.00000;71.0000;
2005;1;2;22;60.0000;131.000;260.000;6.00000;95.0000;
2005;1;2;23;57.0000;139.000;270.000;6.00000;108.000;
2005;1;2;24;55.0000;119.000;238.000;5.00000;117.000;
2005;1;3;1;23.0000;5.00000;31.0000;31.0000;7.00000;
2005;1;3;2;1.00000;0.000000;2.00000;58.0000;0.000000;
2005;1;3;3;1.00000;1.00000;2.00000;59.0000;0.000000;
2005;1;3;4;2.00000;2.00000;4.00000;55.0000;0.000000;
2005;1;3;5;4.00000;2.00000;7.00000;43.0000;3.00000;
2005;1;3;6;22.0000;6.00000;31.0000;25.0000;2.00000;
2005;1;3;7;45.0000;20.0000;76.0000;10.0000;13.0000;
2005;1;3;8;55.0000;48.0000;128.000;3.00000;19.0000;
2005;1;3;9;68.0000;127.000;263.000;5.00000;45.0000;
2005;1;3;10;65.0000;115.000;242.000;4.00000;63.0000;
2005;1;3;11;52.0000;39.0000;112.000;11.0000;29.0000;
2005;1;3;12;31.0000;8.00000;43.0000;31.0000;9.00000;
2005;1;3;13;46.0000;17.0000;72.0000;24.0000;27.0000;
2005;1;3;14;30.0000;10.0000;45.0000;35.0000;6.00000;
2005;1;3;15;30.0000;13.0000;50.0000;34.0000;21.0000;
2005;1;3;16;37.0000;14.0000;59.0000;27.0000;18.0000;
2005;1;3;17;52.0000;23.0000;87.0000;11.0000;35.0000;
2005;1;3;18;56.0000;31.0000;104.000;5.00000;34.0000;
2005;1;3;19;64.0000;61.0000;158.000;4.00000;38.0000;
2005;1;3;20;65.0000;67.0000;168.000;5.00000;45.0000;
2005;1;3;21;63.0000;46.0000;134.000;5.00000;24.0000;
2005;1;3;22;60.0000;39.0000;120.000;5.00000;36.0000;
2005;1;3;23;62.0000;68.0000;166.000;7.00000;51.0000;
2005;1;3;24;60.0000;78.0000;179.000;7.00000;56.0000;
2005;1;4;1;50.0000;44.0000;117.000;8.00000;28.0000;
