year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;58.0000;5.00000;66.0000;28.0000;38.0000;
2005;1;1;2;80.0000;13.0000;100.000;17.0000;38.0000;
2005;1;1;3;86.0000;17.0000;112.000;13.0000;38.0000;
2005;1;1;4;85.0000;15.0000;108.000;10.0000;38.0000;
2005;1;1;5;60.0000;5.00000;68.0000;22.0000;38.0000;
2005;1;1;6;54.0000;4.00000;60.0000;25.0000;38.0000;
2005;1;1;7;110.000;28.0000;153.000;7.00000;38.0000;
2005;1;1;8;106.000;24.0000;143.000;9.00000;38.0000;
2005;1;1;9;90.0000;35.0000;144.000;23.0000;38.0000;
2005;1;1;10;77.0000;26.0000;117.000;26.0000;38.0000;
2005;1;1;11;35.0000;12.0000;53.0000;46.0000;38.0000;
2005;1;1;12;45.0000;20.0000;76.0000;42.0000;38.0000;
2005;1;1;13;51.0000;19.0000;80.0000;45.0000;38.0000;
2005;1;1;14;28.0000;12.0000;46.0000;58.0000;38.0000;
2005;1;1;15;35.0000;9.00000;49.0000;54.0000;38.0000;
2005;1;1;16;45.0000;9.00000;59.0000;48.0000;38.0000;
2005;1;1;17;87.0000;14.0000;109.000;25.0000;38.0000;
2005;1;1;18;140.000;34.0000;192.000;6.00000;38.0000;
2005;1;1;19;158.000;54.0000;241.000;0.000000;38.0000;
2005;1;1;20;135.000;74.0000;248.000;1.00000;38.0000;
2005;1;1;21;109.000;27.0000;150.000;6.00000;38.0000;
2005;1;1;22;94.0000;25.0000;132.000;13.0000;38.0000;
2005;1;1;23;78.0000;16.0000;103.000;18.0000;38.0000;
2005;1;1;24;54.0000;5.00000;62.0000;26.0000;38.0000;
2005;1;2;1;45.0000;7.00000;56.0000;31.0000;30.0000;
2005;1;2;2;41.0000;2.00000;44.0000;31.0000;30.0000;
2005;1;2;3;45.0000;5.00000;53.0000;27.0000;30.0000;
2005;1;2;4;33.0000;8.00000;45.0000;31.0000;30.0000;
2005;1;2;5;23.0000;2.00000;26.0000;34.0000;30.0000;
2005;1;2;6;25.0000;4.00000;31.0000;36.0000;30.0000;
2005;1;2;7;107.000;44.0000;174.000;18.0000;30.0000;
2005;1;2;8;137.000;118.000;317.000;0.000000;30.0000;
2005;1;2;9;122.000;57.0000;209.000;5.00000;30.0000;
2005;1;2;10;124.000;76.0000;240.000;5.00000;30.0000;
2005;1;2;11;111.000;58.0000;200.000;22.0000;30.0000;
2005;1;2;12;80.0000;30.0000;126.000;35.0000;30.0000;
2005;1;2;13;50.0000;17.0000;76.0000;51.0000;30.0000;
2005;1;2;14;31.0000;9.00000;45.0000;61.0000;30.0000;
2005;1;2;15;35.0000;9.00000;49.0000;59.0000;30.0000;
2005;1;2;16;71.0000;12.0000;89.0000;44.0000;30.0000;
2005;1;2;17;102.000;25.0000;140.000;19.0000;30.0000;
2005;1;2;18;114.000;48.0000;187.000;5.00000;30.0000;
2005;1;2;19;126.000;70.0000;234.000;0.000000;30.0000;
2005;1;2;20;138.000;93.0000;280.000;4.00000;30.0000;
2005;1;2;21;146.000;88.0000;281.000;2.00000;30.0000;
2005;1;2;22;147.000;95.0000;292.000;5.00000;30.0000;
2005;1;2;23;135.000;51.0000;213.000;4.00000;30.0000;
2005;1;2;24;102.000;17.0000;128.000;19.0000;30.0000;
2005;1;3;1;121.000;22.0000;155.000;11.0000;22.0000;
2005;1;3;2;92.0000;10.0000;107.000;23.0000;22.0000;
2005;1;3;3;81.0000;10.0000;96.0000;23.0000;22.0000;
2005;1;3;4;30.0000;4.00000;36.0000;39.0000;22.0000;
2005;1;3;5;56.0000;6.00000;65.0000;28.0000;22.0000;
2005;1;3;6;61.0000;10.0000;76.0000;26.0000;22.0000;
2005;1;3;7;124.000;55.0000;208.000;9.00000;22.0000;
2005;1;3;8;141.000;82.0000;266.000;1.00000;22.0000;
2005;1;3;9;91.0000;45.0000;160.000;20.0000;22.0000;
2005;1;3;10;69.0000;39.0000;129.000;31.0000;22.0000;
2005;1;3;11;57.0000;25.0000;96.0000;29.0000;22.0000;
2005;1;3;12;46.0000;17.0000;72.0000;53.0000;22.0000;
2005;1;3;13;34.0000;15.0000;57.0000;53.0000;22.0000;
2005;1;3;14;10.0000;6.00000;19.0000;61.0000;22.0000;
2005;1;3;15;21.0000;11.0000;38.0000;58.0000;22.0000;
2005;1;3;16;41.0000;10.0000;56.0000;50.0000;22.0000;
2005;1;3;17;130.000;55.0000;214.000;24.0000;22.0000;
2005;1;3;18;140.000;91.0000;279.000;9.00000;22.0000;
2005;1;3;19;136.000;81.0000;260.000;7.00000;22.0000;
2005;1;3;20;105.000;44.0000;172.000;16.0000;22.0000;
2005;1;3;21;66.0000;17.0000;92.0000;29.0000;22.0000;
2005;1;3;22;45.0000;6.00000;54.0000;37.0000;22.0000;
2005;1;3;23;15.0000;3.00000;20.0000;50.0000;22.0000;
2005;1;3;24;0.000000;4.00000;6.00000;54.0000;22.0000;
2005;1;4;1;40.0000;-999;-999;54.0000;26.0000;
2005;1;4;2;27.0000;-999;-999;58.0000;26.0000;
2005;1;4;3;32.0000;-999;-999;55.0000;26.0000;
2005;1;4;4;34.0000;-999;-999;54.0000;26.0000;
2005;1;4;5;44.0000;-999;-999;49.0000;26.0000;
2005;1;4;6;60.0000;-999;-999;46.0000;26.0000;
2005;1;4;7;68.0000;-999;-999;26.0000;26.0000;
2005;1;4;8;138.000;-999;-999;19.0000;26.0000;
2005;1;4;9;145.000;-999;-999;8.00000;26.0000;
2005;1;4;10;149.000;-999;-999;7.00000;26.0000;
2005;1;4;11;122.000;-999;-999;17.0000;26.0000;
2005;1;4;12;117.000;-999;-999;25.0000;26.0000;
2005;1;4;13;62.0000;-999;-999;43.0000;26.0000;
2005;1;4;14;66.0000;-999;-999;52.0000;26.0000;
2005;1;4;15;66.0000;-999;-999;41.0000;26.0000;
2005;1;4;16;58.0000;-999;-999;31.0000;26.0000;
2005;1;4;17;113.000;-999;-999;15.0000;26.0000;
2005;1;4;18;126.000;-999;-999;1.00000;26.0000;
2005;1;4;19;108.000;-999;-999;0.000000;26.0000;
2005;1;4;20;100.000;-999;-999;0.000000;26.0000;
2005;1;4;21;91.0000;-999;-999;0.000000;26.0000;
2005;1;4;22;80.0000;-999;-999;5.00000;26.0000;
2005;1;4;23;69.0000;-999;-999;9.00000;26.0000;
2005;1;4;24;64.0000;-999;-999;10.0000;26.0000;
2005;1;5;1;54.0000;10.0000;69.0000;16.0000;41.0000;
2005;1;5;2;57.0000;7.00000;68.0000;11.0000;41.0000;
2005;1;5;3;37.0000;4.00000;43.0000;26.0000;41.0000;
2005;1;5;4;33.0000;4.00000;39.0000;31.0000;41.0000;
2005;1;5;5;38.0000;5.00000;46.0000;27.0000;41.0000;
2005;1;5;6;60.0000;11.0000;77.0000;14.0000;41.0000;
2005;1;5;7;84.0000;37.0000;141.000;1.00000;41.0000;
2005;1;5;8;94.0000;127.000;288.000;0.000000;41.0000;
2005;1;5;9;102.000;92.0000;243.000;2.00000;41.0000;
2005;1;5;10;117.000;207.000;433.000;0.000000;41.0000;
2005;1;5;11;124.000;248.000;503.000;0.000000;41.0000;
2005;1;5;12;127.000;151.000;358.000;0.000000;41.0000;
2005;1;5;13;133.000;173.000;397.000;2.00000;41.0000;
2005;1;5;14;85.0000;37.0000;142.000;24.0000;41.0000;
2005;1;5;15;65.0000;20.0000;96.0000;30.0000;41.0000;
2005;1;5;16;62.0000;14.0000;83.0000;31.0000;41.0000;
2005;1;5;17;122.000;159.000;365.000;5.00000;41.0000;
2005;1;5;18;113.000;92.0000;254.000;0.000000;41.0000;
2005;1;5;19;114.000;101.000;268.000;0.000000;41.0000;
2005;1;5;20;102.000;73.0000;214.000;0.000000;41.0000;
2005;1;5;21;88.0000;35.0000;141.000;3.00000;41.0000;
2005;1;5;22;73.0000;18.0000;101.000;10.0000;41.0000;
2005;1;5;23;58.0000;9.00000;72.0000;19.0000;41.0000;
2005;1;5;24;46.0000;5.00000;54.0000;26.0000;41.0000;
2005;1;6;1;44.0000;6.00000;53.0000;26.0000;19.0000;
2005;1;6;2;40.0000;5.00000;48.0000;30.0000;19.0000;
2005;1;6;3;34.0000;4.00000;40.0000;33.0000;19.0000;
2005;1;6;4;35.0000;3.00000;40.0000;33.0000;19.0000;
2005;1;6;5;36.0000;2.00000;39.0000;29.0000;19.0000;
2005;1;6;6;42.0000;3.00000;47.0000;21.0000;19.0000;
2005;1;6;7;66.0000;16.0000;90.0000;6.00000;19.0000;
2005;1;6;8;57.0000;20.0000;88.0000;7.00000;19.0000;
2005;1;6;9;67.0000;27.0000;108.000;3.00000;19.0000;
2005;1;6;10;64.0000;42.0000;128.000;4.00000;19.0000;
2005;1;6;11;62.0000;29.0000;106.000;17.0000;19.0000;
2005;1;6;12;36.0000;8.00000;48.0000;42.0000;19.0000;
2005;1;6;13;40.0000;9.00000;54.0000;45.0000;19.0000;
2005;1;6;14;35.0000;6.00000;44.0000;53.0000;19.0000;
2005;1;6;15;34.0000;5.00000;42.0000;53.0000;19.0000;
2005;1;6;16;57.0000;8.00000;69.0000;41.0000;19.0000;
