year;month;day;hour;NO2;NO;NOx;O3;
2005;1;1;1;18.0000;1.00000;19.5333;54.0000;
2005;1;1;2;-999;-999;-999;53.0000;
2005;1;1;3;19.0000;1.00000;20.5333;-999;
2005;1;1;4;18.0000;1.00000;19.5333;54.0000;
2005;1;1;5;18.0000;1.00000;19.5333;52.0000;
2005;1;1;6;17.0000;1.00000;18.5333;52.0000;
2005;1;1;7;19.0000;2.00000;22.0667;51.0000;
2005;1;1;8;18.0000;2.00000;21.0667;52.0000;
2005;1;1;9;18.0000;2.00000;21.0667;53.0000;
2005;1;1;10;16.0000;2.00000;19.0667;55.0000;
2005;1;1;11;17.0000;3.00000;21.6000;56.0000;
2005;1;1;12;19.0000;3.00000;23.6000;56.0000;
2005;1;1;13;27.0000;5.00000;34.6667;52.0000;
2005;1;1;14;29.0000;4.00000;35.1333;53.0000;
2005;1;1;15;33.0000;4.00000;39.1333;50.0000;
2005;1;1;16;37.0000;5.00000;44.6667;46.0000;
2005;1;1;17;43.0000;5.00000;50.6667;40.0000;
2005;1;1;18;34.0000;4.00000;40.1333;47.0000;
2005;1;1;19;30.0000;3.00000;34.6000;50.0000;
2005;1;1;20;29.0000;3.00000;33.6000;48.0000;
2005;1;1;21;25.0000;3.00000;29.6000;51.0000;
2005;1;1;22;22.0000;2.00000;25.0667;52.0000;
2005;1;1;23;22.0000;2.00000;25.0667;51.0000;
2005;1;1;24;21.0000;2.00000;24.0667;50.0000;
2005;1;2;1;19.0000;1.00000;20.5333;49.0000;
2005;1;2;2;17.0000;1.00000;18.5333;49.0000;
2005;1;2;3;17.0000;1.00000;18.5333;49.0000;
2005;1;2;4;17.0000;1.00000;18.5333;48.0000;
2005;1;2;5;16.0000;1.00000;17.5333;49.0000;
2005;1;2;6;17.0000;1.00000;18.5333;47.0000;
2005;1;2;7;21.0000;2.00000;24.0667;43.0000;
2005;1;2;8;41.0000;7.00000;51.7333;17.0000;
2005;1;2;9;30.0000;4.00000;36.1333;32.0000;
2005;1;2;10;25.0000;4.00000;31.1333;37.0000;
2005;1;2;11;28.0000;5.00000;35.6667;37.0000;
2005;1;2;12;33.0000;7.00000;43.7333;36.0000;
2005;1;2;13;36.0000;7.00000;46.7333;38.0000;
2005;1;2;14;36.0000;5.00000;43.6667;42.0000;
2005;1;2;15;36.0000;5.00000;43.6667;48.0000;
2005;1;2;16;38.0000;4.00000;44.1333;44.0000;
2005;1;2;17;51.0000;9.00000;64.8000;21.0000;
2005;1;2;18;65.0000;44.0000;132.467;9.00000;
2005;1;2;19;61.0000;25.0000;99.3333;10.0000;
2005;1;2;20;59.0000;17.0000;85.0667;13.0000;
2005;1;2;21;54.0000;14.0000;75.4667;16.0000;
2005;1;2;22;41.0000;5.00000;48.6667;26.0000;
2005;1;2;23;38.0000;4.00000;44.1333;27.0000;
2005;1;2;24;32.0000;3.00000;36.6000;33.0000;
2005;1;3;1;27.0000;2.00000;30.0667;34.0000;
2005;1;3;2;-999;-999;-999;37.0000;
2005;1;3;3;23.0000;2.00000;26.0667;36.0000;
2005;1;3;4;24.0000;1.00000;25.5333;34.0000;
2005;1;3;5;23.0000;2.00000;26.0667;36.0000;
2005;1;3;6;23.0000;2.00000;26.0667;39.0000;
2005;1;3;7;30.0000;3.00000;34.6000;37.0000;
2005;1;3;8;34.0000;4.00000;40.1333;39.0000;
2005;1;3;9;36.0000;5.00000;43.6667;39.0000;
2005;1;3;10;41.0000;12.0000;59.4000;34.0000;
2005;1;3;11;53.0000;25.0000;91.3333;26.0000;
2005;1;3;12;53.0000;16.0000;77.5333;30.0000;
2005;1;3;13;49.0000;10.0000;64.3333;35.0000;
2005;1;3;14;52.0000;11.0000;68.8667;32.0000;
