year;month;day;hour;NO2;NO;NOx;O3;TEMP;WS;WD;
2005;1;1;1;28.0000;1.00000;29.0000;17.0000;-2.7;0.30;-999;
2005;1;1;2;21.0000;0.000000;21.0000;27.0000;0.01;0.40;-999;
2005;1;1;3;16.0000;0.000000;16.0000;29.0000;1.31;1.50;357.;
2005;1;1;4;22.0000;3.00000;26.0000;24.0000;1.81;0.90;-999;
2005;1;1;5;27.0000;1.00000;29.0000;17.0000;1.31;0.60;-999;
2005;1;1;6;14.0000;0.000000;14.0000;24.0000;0.71;0.40;-999;
2005;1;1;7;21.0000;2.00000;23.0000;22.0000;0.80;0.20;-999;
2005;1;1;8;32.0000;4.00000;38.0000;16.0000;0.01;0.20;-999;
2005;1;1;9;32.0000;6.00000;41.0000;16.0000;-0.3;0.20;-999;
2005;1;1;10;37.0000;10.0000;52.0000;16.0000;0.61;0.20;-999;
2005;1;1;11;24.0000;4.00000;31.0000;33.0000;4.41;0.40;-999;
2005;1;1;12;18.0000;0.000000;18.0000;43.0000;6.81;2.00;47.0;
2005;1;1;13;31.0000;2.00000;34.0000;39.0000;8.31;1.60;77.0;
2005;1;1;14;26.0000;0.000000;26.0000;46.0000;9.11;1.10;164.;
2005;1;1;15;25.0000;0.000000;25.0000;46.0000;9.41;1.50;171.;
2005;1;1;16;39.0000;1.00000;40.0000;32.0000;9.61;1.20;179.;
2005;1;1;17;58.0000;7.00000;69.0000;13.0000;9.41;0.80;207.;
2005;1;1;18;58.0000;6.00000;68.0000;9.00000;5.71;0.30;-999;
2005;1;1;19;60.0000;19.0000;89.0000;8.00000;3.21;0.20;-999;
2005;1;1;20;54.0000;18.0000;81.0000;8.00000;1.81;0.00;-999;
2005;1;1;21;47.0000;10.0000;63.0000;11.0000;1.21;0.20;-999;
2005;1;1;22;38.0000;6.00000;47.0000;14.0000;1.51;0.50;-999;
2005;1;1;23;28.0000;2.00000;31.0000;17.0000;0.91;0.20;-999;
2005;1;1;24;18.0000;0.000000;18.0000;23.0000;0.71;0.30;-999;
2005;1;2;1;23.0000;1.00000;24.0000;21.0000;0.91;0.30;-999;
2005;1;2;2;22.0000;0.000000;22.0000;21.0000;0.91;0.40;-999;
2005;1;2;3;13.0000;0.000000;13.0000;26.0000;1.71;0.60;267.;
2005;1;2;4;15.0000;0.000000;15.0000;21.0000;1.71;0.20;-999;
2005;1;2;5;14.0000;0.000000;14.0000;21.0000;1.51;0.30;-999;
2005;1;2;6;11.0000;0.000000;11.0000;24.0000;1.41;0.30;-999;
2005;1;2;7;15.0000;0.000000;15.0000;25.0000;1.31;0.10;-999;
2005;1;2;8;30.0000;6.00000;39.0000;16.0000;1.21;0.40;-999;
2005;1;2;9;28.0000;3.00000;32.0000;19.0000;0.51;0.70;284.;
2005;1;2;10;43.0000;20.0000;74.0000;12.0000;1.21;0.30;-999;
2005;1;2;11;39.0000;10.0000;54.0000;21.0000;5.21;0.30;-999;
2005;1;2;12;47.0000;15.0000;70.0000;20.0000;8.01;0.60;245.;
2005;1;2;13;40.0000;7.00000;51.0000;30.0000;8.71;1.20;171.;
2005;1;2;14;34.0000;1.00000;36.0000;39.0000;9.31;1.60;174.;
2005;1;2;15;33.0000;0.000000;34.0000;40.0000;10.8;0.90;199.;
2005;1;2;16;28.0000;0.000000;28.0000;41.0000;11.0;1.20;221.;
2005;1;2;17;30.0000;0.000000;30.0000;35.0000;10.9;0.70;239.;
2005;1;2;18;36.0000;15.0000;58.0000;26.0000;7.31;0.20;-999;
2005;1;2;19;61.0000;27.0000;101.000;8.00000;4.61;0.30;-999;
2005;1;2;20;56.0000;33.0000;106.000;8.00000;3.21;1.10;84.0;
2005;1;2;21;55.0000;30.0000;102.000;8.00000;1.91;0.20;-999;
2005;1;2;22;50.0000;10.0000;65.0000;10.0000;1.51;0.40;-999;
2005;1;2;23;40.0000;4.00000;46.0000;11.0000;1.51;0.60;-999;
2005;1;2;24;35.0000;3.00000;40.0000;15.0000;0.91;0.30;-999;
2005;1;3;1;43.0000;3.00000;47.0000;12.0000;0.71;0.60;293.;
2005;1;3;2;39.0000;3.00000;43.0000;12.0000;1.71;1.80;76.0;
2005;1;3;3;37.0000;2.00000;40.0000;15.0000;0.61;0.40;-999;
2005;1;3;4;22.0000;0.000000;22.0000;26.0000;1.21;1.00;-999;
2005;1;3;5;21.0000;0.000000;21.0000;27.0000;1.81;0.70;-999;
2005;1;3;6;13.0000;0.000000;13.0000;36.0000;1.01;0.70;-999;
2005;1;3;7;24.0000;2.00000;27.0000;30.0000;1.71;0.80;-999;
2005;1;3;8;20.0000;1.00000;22.0000;32.0000;2.51;0.60;-999;
2005;1;3;9;43.0000;10.0000;58.0000;16.0000;2.21;0.60;-999;
2005;1;3;10;45.0000;20.0000;76.0000;17.0000;2.91;0.50;-999;
2005;1;3;11;51.0000;34.0000;103.000;18.0000;5.91;0.60;-999;
2005;1;3;12;31.0000;4.00000;38.0000;32.0000;7.71;0.70;-999;
2005;1;3;13;54.0000;17.0000;79.0000;22.0000;9.91;1.00;113.;
2005;1;3;14;65.0000;28.0000;107.000;17.0000;10.4;1.20;169.;
2005;1;3;15;70.0000;31.0000;118.000;15.0000;10.1;1.60;159.;
2005;1;3;16;61.0000;12.0000;80.0000;17.0000;9.51;1.40;161.;
2005;1;3;17;63.0000;21.0000;95.0000;10.0000;8.71;1.00;98.0;
2005;1;3;18;65.0000;19.0000;94.0000;8.00000;6.21;1.00;95.0;
2005;1;3;19;66.0000;35.0000;119.000;10.0000;3.91;0.50;-999;
2005;1;3;20;61.0000;34.0000;113.000;8.00000;3.51;0.60;-999;
2005;1;3;21;50.0000;19.0000;80.0000;10.0000;3.11;0.40;-999;
2005;1;3;22;49.0000;17.0000;75.0000;9.00000;2.61;0.50;-999;
2005;1;3;23;45.0000;7.00000;56.0000;11.0000;1.61;0.40;-999;
2005;1;3;24;38.0000;3.00000;43.0000;13.0000;2.01;0.80;301.;
2005;1;4;1;38.0000;2.00000;41.0000;14.0000;1.61;0.60;-999;
2005;1;4;2;21.0000;0.000000;21.0000;29.0000;1.41;0.60;-999;
2005;1;4;3;14.0000;0.000000;14.0000;29.0000;3.01;1.70;338.;
