year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;61.0000;23.0000;96.2667;9.00000;73.0000;
2005;1;1;2;59.0000;29.0000;103.467;8.00000;73.0000;
2005;1;1;3;56.0000;23.0000;91.2667;7.00000;73.0000;
2005;1;1;4;54.0000;23.0000;89.2667;5.00000;73.0000;
2005;1;1;5;49.0000;39.0000;108.800;5.00000;73.0000;
2005;1;1;6;48.0000;29.0000;92.4667;5.00000;73.0000;
2005;1;1;7;53.0000;23.0000;88.2667;6.00000;73.0000;
2005;1;1;8;44.0000;16.0000;68.5333;6.00000;73.0000;
2005;1;1;9;45.0000;15.0000;68.0000;8.00000;73.0000;
2005;1;1;10;37.0000;12.0000;55.4000;20.0000;73.0000;
2005;1;1;11;38.0000;18.0000;65.6000;25.0000;73.0000;
2005;1;1;12;46.0000;26.0000;85.8667;26.0000;73.0000;
2005;1;1;13;77.0000;60.0000;169.000;19.0000;73.0000;
2005;1;1;14;71.0000;36.0000;126.200;28.0000;73.0000;
2005;1;1;15;74.0000;38.0000;132.267;22.0000;73.0000;
2005;1;1;16;83.0000;38.0000;141.267;18.0000;73.0000;
2005;1;1;17;94.0000;47.0000;166.067;8.00000;73.0000;
2005;1;1;18;92.0000;45.0000;161.000;7.00000;73.0000;
2005;1;1;19;94.0000;121.000;279.533;7.00000;73.0000;
2005;1;1;20;93.0000;95.0000;238.667;10.0000;73.0000;
2005;1;1;21;63.0000;22.0000;96.7333;9.00000;73.0000;
2005;1;1;22;59.0000;26.0000;98.8667;8.00000;73.0000;
2005;1;1;23;64.0000;41.0000;126.867;7.00000;73.0000;
2005;1;1;24;69.0000;44.0000;136.467;7.00000;73.0000;
2005;1;2;1;61.0000;34.0000;113.133;7.00000;62.0000;
2005;1;2;2;51.0000;13.0000;70.9333;7.00000;62.0000;
2005;1;2;3;50.0000;6.00000;59.2000;8.00000;62.0000;
2005;1;2;4;49.0000;6.00000;58.2000;7.00000;62.0000;
2005;1;2;5;46.0000;4.00000;52.1333;9.00000;62.0000;
2005;1;2;6;57.0000;16.0000;81.5333;5.00000;62.0000;
2005;1;2;7;47.0000;19.0000;76.1333;5.00000;62.0000;
2005;1;2;8;44.0000;24.0000;80.8000;6.00000;62.0000;
2005;1;2;9;43.0000;41.0000;105.867;5.00000;62.0000;
2005;1;2;10;45.0000;37.0000;101.733;9.00000;62.0000;
2005;1;2;11;43.0000;24.0000;79.8000;18.0000;62.0000;
2005;1;2;12;45.0000;21.0000;77.2000;25.0000;62.0000;
2005;1;2;13;40.0000;13.0000;59.9333;39.0000;62.0000;
2005;1;2;14;40.0000;11.0000;56.8667;46.0000;62.0000;
2005;1;2;15;50.0000;15.0000;73.0000;37.0000;62.0000;
2005;1;2;16;70.0000;24.0000;106.800;20.0000;62.0000;
2005;1;2;17;80.0000;41.0000;142.867;11.0000;62.0000;
2005;1;2;18;85.0000;47.0000;157.067;6.00000;62.0000;
2005;1;2;19;96.0000;164.000;347.467;8.00000;62.0000;
2005;1;2;20;77.0000;45.0000;146.000;7.00000;62.0000;
2005;1;2;21;66.0000;36.0000;121.200;8.00000;62.0000;
2005;1;2;22;64.0000;50.0000;140.667;9.00000;62.0000;
2005;1;2;23;66.0000;69.0000;171.800;9.00000;62.0000;
2005;1;2;24;54.0000;18.0000;81.6000;6.00000;62.0000;
2005;1;3;1;52.0000;33.0000;102.600;6.00000;57.0000;
2005;1;3;2;58.0000;14.0000;79.4667;5.00000;57.0000;
2005;1;3;3;60.0000;18.0000;87.6000;5.00000;57.0000;
2005;1;3;4;59.0000;35.0000;112.667;5.00000;57.0000;
2005;1;3;5;55.0000;16.0000;79.5333;6.00000;57.0000;
2005;1;3;6;53.0000;10.0000;68.3333;8.00000;57.0000;
2005;1;3;7;65.0000;41.0000;127.867;5.00000;57.0000;
2005;1;3;8;77.0000;158.000;319.267;6.00000;57.0000;
2005;1;3;9;79.0000;183.000;359.600;6.00000;57.0000;
2005;1;3;10;74.0000;162.000;322.400;8.00000;57.0000;
2005;1;3;11;79.0000;109.000;246.133;10.0000;57.0000;
2005;1;3;12;87.0000;110.000;255.667;11.0000;57.0000;
2005;1;3;13;68.0000;51.0000;146.200;22.0000;57.0000;
2005;1;3;14;43.0000;21.0000;75.2000;41.0000;57.0000;
2005;1;3;15;47.0000;20.0000;77.6667;37.0000;57.0000;
2005;1;3;16;63.0000;29.0000;107.467;25.0000;57.0000;
2005;1;3;17;84.0000;70.0000;191.333;10.0000;57.0000;
2005;1;3;18;82.0000;71.0000;190.867;7.00000;57.0000;
2005;1;3;19;93.0000;141.000;309.200;11.0000;57.0000;
2005;1;3;20;67.0000;27.0000;108.400;7.00000;57.0000;
2005;1;3;21;65.0000;38.0000;123.267;8.00000;57.0000;
2005;1;3;22;65.0000;37.0000;121.733;7.00000;57.0000;
2005;1;3;23;56.0000;22.0000;89.7333;9.00000;57.0000;
2005;1;3;24;58.0000;16.0000;82.5333;7.00000;57.0000;
2005;1;4;1;59.0000;23.0000;94.2667;7.00000;67.0000;
2005;1;4;2;43.0000;8.00000;55.2667;8.00000;67.0000;
2005;1;4;3;60.0000;53.0000;141.267;6.00000;67.0000;
2005;1;4;4;61.0000;47.0000;133.067;6.00000;67.0000;
2005;1;4;5;47.0000;14.0000;68.4667;6.00000;67.0000;
2005;1;4;6;46.0000;19.0000;75.1333;6.00000;67.0000;
2005;1;4;7;49.0000;31.0000;96.5333;6.00000;67.0000;
2005;1;4;8;52.0000;28.0000;94.9333;6.00000;67.0000;
2005;1;4;9;55.0000;75.0000;170.000;6.00000;67.0000;
2005;1;4;10;77.0000;123.000;265.600;7.00000;67.0000;
2005;1;4;11;71.0000;113.000;244.267;10.0000;67.0000;
2005;1;4;12;85.0000;122.000;272.067;11.0000;67.0000;
2005;1;4;13;81.0000;96.0000;228.200;13.0000;67.0000;
2005;1;4;14;81.0000;84.0000;209.800;15.0000;67.0000;
2005;1;4;15;73.0000;61.0000;166.533;18.0000;67.0000;
2005;1;4;16;62.0000;24.0000;98.8000;27.0000;67.0000;
2005;1;4;17;89.0000;68.0000;193.267;11.0000;67.0000;
2005;1;4;18;121.000;304.000;587.133;9.00000;67.0000;
2005;1;4;19;110.000;285.000;547.000;7.00000;67.0000;
2005;1;4;20;86.0000;107.000;250.067;8.00000;67.0000;
2005;1;4;21;72.0000;54.0000;154.800;7.00000;67.0000;
2005;1;4;22;66.0000;34.0000;118.133;7.00000;67.0000;
2005;1;4;23;61.0000;27.0000;102.400;8.00000;67.0000;
2005;1;4;24;62.0000;39.0000;121.800;8.00000;67.0000;
2005;1;5;1;60.0000;33.0000;110.600;7.00000;77.0000;
2005;1;5;2;57.0000;27.0000;98.4000;6.00000;77.0000;
2005;1;5;3;46.0000;10.0000;61.3333;8.00000;77.0000;
2005;1;5;4;38.0000;9.00000;51.8000;6.00000;77.0000;
2005;1;5;5;39.0000;25.0000;77.3333;5.00000;77.0000;
2005;1;5;6;35.0000;10.0000;50.3333;7.00000;77.0000;
2005;1;5;7;42.0000;20.0000;72.6667;6.00000;77.0000;
2005;1;5;8;55.0000;62.0000;150.067;6.00000;77.0000;
2005;1;5;9;63.0000;145.000;285.333;6.00000;77.0000;
2005;1;5;10;68.0000;121.000;253.533;7.00000;77.0000;
2005;1;5;11;68.0000;118.000;248.933;6.00000;77.0000;
2005;1;5;12;64.0000;87.0000;197.400;9.00000;77.0000;
2005;1;5;13;65.0000;64.0000;163.133;12.0000;77.0000;
2005;1;5;14;104.000;144.000;324.800;9.00000;77.0000;
2005;1;5;15;117.000;154.000;353.133;9.00000;77.0000;
2005;1;5;16;119.000;149.000;347.467;7.00000;77.0000;
2005;1;5;17;117.000;165.000;370.000;6.00000;77.0000;
2005;1;5;18;119.000;203.000;430.267;6.00000;77.0000;
2005;1;5;19;133.000;345.000;662.000;7.00000;77.0000;
2005;1;5;20;92.0000;152.000;325.067;7.00000;77.0000;
2005;1;5;21;78.0000;96.0000;225.200;7.00000;77.0000;
2005;1;5;22;59.0000;35.0000;112.667;8.00000;77.0000;
2005;1;5;23;60.0000;56.0000;145.867;7.00000;77.0000;
2005;1;5;24;53.0000;29.0000;97.4667;7.00000;77.0000;
2005;1;6;1;53.0000;36.0000;108.200;7.00000;-999;
2005;1;6;2;36.0000;5.00000;43.6667;15.0000;-999;
2005;1;6;3;42.0000;18.0000;69.6000;8.00000;-999;
2005;1;6;4;36.0000;7.00000;46.7333;11.0000;-999;
2005;1;6;5;39.0000;8.00000;51.2667;8.00000;-999;
2005;1;6;6;29.0000;2.00000;32.0667;15.0000;-999;
2005;1;6;7;43.0000;33.0000;93.6000;11.0000;-999;
2005;1;6;8;59.0000;95.0000;204.667;6.00000;-999;
2005;1;6;9;58.0000;82.0000;183.733;6.00000;-999;
2005;1;6;10;47.0000;47.0000;119.067;9.00000;-999;
2005;1;6;11;53.0000;61.0000;146.533;11.0000;-999;
2005;1;6;12;58.0000;43.0000;123.933;15.0000;-999;
2005;1;6;13;63.0000;43.0000;128.933;17.0000;-999;
2005;1;6;14;42.0000;15.0000;65.0000;33.0000;-999;
2005;1;6;15;41.0000;13.0000;60.9333;36.0000;-999;
2005;1;6;16;73.0000;38.0000;131.267;17.0000;-999;
2005;1;6;17;87.0000;64.0000;185.133;7.00000;-999;
2005;1;6;18;99.0000;87.0000;232.400;6.00000;-999;
2005;1;6;19;99.0000;91.0000;238.533;6.00000;-999;
2005;1;6;20;84.0000;78.0000;203.600;7.00000;-999;
2005;1;6;21;64.0000;53.0000;145.267;7.00000;-999;
2005;1;6;22;74.0000;57.0000;161.400;7.00000;-999;
2005;1;6;23;70.0000;44.0000;137.467;6.00000;-999;
2005;1;6;24;70.0000;51.0000;148.200;7.00000;-999;
2005;1;7;1;52.0000;31.0000;99.5333;6.00000;100.000;
2005;1;7;2;50.0000;40.0000;111.333;7.00000;100.000;
2005;1;7;3;54.0000;28.0000;96.9333;6.00000;100.000;
2005;1;7;4;56.0000;32.0000;105.067;5.00000;100.000;
2005;1;7;5;55.0000;34.0000;107.133;5.00000;100.000;
2005;1;7;6;55.0000;31.0000;102.533;5.00000;100.000;
2005;1;7;7;59.0000;33.0000;109.600;5.00000;100.000;
2005;1;7;8;55.0000;42.0000;119.400;5.00000;100.000;
2005;1;7;9;54.0000;48.0000;127.600;5.00000;100.000;
2005;1;7;10;53.0000;43.0000;118.933;7.00000;100.000;
2005;1;7;11;55.0000;57.0000;142.400;8.00000;100.000;
2005;1;7;12;65.0000;69.0000;170.800;11.0000;100.000;
2005;1;7;13;75.0000;62.0000;170.067;14.0000;100.000;
2005;1;7;14;120.000;182.000;399.067;8.00000;100.000;
2005;1;7;15;157.000;212.000;482.067;8.00000;100.000;
2005;1;7;16;110.000;113.000;283.267;8.00000;100.000;
2005;1;7;17;113.000;145.000;335.333;6.00000;100.000;
2005;1;7;18;108.000;155.000;345.667;7.00000;100.000;
2005;1;7;19;103.000;187.000;389.733;9.00000;100.000;
2005;1;7;20;99.0000;271.000;514.533;6.00000;100.000;
2005;1;7;21;85.0000;102.000;241.400;6.00000;100.000;
2005;1;7;22;76.0000;117.000;255.400;8.00000;100.000;
2005;1;7;23;60.0000;93.0000;202.600;7.00000;100.000;
2005;1;7;24;54.0000;90.0000;192.000;8.00000;100.000;
2005;1;8;1;55.0000;91.0000;194.533;7.00000;73.0000;
2005;1;8;2;42.0000;48.0000;115.600;6.00000;73.0000;
2005;1;8;3;39.0000;27.0000;80.4000;7.00000;73.0000;
2005;1;8;4;35.0000;24.0000;71.8000;6.00000;73.0000;
2005;1;8;5;32.0000;15.0000;55.0000;6.00000;73.0000;
2005;1;8;6;32.0000;6.00000;41.2000;7.00000;73.0000;
2005;1;8;7;39.0000;26.0000;78.8667;6.00000;73.0000;
2005;1;8;8;39.0000;42.0000;103.400;6.00000;73.0000;
2005;1;8;9;46.0000;73.0000;157.933;6.00000;73.0000;
2005;1;8;10;46.0000;55.0000;130.333;8.00000;73.0000;
2005;1;8;11;50.0000;55.0000;134.333;10.0000;73.0000;
2005;1;8;12;53.0000;38.0000;111.267;17.0000;73.0000;
2005;1;8;13;51.0000;24.0000;87.8000;16.0000;73.0000;
2005;1;8;14;38.0000;11.0000;54.8667;34.0000;73.0000;
2005;1;8;15;37.0000;7.00000;47.7333;40.0000;73.0000;
2005;1;8;16;45.0000;8.00000;57.2667;35.0000;73.0000;
2005;1;8;17;72.0000;26.0000;111.867;18.0000;73.0000;
2005;1;8;18;91.0000;95.0000;236.667;7.00000;73.0000;
2005;1;8;19;97.0000;166.000;351.533;7.00000;73.0000;
2005;1;8;20;75.0000;103.000;232.933;7.00000;73.0000;
2005;1;8;21;65.0000;56.0000;150.867;6.00000;73.0000;
2005;1;8;22;61.0000;25.0000;99.3333;7.00000;73.0000;
2005;1;8;23;58.0000;32.0000;107.067;7.00000;73.0000;
2005;1;8;24;53.0000;42.0000;117.400;6.00000;73.0000;
2005;1;9;1;44.0000;20.0000;74.6667;7.00000;68.0000;
2005;1;9;2;44.0000;17.0000;70.0667;9.00000;68.0000;
2005;1;9;3;39.0000;9.00000;52.8000;8.00000;68.0000;
2005;1;9;4;34.0000;5.00000;41.6667;11.0000;68.0000;
2005;1;9;5;31.0000;7.00000;41.7333;12.0000;68.0000;
2005;1;9;6;34.0000;8.00000;46.2667;14.0000;68.0000;
2005;1;9;7;44.0000;15.0000;67.0000;8.00000;68.0000;
2005;1;9;8;39.0000;11.0000;55.8667;10.0000;68.0000;
2005;1;9;9;34.0000;7.00000;44.7333;11.0000;68.0000;
2005;1;9;10;40.0000;12.0000;58.4000;12.0000;68.0000;
2005;1;9;11;55.0000;52.0000;134.733;9.00000;68.0000;
2005;1;9;12;50.0000;36.0000;105.200;14.0000;68.0000;
2005;1;9;13;38.0000;16.0000;62.5333;31.0000;68.0000;
2005;1;9;14;64.0000;29.0000;108.467;24.0000;68.0000;
2005;1;9;15;69.0000;16.0000;93.5333;24.0000;68.0000;
2005;1;9;16;74.0000;23.0000;109.267;16.0000;68.0000;
2005;1;9;17;79.0000;35.0000;132.667;10.0000;68.0000;
2005;1;9;18;83.0000;48.0000;156.600;7.00000;68.0000;
2005;1;9;19;90.0000;132.000;292.400;8.00000;68.0000;
2005;1;9;20;94.0000;166.000;348.533;6.00000;68.0000;
2005;1;9;21;76.0000;84.0000;204.800;6.00000;68.0000;
2005;1;9;22;66.0000;63.0000;162.600;6.00000;68.0000;
2005;1;9;23;60.0000;45.0000;129.000;6.00000;68.0000;
2005;1;9;24;55.0000;25.0000;93.3333;6.00000;68.0000;
2005;1;10;1;48.0000;22.0000;81.7333;5.00000;62.0000;
2005;1;10;2;45.0000;20.0000;75.6667;6.00000;62.0000;
2005;1;10;3;45.0000;8.00000;57.2667;6.00000;62.0000;
2005;1;10;4;37.0000;2.00000;40.0667;10.0000;62.0000;
2005;1;10;5;29.0000;5.00000;36.6667;10.0000;62.0000;
2005;1;10;6;37.0000;16.0000;61.5333;8.00000;62.0000;
2005;1;10;7;44.0000;47.0000;116.067;6.00000;62.0000;
2005;1;10;8;57.0000;85.0000;187.333;6.00000;62.0000;
2005;1;10;9;62.0000;87.0000;195.400;6.00000;62.0000;
2005;1;10;10;56.0000;63.0000;152.600;6.00000;62.0000;
2005;1;10;11;56.0000;95.0000;201.667;7.00000;62.0000;
2005;1;10;12;59.0000;73.0000;170.933;9.00000;62.0000;
2005;1;10;13;57.0000;50.0000;133.667;16.0000;62.0000;
2005;1;10;14;81.0000;91.0000;220.533;12.0000;62.0000;
2005;1;10;15;86.0000;80.0000;208.667;13.0000;62.0000;
2005;1;10;16;81.0000;51.0000;159.200;12.0000;62.0000;
2005;1;10;17;75.0000;30.0000;121.000;10.0000;62.0000;
2005;1;10;18;81.0000;65.0000;180.667;-999;62.0000;
