year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;57.0000;27.0000;98.4000;9.00000;120.000;
2005;1;1;2;57.0000;28.0000;99.9333;8.00000;81.0000;
2005;1;1;3;59.0000;23.0000;94.2667;8.00000;61.0000;
2005;1;1;4;54.0000;19.0000;83.1333;8.00000;62.0000;
2005;1;1;5;54.0000;18.0000;81.6000;9.00000;60.0000;
2005;1;1;6;53.0000;25.0000;91.3333;9.00000;62.0000;
2005;1;1;7;53.0000;22.0000;86.7333;9.00000;57.0000;
2005;1;1;8;50.0000;20.0000;80.6667;9.00000;55.0000;
2005;1;1;9;49.0000;31.0000;96.5333;10.0000;71.0000;
2005;1;1;10;50.0000;45.0000;119.000;11.0000;72.0000;
2005;1;1;11;51.0000;43.0000;116.933;15.0000;72.0000;
2005;1;1;12;42.0000;21.0000;74.2000;29.0000;50.0000;
2005;1;1;13;34.0000;13.0000;53.9333;43.0000;29.0000;
2005;1;1;14;31.0000;11.0000;47.8667;54.0000;22.0000;
2005;1;1;15;36.0000;14.0000;57.4667;50.0000;9.00000;
2005;1;1;16;65.0000;23.0000;100.267;28.0000;38.0000;
2005;1;1;17;86.0000;50.0000;162.667;15.0000;82.0000;
2005;1;1;18;82.0000;69.0000;187.800;12.0000;59.0000;
2005;1;1;19;74.0000;66.0000;175.200;11.0000;53.0000;
2005;1;1;20;68.0000;55.0000;152.333;11.0000;67.0000;
2005;1;1;21;66.0000;67.0000;168.733;9.00000;60.0000;
2005;1;1;22;61.0000;40.0000;122.333;10.0000;56.0000;
2005;1;1;23;58.0000;36.0000;113.200;10.0000;57.0000;
2005;1;1;24;56.0000;29.0000;100.467;9.00000;56.0000;
2005;1;2;1;55.0000;19.0000;84.1333;9.00000;55.0000;
2005;1;2;2;53.0000;16.0000;77.5333;9.00000;53.0000;
2005;1;2;3;51.0000;10.0000;66.3333;10.0000;47.0000;
2005;1;2;4;48.0000;8.00000;60.2667;9.00000;46.0000;
2005;1;2;5;45.0000;8.00000;57.2667;11.0000;43.0000;
2005;1;2;6;44.0000;14.0000;65.4667;11.0000;41.0000;
2005;1;2;7;45.0000;12.0000;63.4000;11.0000;43.0000;
2005;1;2;8;46.0000;24.0000;82.8000;9.00000;43.0000;
2005;1;2;9;44.0000;30.0000;90.0000;11.0000;52.0000;
2005;1;2;10;48.0000;42.0000;112.400;14.0000;50.0000;
2005;1;2;11;59.0000;58.0000;147.933;14.0000;77.0000;
2005;1;2;12;51.0000;32.0000;100.067;23.0000;47.0000;
2005;1;2;13;39.0000;13.0000;58.9333;41.0000;35.0000;
2005;1;2;14;33.0000;10.0000;48.3333;47.0000;21.0000;
2005;1;2;15;47.0000;19.0000;76.1333;40.0000;37.0000;
2005;1;2;16;60.0000;19.0000;89.1333;43.0000;34.0000;
2005;1;2;17;81.0000;54.0000;163.800;15.0000;62.0000;
2005;1;2;18;79.0000;90.0000;217.000;10.0000;34.0000;
2005;1;2;19;73.0000;73.0000;184.933;9.00000;47.0000;
2005;1;2;20;72.0000;62.0000;167.067;10.0000;50.0000;
2005;1;2;21;70.0000;65.0000;169.667;10.0000;62.0000;
2005;1;2;22;64.0000;36.0000;119.200;10.0000;54.0000;
2005;1;2;23;62.0000;34.0000;114.133;9.00000;59.0000;
2005;1;2;24;59.0000;24.0000;95.8000;10.0000;49.0000;
2005;1;3;1;58.0000;22.0000;91.7333;10.0000;48.0000;
2005;1;3;2;56.0000;12.0000;74.4000;11.0000;45.0000;
2005;1;3;3;51.0000;8.00000;63.2667;12.0000;40.0000;
2005;1;3;4;45.0000;6.00000;54.2000;17.0000;35.0000;
2005;1;3;5;40.0000;6.00000;49.2000;23.0000;32.0000;
2005;1;3;6;43.0000;10.0000;58.3333;54.0000;18.0000;
2005;1;3;7;61.0000;25.0000;99.3333;14.0000;19.0000;
2005;1;3;8;83.0000;85.0000;213.333;10.0000;32.0000;
2005;1;3;9;79.0000;74.0000;192.467;12.0000;49.0000;
2005;1;3;10;67.0000;41.0000;129.867;17.0000;34.0000;
2005;1;3;11;86.0000;77.0000;204.067;17.0000;38.0000;
2005;1;3;12;67.0000;48.0000;140.600;31.0000;24.0000;
2005;1;3;13;43.0000;24.0000;79.8000;52.0000;14.0000;
2005;1;3;14;38.0000;19.0000;67.1333;55.0000;11.0000;
2005;1;3;15;34.0000;14.0000;55.4667;61.0000;7.00000;
2005;1;3;16;46.0000;27.0000;87.4000;52.0000;10.0000;
2005;1;3;17;58.0000;26.0000;97.8667;42.0000;16.0000;
