year;month;day;hour;NO2;NO;NOx;PM10;
2005;1;1;1;34.0000;12.0000;52.0000;33.0000;
2005;1;1;2;26.0000;20.0000;56.0000;245.000;
2005;1;1;3;40.0000;42.0000;105.000;57.0000;
2005;1;1;4;35.0000;22.0000;68.0000;85.0000;
2005;1;1;5;23.0000;18.0000;52.0000;34.0000;
2005;1;1;6;9.00000;8.00000;22.0000;40.0000;
2005;1;1;7;21.0000;9.00000;36.0000;106.000;
2005;1;1;8;17.0000;8.00000;30.0000;15.0000;
2005;1;1;9;17.0000;16.0000;42.0000;0.000000;
2005;1;1;10;21.0000;12.0000;39.0000;50.0000;
2005;1;1;11;33.0000;24.0000;69.0000;0.000000;
2005;1;1;12;-999;-999;-999;0.000000;
2005;1;1;13;-999;-999;-999;9.00000;
2005;1;1;14;-999;-999;-999;33.0000;
2005;1;1;15;-999;-999;-999;67.0000;
2005;1;1;16;-999;-999;-999;293.000;
2005;1;1;17;-999;-999;-999;116.000;
2005;1;1;18;-999;-999;-999;116.000;
2005;1;1;19;-999;-999;-999;99.0000;
2005;1;1;20;-999;-999;-999;29.0000;
2005;1;1;21;-999;-999;-999;127.000;
2005;1;1;22;-999;-999;-999;12.0000;
2005;1;1;23;-999;-999;-999;26.0000;
2005;1;1;24;34.0000;9.00000;48.0000;26.0000;
2005;1;2;1;34.0000;9.00000;48.0000;33.0000;
2005;1;2;2;34.0000;9.00000;48.0000;74.0000;
2005;1;2;3;29.0000;12.0000;47.0000;0.000000;
2005;1;2;4;35.0000;18.0000;63.0000;26.0000;
2005;1;2;5;21.0000;9.00000;35.0000;2.00000;
2005;1;2;6;17.0000;8.00000;29.0000;9.00000;
2005;1;2;7;25.0000;8.00000;38.0000;0.000000;
2005;1;2;8;26.0000;8.00000;39.0000;57.0000;
2005;1;2;9;26.0000;8.00000;39.0000;-999;
2005;1;2;10;26.0000;8.00000;39.0000;43.0000;
2005;1;2;11;42.0000;36.0000;97.0000;47.0000;
2005;1;2;12;55.0000;60.0000;147.000;102.000;
2005;1;2;13;62.0000;64.0000;159.000;36.0000;
2005;1;2;14;53.0000;35.0000;108.000;43.0000;
2005;1;2;15;52.0000;23.0000;87.0000;78.0000;
2005;1;2;16;48.0000;22.0000;82.0000;99.0000;
2005;1;2;17;62.0000;32.0000;111.000;95.0000;
2005;1;2;18;69.0000;35.0000;123.000;85.0000;
2005;1;2;19;71.0000;35.0000;125.000;96.0000;
2005;1;2;20;71.0000;35.0000;125.000;92.0000;
2005;1;2;21;71.0000;35.0000;125.000;102.000;
2005;1;2;22;71.0000;35.0000;125.000;95.0000;
2005;1;2;23;71.0000;35.0000;125.000;85.0000;
2005;1;2;24;71.0000;35.0000;125.000;64.0000;
2005;1;3;1;71.0000;35.0000;125.000;50.0000;
2005;1;3;2;71.0000;35.0000;125.000;47.0000;
2005;1;3;3;71.0000;35.0000;125.000;29.0000;
2005;1;3;4;71.0000;35.0000;125.000;22.0000;
2005;1;3;5;71.0000;35.0000;125.000;36.0000;
2005;1;3;6;71.0000;35.0000;125.000;9.00000;
2005;1;3;7;71.0000;35.0000;125.000;19.0000;
2005;1;3;8;-999;-999;-999;15.0000;
2005;1;3;9;-999;-999;-999;33.0000;
2005;1;3;10;-999;-999;-999;29.0000;
2005;1;3;11;-999;-999;-999;71.0000;
2005;1;3;12;72.0000;176.000;341.000;46.0000;
2005;1;3;13;55.0000;65.0000;155.000;57.0000;
2005;1;3;14;46.0000;36.0000;102.000;1.00000;
2005;1;3;15;46.0000;39.0000;107.000;29.0000;
2005;1;3;16;47.0000;45.0000;116.000;68.0000;
2005;1;3;17;47.0000;45.0000;115.000;116.000;
2005;1;3;18;47.0000;45.0000;115.000;63.0000;
2005;1;3;19;47.0000;45.0000;115.000;67.0000;
2005;1;3;20;47.0000;45.0000;115.000;29.0000;
2005;1;3;21;47.0000;45.0000;115.000;33.0000;
2005;1;3;22;48.0000;24.0000;85.0000;50.0000;
2005;1;3;23;49.0000;19.0000;78.0000;29.0000;
2005;1;3;24;50.0000;18.0000;78.0000;40.0000;
