year;month;day;hour;NO2;NO;NOx;O3;PM10;PM25;
2005;1;1;1;75.0000;44.0000;142.467;8.00000;-999;53.0000;
2005;1;1;2;73.0000;48.0000;146.600;7.00000;-999;53.0000;
2005;1;1;3;64.0000;43.0000;129.933;6.00000;-999;53.0000;
2005;1;1;4;58.0000;26.0000;97.8667;5.00000;-999;53.0000;
2005;1;1;5;60.0000;31.0000;107.533;5.00000;-999;53.0000;
2005;1;1;6;59.0000;25.0000;97.3333;6.00000;-999;53.0000;
2005;1;1;7;56.0000;23.0000;91.2667;6.00000;-999;53.0000;
2005;1;1;8;53.0000;17.0000;79.0667;6.00000;-999;53.0000;
2005;1;1;9;49.0000;15.0000;72.0000;9.00000;-999;53.0000;
2005;1;1;10;46.0000;23.0000;81.2667;16.0000;-999;53.0000;
2005;1;1;11;43.0000;31.0000;90.5333;18.0000;-999;53.0000;
2005;1;1;12;37.0000;24.0000;73.8000;26.0000;-999;53.0000;
2005;1;1;13;36.0000;17.0000;62.0667;36.0000;-999;53.0000;
2005;1;1;14;33.0000;12.0000;51.4000;49.0000;-999;53.0000;
2005;1;1;15;38.0000;12.0000;56.4000;49.0000;-999;53.0000;
2005;1;1;16;38.0000;9.00000;51.8000;52.0000;-999;53.0000;
2005;1;1;17;50.0000;9.00000;63.8000;32.0000;-999;53.0000;
2005;1;1;18;34.0000;4.00000;40.1333;36.0000;-999;53.0000;
2005;1;1;19;33.0000;5.00000;40.6667;37.0000;-999;53.0000;
2005;1;1;20;36.0000;5.00000;43.6667;31.0000;-999;53.0000;
2005;1;1;21;36.0000;4.00000;42.1333;23.0000;-999;53.0000;
2005;1;1;22;34.0000;5.00000;41.6667;21.0000;-999;53.0000;
2005;1;1;23;33.0000;4.00000;39.1333;21.0000;-999;53.0000;
2005;1;1;24;53.0000;6.00000;62.2000;10.0000;-999;53.0000;
2005;1;2;1;60.0000;10.0000;75.3333;6.00000;48.0000;44.0000;
2005;1;2;2;64.0000;12.0000;82.4000;6.00000;48.0000;44.0000;
2005;1;2;3;62.0000;14.0000;83.4667;6.00000;48.0000;44.0000;
2005;1;2;4;51.0000;9.00000;64.8000;6.00000;48.0000;44.0000;
2005;1;2;5;48.0000;7.00000;58.7333;9.00000;48.0000;44.0000;
2005;1;2;6;54.0000;9.00000;67.8000;8.00000;48.0000;44.0000;
2005;1;2;7;47.0000;12.0000;65.4000;5.00000;48.0000;44.0000;
2005;1;2;8;50.0000;11.0000;66.8667;8.00000;48.0000;44.0000;
2005;1;2;9;38.0000;11.0000;54.8667;20.0000;48.0000;44.0000;
2005;1;2;10;35.0000;15.0000;58.0000;22.0000;48.0000;44.0000;
