year;month;day;hour;TEMP;WS;WD;
2005; 1; 1; 1;-1.8;0.60;320.;
2005; 1; 1; 2;0.01;0.70;41.0;
2005; 1; 1; 3;0.01;0.60;31.0;
2005; 1; 1; 4;0.80;0.60;31.0;
2005; 1; 1; 5;1.31;0.50;42.0;
2005; 1; 1; 6;1.31;0.60;42.0;
2005; 1; 1; 7;0.41;0.50;32.0;
2005; 1; 1; 8;-0.7;0.00;-999;
2005; 1; 1; 9;-1.1;0.40;30.0;
2005; 1; 1;10;-1.6;0.00;-999;
2005; 1; 1;11;-0.3;0.50;351.;
2005; 1; 1;12;4.41;0.70;337.;
2005; 1; 1;13;6.81;0.80;293.;
2005; 1; 1;14;8.51;0.80;207.;
2005; 1; 1;15;9.71;0.90;217.;
2005; 1; 1;16;8.71;1.00;217.;
2005; 1; 1;17;6.91;0.80;232.;
2005; 1; 1;18;5.21;0.70;231.;
2005; 1; 1;19;3.21;0.00;-999;
2005; 1; 1;20;2.01;0.00;-999;
2005; 1; 1;21;1.21;0.40;304.;
2005; 1; 1;22;0.80;0.50;335.;
2005; 1; 1;23;0.41;0.50;346.;
2005; 1; 1;24;0.11;0.50;11.0;
2005; 1; 2; 1;0.30;0.00;-999;
2005; 1; 2; 2;0.61;0.60;357.;
2005; 1; 2; 3;0.61;0.60;11.0;
2005; 1; 2; 4;1.11;0.40;-999;
2005; 1; 2; 5;0.51;0.70;308.;
2005; 1; 2; 6;0.61;0.80;302.;
2005; 1; 2; 7;0.01;0.50;3.00;
2005; 1; 2; 8;-0.4;0.50;345.;
2005; 1; 2; 9;-0.7;0.60;35.0;
2005; 1; 2;10;-0.9;0.00;-999;
2005; 1; 2;11;0.41;0.00;-999;
2005; 1; 2;12;5.21;0.80;6.00;
2005; 1; 2;13;8.41;0.70;334.;
2005; 1; 2;14;10.5;0.90;244.;
2005; 1; 2;15;11.4;1.20;301.;
2005; 1; 2;16;10.8;1.40;248.;
2005; 1; 2;17;9.31;1.10;240.;
2005; 1; 2;18;7.11;0.30;-999;
2005; 1; 2;19;4.81;0.00;-999;
2005; 1; 2;20;3.61;0.00;-999;
2005; 1; 2;21;2.91;0.00;-999;
2005; 1; 2;22;2.31;0.30;-999;
2005; 1; 2;23;1.91;0.70;353.;
2005; 1; 2;24;2.31;0.80;45.0;
2005; 1; 3; 1;4.41;1.00;59.0;
2005; 1; 3; 2;5.61;1.60;38.0;
2005; 1; 3; 3;7.31;2.50;35.0;
2005; 1; 3; 4;7.51;2.80;41.0;
2005; 1; 3; 5;6.11;1.30;50.0;
2005; 1; 3; 6;5.01;1.10;50.0;
2005; 1; 3; 7;5.01;1.30;46.0;
2005; 1; 3; 8;5.11;1.30;47.0;
2005; 1; 3; 9;4.91;1.10;52.0;
2005; 1; 3;10;4.11;0.80;42.0;
2005; 1; 3;11;4.61;0.50;-999;
2005; 1; 3;12;9.21;1.20;296.;
