year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;40.0000;2.00000;43.0667;19.0000;39.0000;
2005;1;1;2;47.0000;4.00000;53.1333;12.0000;46.0000;
2005;1;1;3;50.0000;5.00000;57.6667;10.0000;52.0000;
2005;1;1;4;54.0000;7.00000;64.7333;7.00000;49.0000;
2005;1;1;5;50.0000;6.00000;59.2000;8.00000;33.0000;
2005;1;1;6;46.0000;4.00000;52.1333;11.0000;22.0000;
2005;1;1;7;44.0000;3.00000;48.6000;11.0000;18.0000;
2005;1;1;8;50.0000;5.00000;57.6667;9.00000;17.0000;
2005;1;1;9;46.0000;5.00000;53.6667;13.0000;12.0000;
2005;1;1;10;48.0000;12.0000;66.4000;14.0000;18.0000;
2005;1;1;11;49.0000;16.0000;73.5333;28.0000;33.0000;
2005;1;1;12;23.0000;3.00000;27.6000;54.0000;25.0000;
2005;1;1;13;21.0000;2.00000;24.0667;56.0000;29.0000;
2005;1;1;14;19.0000;2.00000;22.0667;60.0000;29.0000;
2005;1;1;15;18.0000;2.00000;21.0667;57.0000;30.0000;
2005;1;1;16;24.0000;2.00000;27.0667;53.0000;34.0000;
2005;1;1;17;37.0000;2.00000;40.0667;41.0000;40.0000;
2005;1;1;18;57.0000;7.00000;67.7333;16.0000;59.0000;
2005;1;1;19;65.0000;22.0000;98.7333;8.00000;74.0000;
2005;1;1;20;63.0000;21.0000;95.2000;7.00000;72.0000;
2005;1;1;21;59.0000;17.0000;85.0667;7.00000;62.0000;
2005;1;1;22;59.0000;19.0000;88.1333;8.00000;61.0000;
2005;1;1;23;51.0000;7.00000;61.7333;12.0000;48.0000;
2005;1;1;24;49.0000;4.00000;55.1333;12.0000;40.0000;
2005;1;2;1;38.0000;2.00000;41.0667;20.0000;30.0000;
2005;1;2;2;38.0000;2.00000;41.0667;17.0000;29.0000;
2005;1;2;3;38.0000;2.00000;41.0667;14.0000;22.0000;
2005;1;2;4;36.0000;2.00000;39.0667;16.0000;21.0000;
2005;1;2;5;35.0000;2.00000;38.0667;15.0000;13.0000;
2005;1;2;6;31.0000;2.00000;34.0667;18.0000;14.0000;
2005;1;2;7;38.0000;2.00000;41.0667;12.0000;16.0000;
2005;1;2;8;43.0000;3.00000;47.6000;11.0000;12.0000;
2005;1;2;9;44.0000;6.00000;53.2000;11.0000;17.0000;
2005;1;2;10;45.0000;11.0000;61.8667;14.0000;23.0000;
2005;1;2;11;53.0000;19.0000;82.1333;29.0000;42.0000;
2005;1;2;12;32.0000;5.00000;39.6667;50.0000;33.0000;
2005;1;2;13;19.0000;2.00000;22.0667;63.0000;26.0000;
2005;1;2;14;17.0000;2.00000;20.0667;61.0000;22.0000;
2005;1;2;15;18.0000;2.00000;21.0667;61.0000;23.0000;
2005;1;2;16;25.0000;2.00000;28.0667;58.0000;33.0000;
2005;1;2;17;40.0000;3.00000;44.6000;46.0000;38.0000;
2005;1;2;18;63.0000;14.0000;84.4667;16.0000;62.0000;
2005;1;2;19;67.0000;27.0000;108.400;9.00000;74.0000;
2005;1;2;20;67.0000;27.0000;108.400;8.00000;69.0000;
2005;1;2;21;66.0000;27.0000;107.400;7.00000;70.0000;
2005;1;2;22;60.0000;15.0000;83.0000;8.00000;52.0000;
2005;1;2;23;55.0000;11.0000;71.8667;11.0000;42.0000;
2005;1;2;24;45.0000;3.00000;49.6000;15.0000;27.0000;
2005;1;3;1;42.0000;3.00000;46.6000;16.0000;26.0000;
2005;1;3;2;35.0000;1.00000;36.5333;22.0000;18.0000;
2005;1;3;3;33.0000;1.00000;34.5333;22.0000;14.0000;
2005;1;3;4;32.0000;2.00000;35.0667;23.0000;10.0000;
2005;1;3;5;23.0000;1.00000;24.5333;37.0000;7.00000;
2005;1;3;6;32.0000;3.00000;36.6000;25.0000;7.00000;
2005;1;3;7;46.0000;7.00000;56.7333;16.0000;9.00000;
2005;1;3;8;55.0000;12.0000;73.4000;8.00000;16.0000;
2005;1;3;9;62.0000;26.0000;101.867;7.00000;22.0000;
2005;1;3;10;63.0000;32.0000;112.067;12.0000;33.0000;
2005;1;3;11;60.0000;37.0000;116.733;21.0000;43.0000;
