year;month;day;hour;NO2;NO;NOx;SO2;O3;PM10;
2005;1;1;1;15.0000;1.00000;16.0000;4.00000;69.0000;14.0000;
2005;1;1;2;23.0000;2.00000;25.0000;4.00000;63.0000;14.0000;
2005;1;1;3;26.0000;5.00000;33.0000;4.00000;54.0000;14.0000;
2005;1;1;4;35.0000;11.0000;51.0000;4.00000;50.0000;14.0000;
2005;1;1;5;36.0000;2.00000;40.0000;4.00000;43.0000;14.0000;
2005;1;1;6;17.0000;1.00000;18.0000;3.00000;68.0000;14.0000;
2005;1;1;7;41.0000;5.00000;49.0000;13.0000;35.0000;14.0000;
2005;1;1;8;56.0000;9.00000;70.0000;18.0000;14.0000;14.0000;
2005;1;1;9;55.0000;57.0000;142.000;23.0000;19.0000;14.0000;
2005;1;1;10;30.0000;5.00000;38.0000;17.0000;55.0000;14.0000;
2005;1;1;11;32.0000;8.00000;45.0000;15.0000;57.0000;14.0000;
2005;1;1;12;47.0000;32.0000;96.0000;19.0000;41.0000;14.0000;
2005;1;1;13;60.0000;44.0000;127.000;20.0000;30.0000;14.0000;
2005;1;1;14;57.0000;31.0000;105.000;19.0000;34.0000;14.0000;
2005;1;1;15;48.0000;18.0000;75.0000;21.0000;48.0000;14.0000;
2005;1;1;16;50.0000;18.0000;77.0000;17.0000;48.0000;14.0000;
2005;1;1;17;70.0000;35.0000;124.000;32.0000;24.0000;14.0000;
2005;1;1;18;71.0000;21.0000;103.000;20.0000;14.0000;14.0000;
2005;1;1;19;63.0000;16.0000;86.0000;16.0000;15.0000;14.0000;
2005;1;1;20;55.0000;11.0000;71.0000;14.0000;19.0000;14.0000;
2005;1;1;21;57.0000;18.0000;85.0000;15.0000;21.0000;14.0000;
2005;1;1;22;40.0000;6.00000;49.0000;8.00000;35.0000;14.0000;
2005;1;1;23;48.0000;60.0000;140.000;9.00000;22.0000;14.0000;
2005;1;1;24;30.0000;18.0000;57.0000;5.00000;45.0000;14.0000;
2005;1;2;1;35.0000;6.00000;44.0000;4.00000;35.0000;19.0000;
2005;1;2;2;37.0000;55.0000;121.000;7.00000;37.0000;19.0000;
2005;1;2;3;12.0000;1.00000;13.0000;4.00000;69.0000;19.0000;
2005;1;2;4;32.0000;4.00000;38.0000;4.00000;53.0000;19.0000;
2005;1;2;5;54.0000;23.0000;89.0000;6.00000;23.0000;19.0000;
2005;1;2;6;38.0000;7.00000;49.0000;4.00000;39.0000;19.0000;
2005;1;2;7;45.0000;14.0000;66.0000;21.0000;25.0000;19.0000;
2005;1;2;8;53.0000;11.0000;70.0000;22.0000;21.0000;19.0000;
2005;1;2;9;53.0000;17.0000;79.0000;19.0000;23.0000;19.0000;
2005;1;2;10;61.0000;48.0000;134.000;22.0000;15.0000;19.0000;
2005;1;2;11;44.0000;39.0000;103.000;22.0000;37.0000;19.0000;
2005;1;2;12;32.0000;11.0000;49.0000;16.0000;52.0000;19.0000;
2005;1;2;13;50.0000;32.0000;99.0000;26.0000;38.0000;19.0000;
2005;1;2;14;39.0000;14.0000;59.0000;21.0000;51.0000;19.0000;
2005;1;2;15;45.0000;18.0000;72.0000;20.0000;46.0000;19.0000;
2005;1;2;16;56.0000;22.0000;89.0000;23.0000;34.0000;19.0000;
2005;1;2;17;68.0000;47.0000;140.000;22.0000;16.0000;19.0000;
2005;1;2;18;65.0000;66.0000;165.000;28.0000;11.0000;19.0000;
2005;1;2;19;53.0000;18.0000;81.0000;11.0000;19.0000;19.0000;
2005;1;2;20;62.0000;40.0000;123.000;11.0000;9.00000;19.0000;
2005;1;2;21;59.0000;85.0000;189.000;17.0000;10.0000;19.0000;
2005;1;2;22;58.0000;113.000;232.000;19.0000;9.00000;19.0000;
2005;1;2;23;49.0000;42.0000;113.000;12.0000;21.0000;19.0000;
2005;1;2;24;47.0000;18.0000;75.0000;8.00000;23.0000;19.0000;
2005;1;3;1;58.0000;131.000;258.000;15.0000;7.00000;23.0000;
2005;1;3;2;56.0000;25.0000;95.0000;7.00000;13.0000;23.0000;
2005;1;3;3;19.0000;1.00000;20.0000;5.00000;58.0000;23.0000;
2005;1;3;4;16.0000;1.00000;17.0000;5.00000;59.0000;23.0000;
2005;1;3;5;31.0000;1.00000;32.0000;5.00000;43.0000;23.0000;
2005;1;3;6;32.0000;2.00000;35.0000;4.00000;36.0000;23.0000;
2005;1;3;7;43.0000;14.0000;65.0000;17.0000;23.0000;23.0000;
2005;1;3;8;41.0000;15.0000;64.0000;15.0000;32.0000;23.0000;
2005;1;3;9;32.0000;6.00000;42.0000;13.0000;46.0000;23.0000;
2005;1;3;10;46.0000;22.0000;79.0000;16.0000;32.0000;23.0000;
2005;1;3;11;27.0000;7.00000;38.0000;10.0000;57.0000;23.0000;
2005;1;3;12;22.0000;6.00000;31.0000;7.00000;65.0000;23.0000;
2005;1;3;13;21.0000;6.00000;31.0000;6.00000;73.0000;23.0000;
2005;1;3;14;31.0000;13.0000;52.0000;12.0000;60.0000;23.0000;
2005;1;3;15;46.0000;24.0000;82.0000;16.0000;49.0000;23.0000;
2005;1;3;16;55.0000;25.0000;94.0000;16.0000;35.0000;23.0000;
2005;1;3;17;66.0000;43.0000;132.000;24.0000;19.0000;23.0000;
2005;1;3;18;57.0000;12.0000;76.0000;14.0000;24.0000;23.0000;
2005;1;3;19;64.0000;55.0000;148.000;13.0000;10.0000;23.0000;
2005;1;3;20;54.0000;25.0000;92.0000;11.0000;23.0000;23.0000;
2005;1;3;21;45.0000;7.00000;56.0000;8.00000;34.0000;23.0000;
2005;1;3;22;36.0000;3.00000;40.0000;4.00000;45.0000;23.0000;
2005;1;3;23;22.0000;2.00000;25.0000;2.00000;60.0000;23.0000;
2005;1;3;24;24.0000;3.00000;28.0000;1.00000;57.0000;23.0000;
2005;1;4;1;59.0000;17.0000;85.0000;2.00000;12.0000;19.0000;
2005;1;4;2;31.0000;4.00000;37.0000;2.00000;48.0000;19.0000;
2005;1;4;3;15.0000;1.00000;16.0000;1.00000;65.0000;19.0000;
2005;1;4;4;17.0000;1.00000;18.0000;1.00000;68.0000;19.0000;
2005;1;4;5;10.0000;1.00000;10.0000;1.00000;73.0000;19.0000;
2005;1;4;6;36.0000;3.00000;41.0000;2.00000;43.0000;19.0000;
2005;1;4;7;32.0000;4.00000;39.0000;13.0000;48.0000;19.0000;
2005;1;4;8;39.0000;7.00000;50.0000;14.0000;42.0000;19.0000;
2005;1;4;9;69.0000;60.0000;161.000;23.0000;13.0000;19.0000;
2005;1;4;10;63.0000;51.0000;141.000;23.0000;17.0000;19.0000;
2005;1;4;11;64.0000;92.0000;205.000;24.0000;20.0000;19.0000;
2005;1;4;12;37.0000;17.0000;64.0000;9.00000;53.0000;19.0000;
2005;1;4;13;62.0000;75.0000;176.000;24.0000;27.0000;19.0000;
2005;1;4;14;55.0000;44.0000;122.000;18.0000;33.0000;19.0000;
2005;1;4;15;51.0000;31.0000;98.0000;14.0000;37.0000;19.0000;
2005;1;4;16;62.0000;45.0000;130.000;24.0000;27.0000;19.0000;
2005;1;4;17;67.0000;39.0000;127.000;28.0000;14.0000;19.0000;
2005;1;4;18;70.0000;57.0000;156.000;23.0000;10.0000;19.0000;
2005;1;4;19;59.0000;29.0000;104.000;14.0000;18.0000;19.0000;
2005;1;4;20;47.0000;9.00000;61.0000;11.0000;31.0000;19.0000;
2005;1;4;21;63.0000;38.0000;120.000;17.0000;11.0000;19.0000;
2005;1;4;22;47.0000;12.0000;66.0000;9.00000;25.0000;19.0000;
2005;1;4;23;50.0000;18.0000;78.0000;6.00000;21.0000;19.0000;
2005;1;4;24;50.0000;49.0000;125.000;8.00000;20.0000;19.0000;
2005;1;5;1;43.0000;14.0000;64.0000;6.00000;28.0000;29.0000;
2005;1;5;2;50.0000;13.0000;70.0000;4.00000;17.0000;29.0000;
2005;1;5;3;24.0000;2.00000;28.0000;3.00000;55.0000;29.0000;
2005;1;5;4;19.0000;0.000000;19.0000;3.00000;58.0000;29.0000;
2005;1;5;5;12.0000;1.00000;13.0000;2.00000;64.0000;29.0000;
2005;1;5;6;23.0000;2.00000;26.0000;2.00000;49.0000;29.0000;
2005;1;5;7;52.0000;23.0000;87.0000;20.0000;19.0000;29.0000;
2005;1;5;8;61.0000;27.0000;102.000;22.0000;15.0000;29.0000;
2005;1;5;9;64.0000;91.0000;204.000;23.0000;12.0000;29.0000;
2005;1;5;10;69.0000;141.000;285.000;29.0000;13.0000;29.0000;
2005;1;5;11;38.0000;15.0000;60.0000;16.0000;42.0000;29.0000;
2005;1;5;12;28.0000;7.00000;40.0000;11.0000;62.0000;29.0000;
2005;1;5;13;61.0000;64.0000;159.000;29.0000;28.0000;29.0000;
2005;1;5;14;49.0000;28.0000;92.0000;21.0000;38.0000;29.0000;
2005;1;5;15;54.0000;27.0000;94.0000;21.0000;29.0000;29.0000;
2005;1;5;16;63.0000;36.0000;117.000;22.0000;20.0000;29.0000;
2005;1;5;17;59.0000;22.0000;92.0000;16.0000;26.0000;29.0000;
2005;1;5;18;71.0000;63.0000;168.000;18.0000;12.0000;29.0000;
2005;1;5;19;72.0000;204.000;384.000;24.0000;12.0000;29.0000;
2005;1;5;20;63.0000;106.000;225.000;23.0000;12.0000;29.0000;
2005;1;5;21;60.0000;76.0000;176.000;17.0000;9.00000;29.0000;
2005;1;5;22;53.0000;42.0000;117.000;12.0000;11.0000;29.0000;
2005;1;5;23;52.0000;45.0000;120.000;9.00000;11.0000;29.0000;
2005;1;5;24;41.0000;9.00000;55.0000;5.00000;20.0000;29.0000;
2005;1;6;1;34.0000;6.00000;43.0000;5.00000;31.0000;26.0000;
2005;1;6;2;26.0000;1.00000;28.0000;4.00000;37.0000;26.0000;
2005;1;6;3;24.0000;1.00000;25.0000;3.00000;39.0000;26.0000;
2005;1;6;4;43.0000;28.0000;87.0000;5.00000;16.0000;26.0000;
2005;1;6;5;24.0000;2.00000;27.0000;3.00000;37.0000;26.0000;
2005;1;6;6;15.0000;1.00000;16.0000;4.00000;60.0000;26.0000;
2005;1;6;7;25.0000;4.00000;31.0000;16.0000;53.0000;26.0000;
2005;1;6;8;53.0000;18.0000;80.0000;24.0000;19.0000;26.0000;
2005;1;6;9;54.0000;31.0000;101.000;32.0000;18.0000;26.0000;
2005;1;6;10;33.0000;12.0000;51.0000;19.0000;42.0000;26.0000;
2005;1;6;11;31.0000;11.0000;47.0000;15.0000;47.0000;26.0000;
2005;1;6;12;32.0000;14.0000;53.0000;17.0000;49.0000;26.0000;
2005;1;6;13;47.0000;32.0000;95.0000;24.0000;36.0000;26.0000;
2005;1;6;14;45.0000;21.0000;77.0000;29.0000;38.0000;26.0000;
2005;1;6;15;37.0000;15.0000;60.0000;18.0000;46.0000;26.0000;
2005;1;6;16;39.0000;12.0000;57.0000;13.0000;42.0000;26.0000;
2005;1;6;17;45.0000;24.0000;81.0000;12.0000;26.0000;26.0000;
2005;1;6;18;58.0000;31.0000;106.000;13.0000;11.0000;26.0000;
2005;1;6;19;55.0000;16.0000;80.0000;14.0000;16.0000;26.0000;
2005;1;6;20;48.0000;15.0000;70.0000;16.0000;25.0000;26.0000;
2005;1;6;21;41.0000;8.00000;53.0000;13.0000;33.0000;26.0000;
2005;1;6;22;37.0000;7.00000;47.0000;7.00000;37.0000;26.0000;
2005;1;6;23;25.0000;3.00000;30.0000;3.00000;58.0000;26.0000;
2005;1;6;24;12.0000;1.00000;13.0000;2.00000;72.0000;26.0000;
2005;1;7;1;25.0000;1.00000;27.0000;2.00000;57.0000;-999;
2005;1;7;2;26.0000;6.00000;35.0000;3.00000;54.0000;-999;
2005;1;7;3;22.0000;1.00000;24.0000;2.00000;55.0000;-999;
2005;1;7;4;13.0000;2.00000;16.0000;2.00000;74.0000;-999;
2005;1;7;5;8.00000;1.00000;9.00000;2.00000;74.0000;-999;
2005;1;7;6;22.0000;2.00000;25.0000;3.00000;58.0000;-999;
2005;1;7;7;42.0000;15.0000;65.0000;13.0000;28.0000;-999;
2005;1;7;8;62.0000;97.0000;210.000;21.0000;8.00000;-999;
2005;1;7;9;60.0000;156.000;298.000;27.0000;8.00000;-999;
2005;1;7;10;61.0000;132.000;264.000;33.0000;9.00000;-999;
2005;1;7;11;60.0000;99.0000;211.000;28.0000;12.0000;-999;
2005;1;7;12;55.0000;51.0000;133.000;20.0000;26.0000;-999;
2005;1;7;13;55.0000;48.0000;129.000;26.0000;27.0000;-999;
2005;1;7;14;50.0000;29.0000;95.0000;26.0000;34.0000;-999;
2005;1;7;15;48.0000;23.0000;83.0000;16.0000;42.0000;-999;
2005;1;7;16;54.0000;27.0000;96.0000;22.0000;33.0000;-999;
2005;1;7;17;66.0000;36.0000;121.000;21.0000;17.0000;-999;
2005;1;7;18;69.0000;33.0000;120.000;17.0000;11.0000;-999;
2005;1;7;19;62.0000;69.0000;167.000;16.0000;10.0000;-999;
2005;1;7;20;60.0000;51.0000;137.000;17.0000;9.00000;-999;
2005;1;7;21;51.0000;51.0000;129.000;14.0000;15.0000;-999;
2005;1;7;22;33.0000;6.00000;41.0000;8.00000;33.0000;-999;
2005;1;7;23;25.0000;1.00000;27.0000;5.00000;43.0000;-999;
2005;1;7;24;27.0000;2.00000;29.0000;4.00000;40.0000;-999;
2005;1;8;1;40.0000;8.00000;53.0000;5.00000;22.0000;34.0000;
2005;1;8;2;40.0000;7.00000;50.0000;4.00000;23.0000;34.0000;
2005;1;8;3;29.0000;2.00000;31.0000;3.00000;35.0000;34.0000;
2005;1;8;4;21.0000;1.00000;22.0000;2.00000;41.0000;34.0000;
2005;1;8;5;22.0000;1.00000;22.0000;2.00000;38.0000;34.0000;
2005;1;8;6;29.0000;3.00000;33.0000;2.00000;30.0000;34.0000;
2005;1;8;7;41.0000;26.0000;80.0000;11.0000;14.0000;34.0000;
2005;1;8;8;46.0000;24.0000;83.0000;15.0000;12.0000;34.0000;
