year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;47.0000;34.0000;99.0000;-999;119.000;
2005;1;1;2;47.0000;44.0000;114.000;-999;241.000;
2005;1;1;3;48.0000;59.0000;138.000;-999;328.000;
2005;1;1;4;47.0000;39.0000;106.000;-999;261.000;
2005;1;1;5;42.0000;43.0000;109.000;-999;213.000;
2005;1;1;6;39.0000;30.0000;85.0000;-999;162.000;
2005;1;1;7;39.0000;17.0000;64.0000;-999;105.000;
2005;1;1;8;39.0000;16.0000;63.0000;-999;76.0000;
2005;1;1;9;38.0000;19.0000;66.0000;-999;42.0000;
2005;1;1;10;45.0000;30.0000;92.0000;-999;58.0000;
2005;1;1;11;49.0000;27.0000;90.0000;-999;54.0000;
2005;1;1;12;34.0000;9.00000;48.0000;-999;46.0000;
2005;1;1;13;19.0000;3.00000;24.0000;-999;30.0000;
2005;1;1;14;19.0000;2.00000;22.0000;-999;30.0000;
2005;1;1;15;23.0000;3.00000;28.0000;-999;21.0000;
2005;1;1;16;28.0000;2.00000;31.0000;-999;33.0000;
2005;1;1;17;54.0000;7.00000;65.0000;-999;33.0000;
2005;1;1;18;67.0000;47.0000;139.000;-999;66.0000;
2005;1;1;19;66.0000;55.0000;151.000;-999;67.0000;
2005;1;1;20;67.0000;66.0000;168.000;-999;127.000;
2005;1;1;21;65.0000;68.0000;169.000;-999;123.000;
2005;1;1;22;57.0000;48.0000;130.000;-999;123.000;
2005;1;1;23;51.0000;42.0000;115.000;-999;120.000;
2005;1;1;24;46.0000;35.0000;99.0000;-999;104.000;
2005;1;2;1;45.0000;21.0000;78.0000;-999;85.0000;
2005;1;2;2;40.0000;14.0000;62.0000;-999;84.0000;
2005;1;2;3;37.0000;7.00000;47.0000;-999;58.0000;
2005;1;2;4;35.0000;4.00000;40.0000;-999;67.0000;
2005;1;2;5;31.0000;3.00000;35.0000;-999;60.0000;
2005;1;2;6;27.0000;2.00000;31.0000;-999;43.0000;
2005;1;2;7;33.0000;7.00000;44.0000;-999;38.0000;
2005;1;2;8;39.0000;19.0000;68.0000;-999;33.0000;
2005;1;2;9;42.0000;25.0000;81.0000;-999;26.0000;
2005;1;2;10;50.0000;48.0000;124.000;-999;36.0000;
2005;1;2;11;35.0000;17.0000;62.0000;-999;27.0000;
2005;1;2;12;20.0000;4.00000;26.0000;-999;28.0000;
2005;1;2;13;18.0000;3.00000;23.0000;-999;15.0000;
2005;1;2;14;15.0000;2.00000;18.0000;-999;9.00000;
2005;1;2;15;15.0000;2.00000;17.0000;-999;6.00000;
2005;1;2;16;20.0000;1.00000;22.0000;-999;10.0000;
2005;1;2;17;38.0000;3.00000;43.0000;-999;16.0000;
2005;1;2;18;58.0000;37.0000;114.000;-999;47.0000;
2005;1;2;19;60.0000;64.0000;158.000;-999;65.0000;
2005;1;2;20;62.0000;68.0000;166.000;-999;91.0000;
2005;1;2;21;64.0000;66.0000;164.000;-999;117.000;
2005;1;2;22;62.0000;37.0000;118.000;-999;125.000;
2005;1;2;23;44.0000;12.0000;62.0000;-999;93.0000;
2005;1;2;24;21.0000;1.00000;23.0000;-999;65.0000;
2005;1;3;1;14.0000;0.000000;15.0000;-999;35.0000;
2005;1;3;2;4.00000;0.000000;5.00000;-999;20.0000;
2005;1;3;3;6.00000;0.000000;6.00000;-999;15.0000;
2005;1;3;4;10.0000;0.000000;11.0000;-999;12.0000;
2005;1;3;5;10.0000;0.000000;10.0000;-999;8.00000;
