year;month;day;hour;TEMP;WS;WD;
2005; 1; 1; 1;-5.3;0.40;319.;
2005; 1; 1; 2;-1.7;0.60;0.00;
2005; 1; 1; 3;-1.1;0.90;348.;
2005; 1; 1; 4;-1.6;0.50;20.0;
2005; 1; 1; 5;-1.7;0.40;214.;
2005; 1; 1; 6;-1.4;0.60;347.;
2005; 1; 1; 7;-1.0;0.50;343.;
2005; 1; 1; 8;1.21;0.70;84.0;
2005; 1; 1; 9;1.91;1.00;81.0;
2005; 1; 1;10;1.71;1.10;67.0;
2005; 1; 1;11;1.11;0.80;17.0;
2005; 1; 1;12;3.01;1.60;307.;
2005; 1; 1;13;6.61;1.60;309.;
2005; 1; 1;14;7.81;1.60;285.;
2005; 1; 1;15;8.51;1.80;132.;
2005; 1; 1;16;7.11;2.10;135.;
2005; 1; 1;17;4.61;1.70;137.;
2005; 1; 1;18;2.01;0.60;65.0;
2005; 1; 1;19;0.41;0.60;42.0;
2005; 1; 1;20;0.01;0.60;54.0;
2005; 1; 1;21;-0.1;0.60;45.0;
2005; 1; 1;22;-1.1;0.60;13.0;
2005; 1; 1;23;-1.8;0.50;37.0;
2005; 1; 1;24;-2.1;0.40;359.;
2005; 1; 2; 1;-2.1;0.40;348.;
2005; 1; 2; 2;-1.4;0.60;357.;
2005; 1; 2; 3;-2.1;0.50;27.0;
2005; 1; 2; 4;-1.4;0.40;6.00;
2005; 1; 2; 5;-0.6;0.50;356.;
2005; 1; 2; 6;-0.5;0.50;-999;
2005; 1; 2; 7;0.91;0.50;58.0;
2005; 1; 2; 8;1.51;0.70;97.0;
2005; 1; 2; 9;0.21;0.50;20.0;
2005; 1; 2;10;-0.5;0.60;62.0;
2005; 1; 2;11;-0.5;0.40;358.;
2005; 1; 2;12;-0.0;0.50;-999;
2005; 1; 2;13;3.81;0.70;181.;
2005; 1; 2;14;6.41;0.80;166.;
2005; 1; 2;15;9.01;0.90;151.;
2005; 1; 2;16;10.7;1.90;288.;
2005; 1; 2;17;8.31;1.60;302.;
2005; 1; 2;18;6.51;1.50;317.;
2005; 1; 2;19;5.11;1.60;324.;
2005; 1; 2;20;4.71;3.00;293.;
2005; 1; 2;21;3.71;2.80;298.;
2005; 1; 2;22;3.11;2.00;303.;
2005; 1; 2;23;2.91;1.60;299.;
2005; 1; 2;24;2.51;1.90;312.;
2005; 1; 3; 1;1.71;2.80;292.;
2005; 1; 3; 2;1.01;3.40;297.;
2005; 1; 3; 3;0.11;2.40;291.;
2005; 1; 3; 4;-0.0;1.20;307.;
2005; 1; 3; 5;-0.0;1.10;354.;
2005; 1; 3; 6;0.01;1.50;334.;
2005; 1; 3; 7;0.21;1.60;298.;
2005; 1; 3; 8;0.11;2.10;299.;
2005; 1; 3; 9;0.11;2.40;295.;
2005; 1; 3;10;0.01;2.00;297.;
2005; 1; 3;11;0.51;2.20;293.;
2005; 1; 3;12;1.11;2.70;302.;
2005; 1; 3;13;2.31;2.50;294.;
2005; 1; 3;14;3.51;2.50;307.;
2005; 1; 3;15;4.41;3.20;310.;
2005; 1; 3;16;4.21;3.10;303.;
2005; 1; 3;17;1.81;2.70;307.;
2005; 1; 3;18;1.41;2.30;284.;
2005; 1; 3;19;0.80;1.60;310.;
2005; 1; 3;20;0.41;1.20;351.;
2005; 1; 3;21;0.01;0.90;56.0;
2005; 1; 3;22;-1.0;0.60;84.0;
2005; 1; 3;23;-0.9;1.40;111.;
2005; 1; 3;24;-1.1;2.00;109.;
2005; 1; 4; 1;-0.9;2.00;118.;
2005; 1; 4; 2;-1.1;2.20;128.;
2005; 1; 4; 3;-1.5;0.90;-999;
2005; 1; 4; 4;-2.3;0.70;53.0;
2005; 1; 4; 5;-2.4;0.70;342.;
2005; 1; 4; 6;-2.2;0.70;61.0;
2005; 1; 4; 7;-2.7;0.60;352.;
2005; 1; 4; 8;-3.1;0.60;34.0;
2005; 1; 4; 9;-3.2;0.60;67.0;
2005; 1; 4;10;-3.1;0.50;-999;
2005; 1; 4;11;-3.4;0.40;8.00;
2005; 1; 4;12;-2.3;0.60;-999;
2005; 1; 4;13;1.01;0.70;162.;
2005; 1; 4;14;4.41;0.90;169.;
2005; 1; 4;15;7.61;0.90;154.;
2005; 1; 4;16;10.7;0.90;165.;
2005; 1; 4;17;7.41;1.00;250.;
2005; 1; 4;18;4.81;1.10;105.;
2005; 1; 4;19;4.81;1.70;120.;
2005; 1; 4;20;3.01;0.90;58.0;
2005; 1; 4;21;1.91;0.90;68.0;
2005; 1; 4;22;1.31;0.70;66.0;
2005; 1; 4;23;0.80;0.80;53.0;
2005; 1; 4;24;0.71;0.70;51.0;
2005; 1; 5; 1;0.11;0.70;77.0;
2005; 1; 5; 2;-0.0;0.60;48.0;
2005; 1; 5; 3;-0.0;0.60;11.0;
2005; 1; 5; 4;-0.7;0.60;90.0;
2005; 1; 5; 5;-0.5;0.70;25.0;
2005; 1; 5; 6;-0.9;0.60;53.0;
2005; 1; 5; 7;-0.7;0.60;75.0;
2005; 1; 5; 8;-0.2;0.40;336.;
2005; 1; 5; 9;0.21;0.50;345.;
2005; 1; 5;10;0.80;0.40;344.;
2005; 1; 5;11;1.71;0.50;52.0;
2005; 1; 5;12;3.51;0.40;68.0;
2005; 1; 5;13;5.91;0.70;141.;
2005; 1; 5;14;8.21;1.10;141.;
2005; 1; 5;15;10.3;1.40;140.;
2005; 1; 5;16;10.0;1.70;136.;
2005; 1; 5;17;6.81;1.80;145.;
2005; 1; 5;18;3.81;0.40;338.;
2005; 1; 5;19;2.21;0.50;47.0;
2005; 1; 5;20;1.41;0.50;22.0;
2005; 1; 5;21;0.80;0.50;52.0;
2005; 1; 5;22;1.11;0.70;68.0;
2005; 1; 5;23;0.80;0.50;45.0;
2005; 1; 5;24;0.71;0.70;48.0;
2005; 1; 6; 1;0.91;0.60;101.;
2005; 1; 6; 2;0.61;0.60;23.0;
2005; 1; 6; 3;0.30;0.60;49.0;
2005; 1; 6; 4;-0.0;0.60;69.0;
2005; 1; 6; 5;0.30;0.60;59.0;
2005; 1; 6; 6;0.71;0.70;66.0;
2005; 1; 6; 7;0.30;0.70;55.0;
2005; 1; 6; 8;0.01;0.50;348.;
2005; 1; 6; 9;-0.6;0.70;58.0;
2005; 1; 6;10;1.11;0.70;50.0;
2005; 1; 6;11;3.11;0.60;106.;
2005; 1; 6;12;5.91;1.10;258.;
2005; 1; 6;13;7.01;1.20;252.;
2005; 1; 6;14;9.01;1.90;283.;
2005; 1; 6;15;10.6;1.90;284.;
2005; 1; 6;16;10.3;2.10;301.;
2005; 1; 6;17;7.81;2.30;302.;
2005; 1; 6;18;6.61;2.40;287.;
2005; 1; 6;19;5.91;2.10;293.;
2005; 1; 6;20;5.51;1.80;308.;
2005; 1; 6;21;5.51;2.40;285.;
2005; 1; 6;22;4.31;1.80;128.;
2005; 1; 6;23;2.61;2.30;125.;
2005; 1; 6;24;2.41;1.70;125.;
2005; 1; 7; 1;0.71;0.70;11.0;
2005; 1; 7; 2;0.01;0.70;48.0;
2005; 1; 7; 3;-0.4;0.40;21.0;
2005; 1; 7; 4;-0.8;0.60;7.00;
2005; 1; 7; 5;-1.5;0.50;54.0;
2005; 1; 7; 6;-1.8;0.60;25.0;
2005; 1; 7; 7;-1.7;0.40;18.0;
