year;month;day;hour;NO2;NO;NOx;SO2;PM10;
2005;1;1;1;40.0000;41.0000;102.867;12.0000;79.0000;
2005;1;1;2;38.0000;43.0000;103.933;-999;79.0000;
2005;1;1;3;-999;-999;-999;12.0000;79.0000;
2005;1;1;4;38.0000;45.0000;107.000;12.0000;79.0000;
2005;1;1;5;38.0000;52.0000;117.733;12.0000;79.0000;
2005;1;1;6;40.0000;47.0000;112.067;12.0000;79.0000;
2005;1;1;7;39.0000;51.0000;117.200;11.0000;79.0000;
2005;1;1;8;39.0000;48.0000;112.600;12.0000;79.0000;
2005;1;1;9;37.0000;45.0000;106.000;13.0000;79.0000;
2005;1;1;10;32.0000;46.0000;102.533;14.0000;79.0000;
2005;1;1;11;31.0000;46.0000;101.533;14.0000;79.0000;
2005;1;1;12;30.0000;44.0000;97.4667;14.0000;79.0000;
2005;1;1;13;32.0000;42.0000;96.4000;14.0000;79.0000;
2005;1;1;14;31.0000;34.0000;83.1333;14.0000;79.0000;
2005;1;1;15;31.0000;29.0000;75.4667;13.0000;79.0000;
2005;1;1;16;35.0000;26.0000;74.8667;13.0000;79.0000;
2005;1;1;17;42.0000;25.0000;80.3333;13.0000;79.0000;
2005;1;1;18;42.0000;21.0000;74.2000;13.0000;79.0000;
2005;1;1;19;39.0000;20.0000;69.6667;12.0000;79.0000;
2005;1;1;20;39.0000;22.0000;72.7333;13.0000;79.0000;
2005;1;1;21;41.0000;26.0000;80.8667;12.0000;79.0000;
2005;1;1;22;42.0000;28.0000;84.9333;12.0000;79.0000;
2005;1;1;23;43.0000;30.0000;89.0000;12.0000;79.0000;
2005;1;1;24;44.0000;26.0000;83.8667;13.0000;79.0000;
2005;1;2;1;43.0000;29.0000;87.4667;13.0000;84.0000;
2005;1;2;2;44.0000;30.0000;90.0000;-999;84.0000;
2005;1;2;3;-999;-999;-999;12.0000;84.0000;
2005;1;2;4;40.0000;30.0000;86.0000;12.0000;84.0000;
2005;1;2;5;38.0000;25.0000;76.3333;11.0000;84.0000;
2005;1;2;6;35.0000;26.0000;74.8667;10.0000;84.0000;
2005;1;2;7;35.0000;26.0000;74.8667;11.0000;84.0000;
2005;1;2;8;34.0000;23.0000;69.2667;10.0000;84.0000;
2005;1;2;9;29.0000;23.0000;64.2667;10.0000;84.0000;
2005;1;2;10;24.0000;25.0000;62.3333;11.0000;84.0000;
2005;1;2;11;23.0000;28.0000;65.9333;12.0000;84.0000;
2005;1;2;12;29.0000;35.0000;82.6667;14.0000;84.0000;
2005;1;2;13;30.0000;34.0000;82.1333;14.0000;84.0000;
2005;1;2;14;31.0000;30.0000;77.0000;14.0000;84.0000;
2005;1;2;15;34.0000;27.0000;75.4000;14.0000;84.0000;
2005;1;2;16;42.0000;30.0000;88.0000;17.0000;84.0000;
2005;1;2;17;43.0000;27.0000;84.4000;13.0000;84.0000;
2005;1;2;18;48.0000;32.0000;97.0667;11.0000;84.0000;
2005;1;2;19;49.0000;62.0000;144.067;12.0000;84.0000;
2005;1;2;20;50.0000;82.0000;175.733;11.0000;84.0000;
2005;1;2;21;44.0000;59.0000;134.467;11.0000;84.0000;
2005;1;2;22;42.0000;57.0000;129.400;11.0000;84.0000;
2005;1;2;23;41.0000;51.0000;119.200;11.0000;84.0000;
2005;1;2;24;46.0000;46.0000;116.533;11.0000;84.0000;
2005;1;3;1;49.0000;57.0000;136.400;12.0000;76.0000;
2005;1;3;2;43.0000;59.0000;133.467;-999;76.0000;
2005;1;3;3;-999;-999;-999;11.0000;76.0000;
2005;1;3;4;47.0000;75.0000;162.000;12.0000;76.0000;
