year;month;day;hour;NO2;NO;NOx;SO2;O3;PM10;
2005;1;1;1;21.0000;6.00000;30.2000;13.0000;23.0000;37.0000;
2005;1;1;2;-999;-999;-999;-999;24.0000;37.0000;
2005;1;1;3;21.0000;6.00000;30.2000;2.00000;28.0000;37.0000;
2005;1;1;4;21.0000;5.00000;28.6667;2.00000;-999;37.0000;
2005;1;1;5;16.0000;5.00000;23.6667;3.00000;31.0000;37.0000;
2005;1;1;6;13.0000;4.00000;19.1333;3.00000;36.0000;37.0000;
2005;1;1;7;18.0000;5.00000;25.6667;8.00000;34.0000;37.0000;
2005;1;1;8;18.0000;5.00000;25.6667;8.00000;34.0000;37.0000;
2005;1;1;9;20.0000;6.00000;29.2000;7.00000;33.0000;37.0000;
2005;1;1;10;22.0000;7.00000;32.7333;4.00000;31.0000;37.0000;
2005;1;1;11;24.0000;10.0000;39.3333;3.00000;30.0000;37.0000;
2005;1;1;12;25.0000;11.0000;41.8667;4.00000;33.0000;37.0000;
2005;1;1;13;12.0000;6.00000;21.2000;2.00000;57.0000;37.0000;
2005;1;1;14;6.00000;5.00000;13.6667;2.00000;68.0000;37.0000;
2005;1;1;15;12.0000;6.00000;21.2000;1.00000;59.0000;37.0000;
2005;1;1;16;18.0000;6.00000;27.2000;4.00000;50.0000;37.0000;
2005;1;1;17;36.0000;8.00000;48.2667;6.00000;20.0000;37.0000;
2005;1;1;18;60.0000;59.0000;150.467;8.00000;6.00000;37.0000;
2005;1;1;19;46.0000;28.0000;88.9333;6.00000;5.00000;37.0000;
2005;1;1;20;41.0000;19.0000;70.1333;7.00000;7.00000;37.0000;
2005;1;1;21;36.0000;18.0000;63.6000;8.00000;6.00000;37.0000;
2005;1;1;22;33.0000;13.0000;52.9333;7.00000;8.00000;37.0000;
2005;1;1;23;29.0000;12.0000;47.4000;3.00000;7.00000;37.0000;
2005;1;1;24;22.0000;6.00000;31.2000;2.00000;10.0000;37.0000;
2005;1;2;1;17.0000;5.00000;24.6667;1.00000;14.0000;41.0000;
2005;1;2;2;-999;-999;-999;-999;18.0000;41.0000;
2005;1;2;3;15.0000;5.00000;22.6667;2.00000;21.0000;41.0000;
2005;1;2;4;13.0000;5.00000;20.6667;1.00000;-999;41.0000;
2005;1;2;5;12.0000;5.00000;19.6667;2.00000;15.0000;41.0000;
2005;1;2;6;11.0000;5.00000;18.6667;2.00000;14.0000;41.0000;
2005;1;2;7;20.0000;9.00000;33.8000;4.00000;3.00000;41.0000;
2005;1;2;8;25.0000;18.0000;52.6000;9.00000;1.00000;41.0000;
2005;1;2;9;22.0000;15.0000;45.0000;7.00000;5.00000;41.0000;
2005;1;2;10;23.0000;15.0000;46.0000;5.00000;10.0000;41.0000;
2005;1;2;11;28.0000;18.0000;55.6000;4.00000;19.0000;41.0000;
2005;1;2;12;11.0000;7.00000;21.7333;5.00000;45.0000;41.0000;
2005;1;2;13;15.0000;7.00000;25.7333;8.00000;41.0000;41.0000;
