year;month;day;hour;NO2;NO;NOx;SO2;O3;
2005;1;1;1;77.0000;200.000;383.000;-999;13.0000;
2005;1;1;2;80.0000;248.000;460.000;11.0000;13.0000;
2005;1;1;3;78.0000;238.000;444.000;10.0000;13.0000;
2005;1;1;4;82.0000;237.000;444.000;10.0000;12.0000;
2005;1;1;5;69.0000;195.000;367.000;10.0000;10.0000;
2005;1;1;6;63.0000;151.000;294.000;9.00000;9.00000;
2005;1;1;7;62.0000;153.000;297.000;8.00000;8.00000;
2005;1;1;8;60.0000;176.000;329.000;8.00000;8.00000;
2005;1;1;9;60.0000;156.000;299.000;8.00000;7.00000;
2005;1;1;10;70.0000;148.000;297.000;7.00000;8.00000;
2005;1;1;11;72.0000;71.0000;182.000;8.00000;9.00000;
2005;1;1;12;62.0000;30.0000;107.000;9.00000;15.0000;
2005;1;1;13;72.0000;35.0000;126.000;11.0000;16.0000;
2005;1;1;14;69.0000;24.0000;105.000;11.0000;21.0000;
2005;1;1;15;84.0000;30.0000;130.000;10.0000;17.0000;
2005;1;1;16;88.0000;29.0000;132.000;10.0000;16.0000;
2005;1;1;17;90.0000;36.0000;145.000;8.00000;10.0000;
2005;1;1;18;80.0000;75.0000;195.000;7.00000;9.00000;
2005;1;1;19;75.0000;104.000;234.000;6.00000;9.00000;
2005;1;1;20;83.0000;155.000;320.000;7.00000;10.0000;
2005;1;1;21;93.0000;176.000;362.000;9.00000;10.0000;
2005;1;1;22;90.0000;158.000;333.000;10.0000;11.0000;
2005;1;1;23;86.0000;165.000;339.000;9.00000;11.0000;
2005;1;1;24;92.0000;203.000;402.000;8.00000;13.0000;
2005;1;2;1;77.0000;152.000;309.000;-999;12.0000;
2005;1;2;2;77.0000;143.000;296.000;6.00000;11.0000;
2005;1;2;3;70.0000;109.000;238.000;5.00000;9.00000;
2005;1;2;4;63.0000;95.0000;209.000;5.00000;8.00000;
2005;1;2;5;65.0000;90.0000;204.000;5.00000;8.00000;
2005;1;2;6;64.0000;95.0000;210.000;5.00000;8.00000;
2005;1;2;7;62.0000;93.0000;204.000;5.00000;8.00000;
2005;1;2;8;62.0000;114.000;237.000;4.00000;7.00000;
2005;1;2;9;58.0000;120.000;242.000;4.00000;7.00000;
2005;1;2;10;74.0000;139.000;286.000;6.00000;8.00000;
2005;1;2;11;79.0000;99.0000;231.000;7.00000;8.00000;
2005;1;2;12;75.0000;51.0000;153.000;9.00000;12.0000;
