year;month;day;hour;TEMP;WS;WD;
2005; 1; 1; 1;0.91;0.50;65.0;
2005; 1; 1; 2;0.51;0.80;47.0;
2005; 1; 1; 3;0.30;0.80;33.0;
2005; 1; 1; 4;-0.2;0.30;-999;
2005; 1; 1; 5;0.01;0.30;-999;
2005; 1; 1; 6;0.71;0.50;-999;
2005; 1; 1; 7;0.71;0.00;-999;
2005; 1; 1; 8;0.91;0.60;31.0;
2005; 1; 1; 9;0.71;0.60;22.0;
2005; 1; 1;10;0.21;0.80;45.0;
2005; 1; 1;11;0.80;0.80;41.0;
2005; 1; 1;12;4.21;1.00;57.0;
2005; 1; 1;13;6.81;0.90;75.0;
2005; 1; 1;14;9.21;0.80;88.0;
2005; 1; 1;15;10.0;0.70;152.;
2005; 1; 1;16;10.5;0.80;187.;
2005; 1; 1;17;8.51;0.60;190.;
2005; 1; 1;18;6.01;0.30;-999;
2005; 1; 1;19;4.11;0.00;-999;
2005; 1; 1;20;4.51;1.00;18.0;
2005; 1; 1;21;4.11;1.10;349.;
2005; 1; 1;22;3.01;0.80;356.;
2005; 1; 1;23;1.91;0.60;74.0;
2005; 1; 1;24;1.81;0.70;31.0;
2005; 1; 2; 1;1.11;0.60;63.0;
2005; 1; 2; 2;1.31;0.80;43.0;
2005; 1; 2; 3;0.80;0.30;-999;
2005; 1; 2; 4;1.41;1.00;37.0;
2005; 1; 2; 5;1.71;0.80;35.0;
2005; 1; 2; 6;1.21;0.50;62.0;
2005; 1; 2; 7;1.31;0.30;-999;
2005; 1; 2; 8;1.71;0.80;28.0;
2005; 1; 2; 9;1.01;0.90;353.;
2005; 1; 2;10;0.91;0.90;26.0;
2005; 1; 2;11;1.81;0.80;30.0;
2005; 1; 2;12;4.71;0.70;97.0;
2005; 1; 2;13;7.81;0.80;71.0;
2005; 1; 2;14;9.51;0.90;177.;
2005; 1; 2;15;10.2;0.80;198.;
2005; 1; 2;16;10.6;1.00;180.;
2005; 1; 2;17;9.31;0.40;-999;
2005; 1; 2;18;6.61;0.40;-999;
2005; 1; 2;19;4.71;0.20;-999;
2005; 1; 2;20;3.71;0.30;-999;
2005; 1; 2;21;2.91;0.60;69.0;
2005; 1; 2;22;2.11;0.40;-999;
2005; 1; 2;23;1.71;0.20;-999;
