year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;27.0000;1.00000;28.5333;-999;13.0000;
2005;1;1;2;26.0000;1.00000;27.5333;-999;13.0000;
2005;1;1;3;30.0000;1.00000;31.5333;-999;13.0000;
2005;1;1;4;32.0000;2.00000;35.0667;-999;13.0000;
2005;1;1;5;28.0000;1.00000;29.5333;-999;13.0000;
2005;1;1;6;21.0000;1.00000;22.5333;-999;13.0000;
2005;1;1;7;20.0000;1.00000;21.5333;-999;13.0000;
2005;1;1;8;17.0000;1.00000;18.5333;-999;13.0000;
2005;1;1;9;14.0000;1.00000;15.5333;-999;13.0000;
2005;1;1;10;13.0000;3.00000;17.6000;-999;13.0000;
2005;1;1;11;13.0000;3.00000;17.6000;-999;13.0000;
2005;1;1;12;21.0000;7.00000;31.7333;-999;13.0000;
2005;1;1;13;45.0000;17.0000;71.0667;-999;13.0000;
2005;1;1;14;47.0000;13.0000;66.9333;-999;13.0000;
2005;1;1;15;64.0000;23.0000;99.2667;-999;13.0000;
2005;1;1;16;49.0000;7.00000;59.7333;-999;13.0000;
2005;1;1;17;51.0000;3.00000;55.6000;-999;13.0000;
2005;1;1;18;34.0000;1.00000;35.5333;-999;13.0000;
2005;1;1;19;35.0000;1.00000;36.5333;-999;13.0000;
2005;1;1;20;36.0000;1.00000;37.5333;-999;13.0000;
2005;1;1;21;41.0000;2.00000;44.0667;-999;13.0000;
2005;1;1;22;35.0000;2.00000;38.0667;-999;13.0000;
2005;1;1;23;27.0000;1.00000;28.5333;-999;13.0000;
2005;1;1;24;23.0000;2.00000;26.0667;-999;13.0000;
2005;1;2;1;25.0000;1.00000;26.5333;-999;30.0000;
2005;1;2;2;22.0000;1.00000;23.5333;-999;30.0000;
2005;1;2;3;19.0000;1.00000;20.5333;-999;30.0000;
2005;1;2;4;17.0000;1.00000;18.5333;-999;30.0000;
2005;1;2;5;14.0000;1.00000;15.5333;-999;30.0000;
2005;1;2;6;15.0000;1.00000;16.5333;-999;30.0000;
2005;1;2;7;14.0000;1.00000;15.5333;-999;30.0000;
2005;1;2;8;15.0000;1.00000;16.5333;-999;30.0000;
2005;1;2;9;13.0000;2.00000;16.0667;-999;30.0000;
2005;1;2;10;14.0000;3.00000;18.6000;-999;30.0000;
2005;1;2;11;18.0000;4.00000;24.1333;-999;30.0000;
2005;1;2;12;20.0000;5.00000;27.6667;-999;30.0000;
2005;1;2;13;29.0000;7.00000;39.7333;-999;30.0000;
2005;1;2;14;31.0000;6.00000;40.2000;-999;30.0000;
2005;1;2;15;45.0000;10.0000;60.3333;-999;30.0000;
2005;1;2;16;68.0000;14.0000;89.4667;-999;30.0000;
2005;1;2;17;81.0000;14.0000;102.467;-999;30.0000;
2005;1;2;18;61.0000;4.00000;67.1333;-999;30.0000;
2005;1;2;19;55.0000;2.00000;58.0667;-999;30.0000;
2005;1;2;20;57.0000;4.00000;63.1333;-999;30.0000;
2005;1;2;21;42.0000;1.00000;43.5333;-999;30.0000;
2005;1;2;22;31.0000;1.00000;32.5333;-999;30.0000;
2005;1;2;23;27.0000;1.00000;28.5333;-999;30.0000;
2005;1;2;24;21.0000;1.00000;22.5333;-999;30.0000;
2005;1;3;1;20.0000;1.00000;21.5333;-999;22.0000;
2005;1;3;2;31.0000;1.00000;32.5333;-999;22.0000;
2005;1;3;3;29.0000;1.00000;30.5333;-999;22.0000;
2005;1;3;4;40.0000;4.00000;46.1333;-999;22.0000;
2005;1;3;5;43.0000;1.00000;44.5333;-999;22.0000;
2005;1;3;6;33.0000;1.00000;34.5333;-999;22.0000;
2005;1;3;7;23.0000;1.00000;24.5333;-999;22.0000;
2005;1;3;8;18.0000;1.00000;19.5333;-999;22.0000;
2005;1;3;9;23.0000;3.00000;27.6000;-999;22.0000;
