year;month;day;hour;NO2;NO;NOx;SO2;O3;PM10;PM25;TEMP;WS;WD;
2005;1;1;1;-999;-999;-999;-999;-999;97.6829;80.1000;-999;-999;-999;
2005;1;1;2;31.0000;18.0000;48.0000;0.000000;11.0000;97.6829;80.1000;-0.7;-999;-999;
2005;1;1;3;30.0000;20.0000;50.0000;0.000000;8.00000;97.6829;80.1000;-0.4;-999;-999;
2005;1;1;4;29.0000;23.0000;52.0000;0.000000;7.00000;97.6829;80.1000;0.41;-999;-999;
2005;1;1;5;29.0000;29.0000;57.0000;0.000000;7.00000;97.6829;80.1000;0.11;-999;-999;
2005;1;1;6;26.0000;32.0000;57.0000;0.000000;7.00000;97.6829;80.1000;-0.6;-999;-999;
2005;1;1;7;26.0000;27.0000;53.0000;0.000000;8.00000;97.6829;80.1000;-1.8;-999;-999;
2005;1;1;8;24.0000;20.0000;44.0000;0.000000;9.00000;97.6829;80.1000;-2.2;-999;-999;
2005;1;1;9;23.0000;19.0000;42.0000;0.000000;10.0000;97.6829;80.1000;-2.5;-999;-999;
2005;1;1;10;21.0000;20.0000;41.0000;0.000000;10.0000;97.6829;80.1000;-2.7;-999;-999;
2005;1;1;11;22.0000;16.0000;38.0000;0.000000;12.0000;97.6829;80.1000;-1.6;-999;-999;
2005;1;1;12;20.0000;6.00000;26.0000;0.000000;35.0000;97.6829;80.1000;1.81;-999;-999;
2005;1;1;13;16.0000;4.00000;20.0000;0.000000;50.0000;97.6829;80.1000;6.71;-999;-999;
2005;1;1;14;22.0000;5.00000;27.0000;0.000000;48.0000;97.6829;80.1000;9.11;-999;-999;
2005;1;1;15;21.0000;4.00000;25.0000;0.000000;51.0000;97.6829;80.1000;10.1;-999;-999;
2005;1;1;16;19.0000;2.00000;22.0000;0.000000;55.0000;97.6829;80.1000;10.4;-999;-999;
2005;1;1;17;21.0000;2.00000;23.0000;0.000000;47.0000;97.6829;80.1000;10.1;-999;-999;
2005;1;1;18;21.0000;2.00000;22.0000;0.000000;30.0000;97.6829;80.1000;7.11;-999;-999;
2005;1;1;19;23.0000;2.00000;24.0000;0.000000;22.0000;97.6829;80.1000;2.71;-999;-999;
2005;1;1;20;22.0000;2.00000;25.0000;0.000000;17.0000;97.6829;80.1000;0.80;-999;-999;
2005;1;1;21;20.0000;3.00000;23.0000;0.000000;16.0000;97.6829;80.1000;-0.0;-999;-999;
2005;1;1;22;30.0000;13.0000;44.0000;0.000000;13.0000;97.6829;80.1000;-0.0;-999;-999;
