year;month;day;hour;NO2;NO;NOx;SO2;O3;PM10;
2005;1;1;1;55.0000;49.0000;130.000;4.00000;18.0000;117.000;
2005;1;1;2;52.0000;48.0000;126.000;7.00000;25.0000;368.000;
2005;1;1;3;50.0000;44.0000;118.000;6.00000;23.0000;239.000;
2005;1;1;4;49.0000;31.0000;97.0000;5.00000;16.0000;147.000;
2005;1;1;5;50.0000;36.0000;105.000;4.00000;14.0000;133.000;
2005;1;1;6;48.0000;42.0000;113.000;3.00000;13.0000;145.000;
2005;1;1;7;44.0000;23.0000;80.0000;3.00000;9.00000;69.0000;
2005;1;1;8;41.0000;22.0000;74.0000;2.00000;7.00000;52.0000;
2005;1;1;9;41.0000;15.0000;64.0000;2.00000;5.00000;23.0000;
2005;1;1;10;44.0000;15.0000;67.0000;3.00000;6.00000;25.0000;
2005;1;1;11;48.0000;28.0000;91.0000;4.00000;7.00000;40.0000;
2005;1;1;12;51.0000;25.0000;89.0000;5.00000;9.00000;31.0000;
2005;1;1;13;51.0000;11.0000;68.0000;5.00000;13.0000;24.0000;
2005;1;1;14;50.0000;4.00000;57.0000;3.00000;17.0000;48.0000;
2005;1;1;15;44.0000;3.00000;48.0000;3.00000;25.0000;25.0000;
2005;1;1;16;54.0000;4.00000;61.0000;3.00000;18.0000;30.0000;
2005;1;1;17;61.0000;16.0000;85.0000;4.00000;12.0000;54.0000;
2005;1;1;18;62.0000;29.0000;107.000;4.00000;10.0000;64.0000;
2005;1;1;19;58.0000;19.0000;88.0000;3.00000;11.0000;43.0000;
2005;1;1;20;56.0000;13.0000;76.0000;3.00000;12.0000;43.0000;
2005;1;1;21;53.0000;13.0000;73.0000;3.00000;11.0000;37.0000;
2005;1;1;22;52.0000;10.0000;67.0000;3.00000;11.0000;48.0000;
2005;1;1;23;54.0000;24.0000;91.0000;3.00000;12.0000;57.0000;
2005;1;1;24;49.0000;11.0000;66.0000;2.00000;13.0000;-999;
2005;1;2;1;50.0000;22.0000;84.0000;2.00000;12.0000;61.0000;
2005;1;2;2;49.0000;21.0000;81.0000;2.00000;11.0000;51.0000;
2005;1;2;3;47.0000;16.0000;71.0000;2.00000;9.00000;42.0000;
2005;1;2;4;45.0000;16.0000;70.0000;2.00000;8.00000;40.0000;
2005;1;2;5;43.0000;19.0000;71.0000;2.00000;8.00000;39.0000;
2005;1;2;6;41.0000;20.0000;72.0000;2.00000;7.00000;42.0000;
2005;1;2;7;39.0000;15.0000;62.0000;2.00000;6.00000;30.0000;
2005;1;2;8;39.0000;21.0000;71.0000;2.00000;5.00000;7.00000;
2005;1;2;9;42.0000;35.0000;96.0000;3.00000;5.00000;22.0000;
2005;1;2;10;46.0000;45.0000;115.000;3.00000;6.00000;20.0000;
2005;1;2;11;50.0000;52.0000;130.000;4.00000;8.00000;52.0000;
2005;1;2;12;54.0000;33.0000;105.000;5.00000;10.0000;51.0000;
2005;1;2;13;56.0000;18.0000;84.0000;6.00000;12.0000;43.0000;
2005;1;2;14;54.0000;7.00000;64.0000;4.00000;15.0000;49.0000;
2005;1;2;15;55.0000;5.00000;63.0000;4.00000;17.0000;31.0000;
2005;1;2;16;41.0000;2.00000;43.0000;3.00000;33.0000;10.0000;
2005;1;2;17;45.0000;5.00000;53.0000;4.00000;29.0000;42.0000;
2005;1;2;18;61.0000;21.0000;94.0000;4.00000;10.0000;34.0000;
2005;1;2;19;58.0000;11.0000;75.0000;3.00000;13.0000;41.0000;
2005;1;2;20;57.0000;10.0000;72.0000;3.00000;13.0000;56.0000;
2005;1;2;21;56.0000;14.0000;77.0000;3.00000;13.0000;60.0000;
2005;1;2;22;57.0000;26.0000;97.0000;3.00000;12.0000;69.0000;
2005;1;2;23;58.0000;43.0000;124.000;3.00000;15.0000;87.0000;
2005;1;2;24;56.0000;33.0000;107.000;3.00000;14.0000;59.0000;
2005;1;3;1;38.0000;3.00000;43.0000;2.00000;21.0000;-999;
2005;1;3;2;16.0000;1.00000;17.0000;1.00000;46.0000;-999;
2005;1;3;3;8.00000;1.00000;9.00000;1.00000;60.0000;15.0000;
2005;1;3;4;6.00000;0.000000;7.00000;1.00000;63.0000;-999;
2005;1;3;5;5.00000;1.00000;6.00000;1.00000;62.0000;-999;
2005;1;3;6;4.00000;0.000000;5.00000;1.00000;64.0000;-999;
2005;1;3;7;6.00000;0.000000;7.00000;1.00000;59.0000;3.00000;
2005;1;3;8;20.0000;2.00000;23.0000;2.00000;43.0000;11.0000;
2005;1;3;9;47.0000;5.00000;55.0000;3.00000;14.0000;27.0000;
2005;1;3;10;46.0000;14.0000;67.0000;2.00000;15.0000;-999;
2005;1;3;11;33.0000;2.00000;36.0000;2.00000;30.0000;53.0000;
2005;1;3;12;23.0000;2.00000;26.0000;2.00000;41.0000;-999;
2005;1;3;13;22.0000;3.00000;26.0000;2.00000;43.0000;29.0000;
2005;1;3;14;22.0000;2.00000;25.0000;2.00000;40.0000;-999;
2005;1;3;15;15.0000;1.00000;17.0000;2.00000;48.0000;-999;
2005;1;3;16;17.0000;1.00000;19.0000;2.00000;47.0000;6.00000;
2005;1;3;17;13.0000;1.00000;15.0000;1.00000;55.0000;11.0000;
2005;1;3;18;32.0000;4.00000;37.0000;1.00000;33.0000;18.0000;
2005;1;3;19;32.0000;2.00000;36.0000;1.00000;32.0000;10.0000;
2005;1;3;20;24.0000;2.00000;27.0000;1.00000;45.0000;10.0000;
2005;1;3;21;18.0000;1.00000;19.0000;2.00000;52.0000;8.00000;
2005;1;3;22;46.0000;5.00000;54.0000;3.00000;18.0000;29.0000;
2005;1;3;23;34.0000;2.00000;37.0000;2.00000;29.0000;7.00000;
2005;1;3;24;21.0000;1.00000;22.0000;2.00000;45.0000;13.0000;
2005;1;4;1;25.0000;1.00000;26.0000;2.00000;33.0000;17.0000;
2005;1;4;2;31.0000;1.00000;33.0000;2.00000;22.0000;13.0000;
2005;1;4;3;27.0000;1.00000;28.0000;2.00000;23.0000;9.00000;
2005;1;4;4;20.0000;1.00000;21.0000;2.00000;30.0000;-999;
2005;1;4;5;11.0000;1.00000;12.0000;2.00000;46.0000;23.0000;
2005;1;4;6;25.0000;1.00000;26.0000;2.00000;24.0000;16.0000;
2005;1;4;7;30.0000;2.00000;32.0000;2.00000;21.0000;-999;
2005;1;4;8;16.0000;1.00000;16.0000;2.00000;47.0000;-999;
