year;month;day;hour;NO;NOx;O3;PM10;
2005;1;1;1;10.0000;71.0000;6.00000;41.6000;
2005;1;1;2;15.0000;80.0000;6.00000;41.6000;
2005;1;1;3;17.0000;86.0000;6.00000;41.6000;
2005;1;1;4;27.0000;98.0000;6.00000;41.6000;
2005;1;1;5;31.0000;105.000;6.00000;41.6000;
2005;1;1;6;32.0000;109.000;8.00000;41.6000;
2005;1;1;7;31.0000;111.000;6.00000;41.6000;
2005;1;1;8;26.0000;99.0000;6.00000;41.6000;
2005;1;1;9;32.0000;105.000;12.0000;41.6000;
2005;1;1;10;21.0000;69.0000;22.0000;41.6000;
2005;1;1;11;21.0000;67.0000;28.0000;41.6000;
2005;1;1;12;24.0000;82.0000;36.0000;41.6000;
2005;1;1;13;25.0000;88.0000;34.0000;41.6000;
2005;1;1;14;20.0000;75.0000;36.0000;41.6000;
2005;1;1;15;10.0000;59.0000;50.0000;41.6000;
2005;1;1;16;11.0000;69.0000;30.0000;41.6000;
2005;1;1;17;4.00000;44.0000;22.0000;41.6000;
2005;1;1;18;2.00000;52.0000;24.0000;41.6000;
2005;1;1;19;2.00000;46.0000;18.0000;41.6000;
2005;1;1;20;2.00000;46.0000;16.0000;41.6000;
2005;1;1;21;2.00000;57.0000;14.0000;41.6000;
2005;1;1;22;4.00000;50.0000;12.0000;41.6000;
2005;1;1;23;2.00000;54.0000;12.0000;41.6000;
2005;1;1;24;4.00000;61.0000;8.00000;41.6000;
2005;1;2;1;9.00000;71.0000;8.00000;36.4000;
2005;1;2;2;16.0000;84.0000;10.0000;36.4000;
2005;1;2;3;17.0000;77.0000;12.0000;36.4000;
2005;1;2;4;15.0000;69.0000;12.0000;36.4000;
2005;1;2;5;7.00000;61.0000;8.00000;36.4000;
2005;1;2;6;2.00000;52.0000;10.0000;36.4000;
2005;1;2;7;1.00000;38.0000;18.0000;36.4000;
2005;1;2;8;1.00000;36.0000;18.0000;36.4000;
2005;1;2;9;5.00000;38.0000;20.0000;36.4000;
2005;1;2;10;9.00000;42.0000;26.0000;36.4000;
2005;1;2;11;11.0000;44.0000;34.0000;36.4000;
2005;1;2;12;10.0000;48.0000;44.0000;36.4000;
2005;1;2;13;11.0000;59.0000;52.0000;36.4000;
2005;1;2;14;12.0000;63.0000;48.0000;36.4000;
2005;1;2;15;9.00000;61.0000;48.0000;36.4000;
2005;1;2;16;5.00000;57.0000;42.0000;36.4000;
2005;1;2;17;4.00000;50.0000;34.0000;36.4000;
2005;1;2;18;2.00000;52.0000;28.0000;36.4000;
2005;1;2;19;1.00000;61.0000;26.0000;36.4000;
2005;1;2;20;1.00000;54.0000;18.0000;36.4000;
2005;1;2;21;6.00000;61.0000;14.0000;36.4000;
2005;1;2;22;6.00000;55.0000;12.0000;36.4000;
2005;1;2;23;21.0000;92.0000;8.00000;36.4000;
2005;1;2;24;19.0000;84.0000;10.0000;36.4000;
2005;1;3;1;27.0000;94.0000;8.00000;44.2000;
2005;1;3;2;30.0000;98.0000;8.00000;44.2000;
2005;1;3;3;27.0000;90.0000;8.00000;44.2000;
2005;1;3;4;21.0000;73.0000;6.00000;44.2000;
2005;1;3;5;16.0000;69.0000;6.00000;44.2000;
2005;1;3;6;11.0000;63.0000;6.00000;44.2000;
2005;1;3;7;10.0000;61.0000;6.00000;44.2000;
2005;1;3;8;26.0000;88.0000;8.00000;44.2000;
2005;1;3;9;46.0000;122.000;10.0000;44.2000;
2005;1;3;10;46.0000;120.000;14.0000;44.2000;
2005;1;3;11;29.0000;86.0000;20.0000;44.2000;
2005;1;3;12;21.0000;71.0000;28.0000;44.2000;
2005;1;3;13;15.0000;59.0000;36.0000;44.2000;
2005;1;3;14;16.0000;77.0000;40.0000;44.2000;
2005;1;3;15;10.0000;61.0000;44.0000;44.2000;
2005;1;3;16;6.00000;48.0000;38.0000;44.2000;
2005;1;3;17;4.00000;52.0000;22.0000;44.2000;
2005;1;3;18;4.00000;55.0000;14.0000;44.2000;
2005;1;3;19;4.00000;55.0000;14.0000;44.2000;
2005;1;3;20;4.00000;63.0000;12.0000;44.2000;
2005;1;3;21;2.00000;65.0000;10.0000;44.2000;
2005;1;3;22;4.00000;61.0000;10.0000;44.2000;
2005;1;3;23;22.0000;94.0000;10.0000;44.2000;
2005;1;3;24;17.0000;82.0000;12.0000;44.2000;
2005;1;4;1;11.0000;73.0000;12.0000;23.4000;
2005;1;4;2;7.00000;63.0000;10.0000;23.4000;
2005;1;4;3;2.00000;52.0000;12.0000;23.4000;
2005;1;4;4;0.000000;36.0000;18.0000;23.4000;
2005;1;4;5;0.000000;34.0000;18.0000;23.4000;
2005;1;4;6;0.000000;33.0000;18.0000;23.4000;
2005;1;4;7;1.00000;34.0000;18.0000;23.4000;
2005;1;4;8;1.00000;38.0000;20.0000;23.4000;
2005;1;4;9;7.00000;48.0000;22.0000;23.4000;
2005;1;4;10;14.0000;57.0000;28.0000;23.4000;
2005;1;4;11;11.0000;48.0000;40.0000;23.4000;
2005;1;4;12;12.0000;50.0000;42.0000;23.4000;
2005;1;4;13;12.0000;52.0000;42.0000;23.4000;
2005;1;4;14;10.0000;48.0000;42.0000;23.4000;
2005;1;4;15;9.00000;48.0000;40.0000;23.4000;
2005;1;4;16;12.0000;61.0000;22.0000;23.4000;
2005;1;4;17;9.00000;63.0000;16.0000;23.4000;
2005;1;4;18;16.0000;75.0000;12.0000;23.4000;
2005;1;4;19;16.0000;61.0000;8.00000;23.4000;
2005;1;4;20;19.0000;75.0000;12.0000;23.4000;
2005;1;4;21;24.0000;86.0000;14.0000;23.4000;
2005;1;4;22;29.0000;99.0000;12.0000;23.4000;
2005;1;4;23;25.0000;82.0000;14.0000;23.4000;
2005;1;4;24;26.0000;84.0000;12.0000;23.4000;
2005;1;5;1;27.0000;78.0000;10.0000;41.6000;
2005;1;5;2;24.0000;78.0000;16.0000;41.6000;
2005;1;5;3;26.0000;78.0000;12.0000;41.6000;
2005;1;5;4;29.0000;84.0000;12.0000;41.6000;
2005;1;5;5;26.0000;78.0000;14.0000;41.6000;
2005;1;5;6;29.0000;88.0000;12.0000;41.6000;
2005;1;5;7;29.0000;90.0000;10.0000;41.6000;
2005;1;5;8;29.0000;90.0000;8.00000;41.6000;
2005;1;5;9;47.0000;128.000;12.0000;41.6000;
2005;1;5;10;45.0000;111.000;14.0000;41.6000;
2005;1;5;11;59.0000;143.000;18.0000;41.6000;
2005;1;5;12;46.0000;130.000;22.0000;41.6000;
2005;1;5;13;39.0000;120.000;24.0000;41.6000;
2005;1;5;14;26.0000;96.0000;28.0000;41.6000;
2005;1;5;15;25.0000;96.0000;22.0000;41.6000;
2005;1;5;16;22.0000;101.000;16.0000;41.6000;
2005;1;5;17;21.0000;98.0000;10.0000;41.6000;
2005;1;5;18;20.0000;92.0000;8.00000;41.6000;
2005;1;5;19;21.0000;90.0000;6.00000;41.6000;
2005;1;5;20;30.0000;94.0000;6.00000;41.6000;
2005;1;5;21;26.0000;86.0000;8.00000;41.6000;
2005;1;5;22;22.0000;82.0000;14.0000;41.6000;
2005;1;5;23;25.0000;84.0000;16.0000;41.6000;
2005;1;5;24;31.0000;88.0000;12.0000;41.6000;
2005;1;6;1;34.0000;99.0000;10.0000;36.4000;
2005;1;6;2;34.0000;103.000;14.0000;36.4000;
2005;1;6;3;36.0000;111.000;12.0000;36.4000;
2005;1;6;4;34.0000;107.000;14.0000;36.4000;
2005;1;6;5;36.0000;113.000;14.0000;36.4000;
2005;1;6;6;39.0000;115.000;12.0000;36.4000;
2005;1;6;7;45.0000;126.000;12.0000;36.4000;
2005;1;6;8;44.0000;132.000;14.0000;36.4000;
2005;1;6;9;36.0000;120.000;16.0000;36.4000;
2005;1;6;10;36.0000;119.000;16.0000;36.4000;
2005;1;6;11;44.0000;120.000;14.0000;36.4000;
2005;1;6;12;52.0000;136.000;12.0000;36.4000;
2005;1;6;13;39.0000;120.000;16.0000;36.4000;
2005;1;6;14;37.0000;120.000;16.0000;36.4000;
2005;1;6;15;27.0000;115.000;16.0000;36.4000;
2005;1;6;16;25.0000;113.000;14.0000;36.4000;
2005;1;6;17;19.0000;105.000;8.00000;36.4000;
2005;1;6;18;11.0000;96.0000;10.0000;36.4000;
2005;1;6;19;14.0000;92.0000;6.00000;36.4000;
2005;1;6;20;12.0000;84.0000;6.00000;36.4000;
2005;1;6;21;15.0000;84.0000;6.00000;36.4000;
2005;1;6;22;19.0000;92.0000;10.0000;36.4000;
2005;1;6;23;22.0000;90.0000;8.00000;36.4000;
2005;1;6;24;17.0000;82.0000;14.0000;36.4000;
2005;1;7;1;17.0000;84.0000;14.0000;35.1000;
2005;1;7;2;20.0000;90.0000;12.0000;35.1000;
2005;1;7;3;17.0000;86.0000;18.0000;35.1000;
2005;1;7;4;20.0000;84.0000;16.0000;35.1000;
2005;1;7;5;35.0000;109.000;14.0000;35.1000;
2005;1;7;6;42.0000;124.000;12.0000;35.1000;
2005;1;7;7;44.0000;122.000;12.0000;35.1000;
2005;1;7;8;20.0000;94.0000;16.0000;35.1000;
2005;1;7;9;20.0000;84.0000;16.0000;35.1000;
2005;1;7;10;30.0000;103.000;18.0000;35.1000;
2005;1;7;11;21.0000;86.0000;20.0000;35.1000;
2005;1;7;12;22.0000;86.0000;22.0000;35.1000;
2005;1;7;13;25.0000;96.0000;20.0000;35.1000;
2005;1;7;14;24.0000;99.0000;22.0000;35.1000;
2005;1;7;15;17.0000;92.0000;22.0000;35.1000;
2005;1;7;16;12.0000;88.0000;20.0000;35.1000;
2005;1;7;17;6.00000;77.0000;18.0000;35.1000;
2005;1;7;18;2.00000;73.0000;16.0000;35.1000;
2005;1;7;19;2.00000;67.0000;18.0000;35.1000;
2005;1;7;20;1.00000;65.0000;16.0000;35.1000;
2005;1;7;21;1.00000;59.0000;22.0000;35.1000;
2005;1;7;22;1.00000;57.0000;18.0000;35.1000;
2005;1;7;23;6.00000;75.0000;8.00000;35.1000;
2005;1;7;24;2.00000;71.0000;12.0000;35.1000;
2005;1;8;1;12.0000;92.0000;12.0000;24.7000;
2005;1;8;2;40.0000;136.000;10.0000;24.7000;
2005;1;8;3;19.0000;101.000;8.00000;24.7000;
2005;1;8;4;10.0000;82.0000;10.0000;24.7000;
2005;1;8;5;2.00000;61.0000;12.0000;24.7000;
2005;1;8;6;4.00000;65.0000;16.0000;24.7000;
2005;1;8;7;11.0000;80.0000;18.0000;24.7000;
2005;1;8;8;15.0000;88.0000;18.0000;24.7000;
2005;1;8;9;22.0000;99.0000;20.0000;24.7000;
2005;1;8;10;17.0000;88.0000;24.0000;24.7000;
2005;1;8;11;19.0000;88.0000;24.0000;24.7000;
2005;1;8;12;24.0000;94.0000;22.0000;24.7000;
2005;1;8;13;32.0000;109.000;18.0000;24.7000;
2005;1;8;14;16.0000;80.0000;28.0000;24.7000;
2005;1;8;15;9.00000;69.0000;28.0000;24.7000;
2005;1;8;16;7.00000;65.0000;24.0000;24.7000;
2005;1;8;17;4.00000;61.0000;26.0000;24.7000;
2005;1;8;18;1.00000;57.0000;26.0000;24.7000;
2005;1;8;19;1.00000;57.0000;22.0000;24.7000;
2005;1;8;20;1.00000;55.0000;26.0000;24.7000;
2005;1;8;21;1.00000;52.0000;28.0000;24.7000;
2005;1;8;22;1.00000;50.0000;30.0000;24.7000;
2005;1;8;23;1.00000;52.0000;26.0000;24.7000;
2005;1;8;24;1.00000;46.0000;28.0000;24.7000;
2005;1;9;1;1.00000;48.0000;22.0000;37.7000;
2005;1;9;2;2.00000;55.0000;18.0000;37.7000;
2005;1;9;3;2.00000;59.0000;14.0000;37.7000;
2005;1;9;4;6.00000;69.0000;10.0000;37.7000;
2005;1;9;5;5.00000;61.0000;12.0000;37.7000;
2005;1;9;6;2.00000;54.0000;10.0000;37.7000;
2005;1;9;7;4.00000;54.0000;12.0000;37.7000;
2005;1;9;8;4.00000;52.0000;16.0000;37.7000;
2005;1;9;9;7.00000;52.0000;18.0000;37.7000;
2005;1;9;10;14.0000;55.0000;14.0000;37.7000;
2005;1;9;11;15.0000;61.0000;14.0000;37.7000;
2005;1;9;12;16.0000;59.0000;18.0000;37.7000;
2005;1;9;13;14.0000;55.0000;26.0000;37.7000;
2005;1;9;14;7.00000;50.0000;40.0000;37.7000;
2005;1;9;15;4.00000;46.0000;42.0000;37.7000;
2005;1;9;16;2.00000;44.0000;28.0000;37.7000;
2005;1;9;17;1.00000;38.0000;22.0000;37.7000;
2005;1;9;18;1.00000;36.0000;16.0000;37.7000;
2005;1;9;19;2.00000;40.0000;10.0000;37.7000;
2005;1;9;20;2.00000;50.0000;12.0000;37.7000;
2005;1;9;21;4.00000;50.0000;10.0000;37.7000;
2005;1;9;22;5.00000;46.0000;16.0000;37.7000;
2005;1;9;23;5.00000;50.0000;12.0000;37.7000;
2005;1;9;24;7.00000;61.0000;14.0000;37.7000;
2005;1;10;1;10.0000;61.0000;14.0000;50.7000;
2005;1;10;2;14.0000;69.0000;12.0000;50.7000;
2005;1;10;3;15.0000;65.0000;12.0000;50.7000;
2005;1;10;4;30.0000;92.0000;8.00000;50.7000;
2005;1;10;5;35.0000;96.0000;8.00000;50.7000;
2005;1;10;6;41.0000;103.000;6.00000;50.7000;
2005;1;10;7;37.0000;96.0000;10.0000;50.7000;
2005;1;10;8;34.0000;90.0000;10.0000;50.7000;
2005;1;10;9;37.0000;96.0000;10.0000;50.7000;
2005;1;10;10;44.0000;109.000;14.0000;50.7000;
2005;1;10;11;45.0000;120.000;16.0000;50.7000;
2005;1;10;12;32.0000;103.000;22.0000;50.7000;
2005;1;10;13;27.0000;96.0000;26.0000;50.7000;
2005;1;10;14;20.0000;99.0000;36.0000;50.7000;
2005;1;10;15;19.0000;98.0000;32.0000;50.7000;
2005;1;10;16;7.00000;67.0000;30.0000;50.7000;
2005;1;10;17;5.00000;73.0000;20.0000;50.7000;
2005;1;10;18;24.0000;105.000;10.0000;50.7000;
2005;1;10;19;27.0000;107.000;10.0000;50.7000;
2005;1;10;20;26.0000;107.000;14.0000;50.7000;
2005;1;10;21;36.0000;113.000;12.0000;50.7000;
2005;1;10;22;46.0000;130.000;10.0000;50.7000;
2005;1;10;23;51.0000;134.000;8.00000;50.7000;
2005;1;10;24;50.0000;132.000;10.0000;50.7000;
2005;1;11;1;47.0000;138.000;10.0000;66.3000;
2005;1;11;2;54.0000;130.000;8.00000;66.3000;
2005;1;11;3;49.0000;132.000;10.0000;66.3000;
2005;1;11;4;41.0000;105.000;10.0000;66.3000;
2005;1;11;5;50.0000;103.000;6.00000;66.3000;
2005;1;11;6;46.0000;105.000;8.00000;66.3000;
2005;1;11;7;71.0000;151.000;6.00000;66.3000;
2005;1;11;8;130.000;252.000;8.00000;66.3000;
2005;1;11;9;94.0000;210.000;8.00000;66.3000;
2005;1;11;10;97.0000;205.000;8.00000;66.3000;
2005;1;11;11;99.0000;214.000;8.00000;66.3000;
2005;1;11;12;91.0000;212.000;8.00000;66.3000;
2005;1;11;13;71.0000;180.000;8.00000;66.3000;
2005;1;11;14;56.0000;159.000;10.0000;66.3000;
2005;1;11;15;42.0000;132.000;10.0000;66.3000;
2005;1;11;16;30.0000;117.000;8.00000;66.3000;
2005;1;11;17;32.0000;109.000;6.00000;66.3000;
2005;1;11;18;29.0000;107.000;10.0000;66.3000;
2005;1;11;19;35.0000;111.000;8.00000;66.3000;
2005;1;11;20;24.0000;92.0000;8.00000;66.3000;
2005;1;11;21;31.0000;98.0000;8.00000;66.3000;
2005;1;11;22;66.0000;153.000;8.00000;66.3000;
2005;1;11;23;70.0000;159.000;6.00000;66.3000;
2005;1;11;24;79.0000;170.000;6.00000;66.3000;
2005;1;12;1;80.0000;172.000;6.00000;36.4000;
2005;1;12;2;55.0000;143.000;6.00000;36.4000;
2005;1;12;3;34.0000;111.000;6.00000;36.4000;
2005;1;12;4;40.0000;113.000;6.00000;36.4000;
2005;1;12;5;60.0000;149.000;6.00000;36.4000;
2005;1;12;6;60.0000;149.000;6.00000;36.4000;
2005;1;12;7;40.0000;119.000;6.00000;36.4000;
2005;1;12;8;40.0000;128.000;6.00000;36.4000;
2005;1;12;9;39.0000;126.000;8.00000;36.4000;
2005;1;12;10;49.0000;138.000;10.0000;36.4000;
2005;1;12;11;34.0000;109.000;12.0000;36.4000;
2005;1;12;12;27.0000;99.0000;14.0000;36.4000;
2005;1;12;13;34.0000;109.000;12.0000;36.4000;
2005;1;12;14;37.0000;115.000;12.0000;36.4000;
2005;1;12;15;35.0000;119.000;10.0000;36.4000;
2005;1;12;16;32.0000;115.000;8.00000;36.4000;
2005;1;12;17;31.0000;115.000;6.00000;36.4000;
2005;1;12;18;26.0000;109.000;6.00000;36.4000;
2005;1;12;19;26.0000;107.000;6.00000;36.4000;
2005;1;12;20;27.0000;111.000;6.00000;36.4000;
2005;1;12;21;22.0000;105.000;6.00000;36.4000;
2005;1;12;22;22.0000;105.000;6.00000;36.4000;
2005;1;12;23;21.0000;101.000;6.00000;36.4000;
2005;1;12;24;12.0000;92.0000;6.00000;36.4000;
2005;1;13;1;11.0000;90.0000;6.00000;31.2000;
2005;1;13;2;16.0000;99.0000;6.00000;31.2000;
2005;1;13;3;24.0000;119.000;6.00000;31.2000;
2005;1;13;4;26.0000;126.000;6.00000;31.2000;
2005;1;13;5;15.0000;103.000;6.00000;31.2000;
2005;1;13;6;11.0000;96.0000;6.00000;31.2000;
2005;1;13;7;16.0000;103.000;6.00000;31.2000;
2005;1;13;8;21.0000;113.000;6.00000;31.2000;
2005;1;13;9;24.0000;109.000;8.00000;31.2000;
2005;1;13;10;24.0000;105.000;12.0000;31.2000;
2005;1;13;11;34.0000;122.000;10.0000;31.2000;
2005;1;13;12;39.0000;126.000;10.0000;31.2000;
2005;1;13;13;35.0000;122.000;8.00000;31.2000;
2005;1;13;14;34.0000;122.000;8.00000;31.2000;
2005;1;13;15;35.0000;124.000;8.00000;31.2000;
2005;1;13;16;31.0000;120.000;8.00000;31.2000;
2005;1;13;17;26.0000;117.000;6.00000;31.2000;
2005;1;13;18;26.0000;117.000;6.00000;31.2000;
2005;1;13;19;22.0000;109.000;6.00000;31.2000;
2005;1;13;20;20.0000;109.000;8.00000;31.2000;
2005;1;13;21;22.0000;111.000;8.00000;31.2000;
2005;1;13;22;29.0000;120.000;8.00000;31.2000;
