year;month;day;hour;NO2;NO;NOx;SO2;O3;PM10;
2005;1;1;1;71.0000;239.000;437.000;-999;7.00000;807.000;
2005;1;1;2;68.0000;197.000;370.000;8.00000;5.00000;285.000;
2005;1;1;3;67.0000;177.000;338.000;6.00000;6.00000;174.000;
2005;1;1;4;69.0000;199.000;374.000;6.00000;6.00000;165.000;
2005;1;1;5;65.0000;212.000;389.000;5.00000;6.00000;176.000;
2005;1;1;6;64.0000;229.000;415.000;5.00000;5.00000;217.000;
2005;1;1;7;63.0000;164.000;314.000;4.00000;4.00000;134.000;
2005;1;1;8;63.0000;178.000;335.000;4.00000;4.00000;125.000;
2005;1;1;9;65.0000;209.000;385.000;4.00000;5.00000;142.000;
2005;1;1;10;73.0000;241.000;442.000;7.00000;5.00000;197.000;
2005;1;1;11;99.0000;250.000;481.000;13.0000;6.00000;233.000;
2005;1;1;12;119.000;272.000;536.000;31.0000;6.00000;235.000;
2005;1;1;13;123.000;208.000;442.000;30.0000;8.00000;262.000;
2005;1;1;14;110.000;144.000;331.000;21.0000;10.0000;205.000;
2005;1;1;15;93.0000;108.000;258.000;16.0000;11.0000;151.000;
2005;1;1;16;87.0000;107.000;251.000;12.0000;10.0000;116.000;
2005;1;1;17;86.0000;109.000;252.000;10.0000;6.00000;99.0000;
2005;1;1;18;92.0000;107.000;257.000;11.0000;4.00000;97.0000;
2005;1;1;19;95.0000;132.000;297.000;10.0000;5.00000;100.000;
2005;1;1;20;99.0000;169.000;358.000;13.0000;5.00000;107.000;
2005;1;1;21;99.0000;198.000;403.000;10.0000;5.00000;122.000;
2005;1;1;22;93.0000;200.000;400.000;11.0000;5.00000;117.000;
2005;1;1;23;96.0000;252.000;482.000;9.00000;6.00000;128.000;
2005;1;1;24;97.0000;270.000;511.000;9.00000;7.00000;153.000;
2005;1;2;1;99.0000;293.000;548.000;-999;8.00000;167.000;
2005;1;2;2;93.0000;268.000;503.000;9.00000;6.00000;148.000;
2005;1;2;3;81.0000;230.000;434.000;7.00000;4.00000;121.000;
2005;1;2;4;72.0000;177.000;343.000;5.00000;4.00000;108.000;
2005;1;2;5;66.0000;156.000;306.000;5.00000;4.00000;96.0000;
2005;1;2;6;64.0000;163.000;314.000;5.00000;6.00000;94.0000;
2005;1;2;7;67.0000;179.000;341.000;6.00000;5.00000;94.0000;
2005;1;2;8;68.0000;200.000;374.000;6.00000;6.00000;91.0000;
2005;1;2;9;71.0000;227.000;419.000;9.00000;5.00000;94.0000;
2005;1;2;10;85.0000;234.000;444.000;11.0000;5.00000;93.0000;
