year;month;day;hour;NO2;NOx;O3;PM10;
2005;1;1;1;67.0000;107.000;4.00000;44.2000;
2005;1;1;2;67.0000;126.000;4.00000;44.2000;
2005;1;1;3;61.0000;101.000;4.00000;44.2000;
2005;1;1;4;55.0000;77.0000;6.00000;44.2000;
2005;1;1;5;57.0000;77.0000;6.00000;44.2000;
2005;1;1;6;61.0000;80.0000;6.00000;44.2000;
2005;1;1;7;71.0000;113.000;4.00000;44.2000;
2005;1;1;8;71.0000;111.000;2.00000;44.2000;
2005;1;1;9;75.0000;126.000;4.00000;44.2000;
2005;1;1;10;77.0000;149.000;4.00000;44.2000;
2005;1;1;11;55.0000;88.0000;12.0000;44.2000;
2005;1;1;12;50.0000;84.0000;14.0000;44.2000;
2005;1;1;13;46.0000;71.0000;22.0000;44.2000;
2005;1;1;14;46.0000;63.0000;26.0000;44.2000;
2005;1;1;15;48.0000;61.0000;28.0000;44.2000;
2005;1;1;16;48.0000;61.0000;28.0000;44.2000;
2005;1;1;17;57.0000;71.0000;20.0000;44.2000;
2005;1;1;18;71.0000;94.0000;8.00000;44.2000;
2005;1;1;19;80.0000;128.000;2.00000;44.2000;
2005;1;1;20;86.0000;184.000;4.00000;44.2000;
2005;1;1;21;98.0000;287.000;6.00000;44.2000;
2005;1;1;22;92.0000;262.000;6.00000;44.2000;
2005;1;1;23;86.0000;235.000;4.00000;44.2000;
2005;1;1;24;77.0000;155.000;4.00000;44.2000;
2005;1;2;1;67.0000;115.000;4.00000;29.9000;
2005;1;2;2;63.0000;90.0000;4.00000;29.9000;
2005;1;2;3;-999;-999;2.00000;29.9000;
2005;1;2;4;65.0000;92.0000;4.00000;29.9000;
2005;1;2;5;57.0000;71.0000;8.00000;29.9000;
2005;1;2;6;59.0000;73.0000;8.00000;29.9000;
2005;1;2;7;73.0000;120.000;2.00000;29.9000;
2005;1;2;8;73.0000;126.000;4.00000;29.9000;
2005;1;2;9;73.0000;120.000;2.00000;29.9000;
2005;1;2;10;69.0000;120.000;4.00000;29.9000;
2005;1;2;11;69.0000;128.000;8.00000;29.9000;
2005;1;2;12;65.0000;111.000;14.0000;29.9000;
2005;1;2;13;65.0000;107.000;16.0000;29.9000;
2005;1;2;14;65.0000;98.0000;24.0000;29.9000;
2005;1;2;15;65.0000;90.0000;30.0000;29.9000;
2005;1;2;16;69.0000;96.0000;24.0000;29.9000;
2005;1;2;17;59.0000;75.0000;30.0000;29.9000;
2005;1;2;18;71.0000;84.0000;18.0000;29.9000;
2005;1;2;19;92.0000;149.000;4.00000;29.9000;
2005;1;2;20;99.0000;222.000;4.00000;29.9000;
2005;1;2;21;109.000;316.000;4.00000;29.9000;
2005;1;2;22;117.000;396.000;6.00000;29.9000;
2005;1;2;23;99.0000;312.000;6.00000;29.9000;
2005;1;2;24;86.0000;252.000;4.00000;29.9000;
2005;1;3;1;82.0000;220.000;4.00000;41.6000;
2005;1;3;2;77.0000;166.000;2.00000;41.6000;
2005;1;3;3;69.0000;113.000;2.00000;41.6000;
2005;1;3;4;69.0000;103.000;2.00000;41.6000;
2005;1;3;5;73.0000;166.000;2.00000;41.6000;
2005;1;3;6;69.0000;136.000;2.00000;41.6000;
2005;1;3;7;61.0000;94.0000;4.00000;41.6000;
2005;1;3;8;75.0000;161.000;2.00000;41.6000;
2005;1;3;9;78.0000;203.000;2.00000;41.6000;
2005;1;3;10;86.0000;291.000;4.00000;41.6000;
2005;1;3;11;86.0000;277.000;4.00000;41.6000;
2005;1;3;12;84.0000;245.000;4.00000;41.6000;
2005;1;3;13;65.0000;111.000;12.0000;41.6000;
