year;month;day;hour;TEMP;WS;WD;
2005; 1; 1; 1;-1.3;0.50;247.;
2005; 1; 1; 2;-0.7;0.50;243.;
2005; 1; 1; 3;-0.9;0.60;238.;
2005; 1; 1; 4;-0.9;0.40;281.;
2005; 1; 1; 5;-0.2;0.40;131.;
2005; 1; 1; 6;-0.2;0.90;239.;
2005; 1; 1; 7;-0.6;1.10;251.;
2005; 1; 1; 8;-1.1;0.50;259.;
2005; 1; 1; 9;-1.6;0.30;296.;
2005; 1; 1;10;-1.7;0.30;259.;
2005; 1; 1;11;0.51;0.70;251.;
2005; 1; 1;12;3.11;0.80;262.;
2005; 1; 1;13;4.81;0.90;258.;
2005; 1; 1;14;6.21;1.10;227.;
2005; 1; 1;15;7.21;1.30;228.;
2005; 1; 1;16;6.91;0.70;282.;
2005; 1; 1;17;6.51;0.70;297.;
2005; 1; 1;18;5.41;0.50;290.;
2005; 1; 1;19;3.51;0.60;239.;
2005; 1; 1;20;2.41;0.50;238.;
2005; 1; 1;21;2.01;0.40;269.;
2005; 1; 1;22;1.31;0.30;301.;
2005; 1; 1;23;0.71;0.60;233.;
2005; 1; 1;24;0.21;0.40;326.;
2005; 1; 2; 1;0.51;0.70;237.;
2005; 1; 2; 2;-0.1;0.80;231.;
2005; 1; 2; 3;0.01;1.00;274.;
2005; 1; 2; 4;0.21;1.00;262.;
2005; 1; 2; 5;0.41;0.80;237.;
2005; 1; 2; 6;0.30;0.80;241.;
2005; 1; 2; 7;0.11;0.70;261.;
2005; 1; 2; 8;-0.1;0.40;303.;
2005; 1; 2; 9;-1.0;0.70;221.;
2005; 1; 2;10;-0.5;0.70;279.;
2005; 1; 2;11;2.01;0.60;255.;
2005; 1; 2;12;4.61;0.40;279.;
2005; 1; 2;13;6.91;0.60;257.;
2005; 1; 2;14;8.51;0.80;292.;
2005; 1; 2;15;9.31;1.00;294.;
2005; 1; 2;16;9.91;1.00;301.;
2005; 1; 2;17;9.71;0.70;298.;
2005; 1; 2;18;8.51;0.30;262.;
2005; 1; 2;19;6.31;0.70;194.;
2005; 1; 2;20;4.51;0.40;180.;
2005; 1; 2;21;3.71;0.50;205.;
2005; 1; 2;22;3.11;0.30;29.0;
2005; 1; 2;23;2.61;0.50;292.;
2005; 1; 2;24;2.11;0.60;271.;
2005; 1; 3; 1;1.31;0.80;297.;
2005; 1; 3; 2;3.01;2.10;2.00;
2005; 1; 3; 3;7.41;3.30;338.;
2005; 1; 3; 4;7.61;2.80;2.00;
2005; 1; 3; 5;7.41;2.40;332.;
2005; 1; 3; 6;7.81;3.00;329.;
2005; 1; 3; 7;7.61;2.50;328.;
2005; 1; 3; 8;6.61;2.30;330.;
2005; 1; 3; 9;5.11;1.40;325.;
2005; 1; 3;10;5.71;1.20;326.;
2005; 1; 3;11;8.71;1.60;309.;
2005; 1; 3;12;11.3;0.80;348.;
2005; 1; 3;13;10.9;2.50;286.;
2005; 1; 3;14;12.1;2.10;293.;
2005; 1; 3;15;12.3;2.70;292.;
2005; 1; 3;16;11.8;2.30;304.;
2005; 1; 3;17;11.1;1.50;305.;
2005; 1; 3;18;9.81;1.70;303.;
2005; 1; 3;19;8.11;1.40;291.;
2005; 1; 3;20;7.51;2.10;289.;
2005; 1; 3;21;6.51;1.60;305.;
