year;month;day;hour;TEMP;WS;WD;
2005; 1; 1; 1;-2.4;0.70;338.;
2005; 1; 1; 2;-1.5;1.10;353.;
2005; 1; 1; 3;-1.3;1.00;355.;
2005; 1; 1; 4;-1.4;0.90;357.;
2005; 1; 1; 5;-1.6;0.20;23.0;
2005; 1; 1; 6;-0.9;0.40;9.00;
2005; 1; 1; 7;-0.5;1.10;356.;
2005; 1; 1; 8;-1.3;0.60;4.00;
2005; 1; 1; 9;-2.1;0.80;8.00;
2005; 1; 1;10;-1.4;1.00;2.00;
2005; 1; 1;11;1.81;0.70;7.00;
2005; 1; 1;12;5.31;0.20;55.0;
2005; 1; 1;13;7.41;1.00;253.;
2005; 1; 1;14;9.01;1.20;243.;
2005; 1; 1;15;9.01;2.10;235.;
2005; 1; 1;16;8.91;2.10;255.;
2005; 1; 1;17;8.31;1.80;252.;
2005; 1; 1;18;5.71;1.30;233.;
2005; 1; 1;19;2.61;0.60;312.;
2005; 1; 1;20;0.51;0.70;360.;
2005; 1; 1;21;-0.1;1.10;352.;
2005; 1; 1;22;0.11;1.60;351.;
2005; 1; 1;23;-0.5;0.70;9.00;
2005; 1; 1;24;-0.8;1.30;356.;
2005; 1; 2; 1;-0.4;1.50;350.;
2005; 1; 2; 2;-0.7;0.50;8.00;
2005; 1; 2; 3;0.01;1.60;355.;
2005; 1; 2; 4;0.01;1.20;343.;
2005; 1; 2; 5;0.01;1.00;338.;
2005; 1; 2; 6;0.01;1.00;352.;
2005; 1; 2; 7;-0.3;0.20;26.0;
2005; 1; 2; 8;-0.9;0.60;3.00;
2005; 1; 2; 9;-1.8;0.40;13.0;
2005; 1; 2;10;-0.7;0.90;359.;
2005; 1; 2;11;2.01;0.20;13.0;
2005; 1; 2;12;5.41;1.10;343.;
2005; 1; 2;13;8.11;1.40;242.;
2005; 1; 2;14;9.41;2.60;247.;
2005; 1; 2;15;10.1;4.20;289.;
2005; 1; 2;16;10.5;3.60;289.;
2005; 1; 2;17;10.2;3.20;292.;
2005; 1; 2;18;8.11;1.80;286.;
2005; 1; 2;19;4.41;0.80;199.;
2005; 1; 2;20;2.71;0.20;83.0;
2005; 1; 2;21;1.21;0.20;37.0;
2005; 1; 2;22;0.41;0.20;38.0;
2005; 1; 2;23;-0.1;0.20;46.0;
2005; 1; 2;24;-0.1;0.40;36.0;
2005; 1; 3; 1;-0.6;1.10;0.00;
2005; 1; 3; 2;-1.1;0.20;79.0;
2005; 1; 3; 3;-0.9;0.20;50.0;
2005; 1; 3; 4;-1.7;0.50;23.0;
2005; 1; 3; 5;-2.0;0.20;109.;
2005; 1; 3; 6;-2.3;0.20;88.0;
2005; 1; 3; 7;-2.3;0.20;71.0;
2005; 1; 3; 8;-1.9;1.30;340.;
2005; 1; 3; 9;-1.5;0.70;5.00;
2005; 1; 3;10;-0.2;1.30;356.;
2005; 1; 3;11;2.81;1.00;0.00;
2005; 1; 3;12;6.21;1.10;303.;
2005; 1; 3;13;8.81;0.90;234.;
2005; 1; 3;14;10.2;1.70;234.;
2005; 1; 3;15;9.91;0.30;189.;
2005; 1; 3;16;9.01;0.20;180.;
2005; 1; 3;17;8.41;0.20;161.;
2005; 1; 3;18;6.71;0.20;100.;
2005; 1; 3;19;3.21;0.20;91.0;
2005; 1; 3;20;1.61;0.90;353.;
2005; 1; 3;21;0.51;0.40;18.0;
2005; 1; 3;22;0.61;0.20;49.0;
2005; 1; 3;23;0.80;0.60;16.0;
2005; 1; 3;24;-0.3;1.40;290.;
