year;month;day;hour;TEMP;WS;WD;
2005; 1; 1; 1;-999;-999;-999;
2005; 1; 1; 2;-0.7;-999;-999;
2005; 1; 1; 3;-0.4;-999;-999;
2005; 1; 1; 4;0.41;-999;-999;
2005; 1; 1; 5;0.11;-999;-999;
2005; 1; 1; 6;-0.6;-999;-999;
2005; 1; 1; 7;-1.8;-999;-999;
2005; 1; 1; 8;-2.2;-999;-999;
2005; 1; 1; 9;-2.5;-999;-999;
2005; 1; 1;10;-2.7;-999;-999;
2005; 1; 1;11;-1.6;-999;-999;
2005; 1; 1;12;1.81;-999;-999;
2005; 1; 1;13;6.71;-999;-999;
2005; 1; 1;14;9.11;-999;-999;
2005; 1; 1;15;10.1;-999;-999;
2005; 1; 1;16;10.4;-999;-999;
2005; 1; 1;17;10.1;-999;-999;
2005; 1; 1;18;7.11;-999;-999;
2005; 1; 1;19;2.71;-999;-999;
2005; 1; 1;20;0.80;-999;-999;
2005; 1; 1;21;-0.0;-999;-999;
2005; 1; 1;22;-0.0;-999;-999;
2005; 1; 1;23;-0.9;-999;-999;
2005; 1; 1;24;-0.4;-999;-999;
2005; 1; 2; 1;-0.5;-999;-999;
2005; 1; 2; 2;-0.4;-999;-999;
2005; 1; 2; 3;-0.6;-999;-999;
2005; 1; 2; 4;-0.0;-999;-999;
2005; 1; 2; 5;-0.2;-999;-999;
2005; 1; 2; 6;-0.2;-999;-999;
2005; 1; 2; 7;-1.1;-999;-999;
2005; 1; 2; 8;-1.7;-999;-999;
2005; 1; 2; 9;-2.1;-999;-999;
2005; 1; 2;10;-1.8;-999;-999;
2005; 1; 2;11;-0.9;-999;-999;
2005; 1; 2;12;1.51;-999;-999;
2005; 1; 2;13;7.31;-999;-999;
2005; 1; 2;14;9.51;-999;-999;
2005; 1; 2;15;10.2;-999;-999;
2005; 1; 2;16;12.6;-999;-999;
2005; 1; 2;17;11.2;-999;-999;
2005; 1; 2;18;7.51;-999;-999;
2005; 1; 2;19;3.51;-999;-999;
2005; 1; 2;20;2.41;-999;-999;
2005; 1; 2;21;1.31;-999;-999;
2005; 1; 2;22;0.71;-999;-999;
2005; 1; 2;23;0.21;-999;-999;
2005; 1; 2;24;1.41;-999;-999;
2005; 1; 3; 1;4.21;-999;-999;
2005; 1; 3; 2;6.51;-999;-999;
2005; 1; 3; 3;5.01;-999;-999;
2005; 1; 3; 4;4.61;-999;-999;
2005; 1; 3; 5;3.41;-999;-999;
2005; 1; 3; 6;4.01;-999;-999;
2005; 1; 3; 7;4.21;-999;-999;
2005; 1; 3; 8;3.31;-999;-999;
2005; 1; 3; 9;1.51;-999;-999;
2005; 1; 3;10;0.91;-999;-999;
2005; 1; 3;11;1.91;-999;-999;
2005; 1; 3;12;5.91;-999;-999;
2005; 1; 3;13;12.2;-999;-999;
2005; 1; 3;14;14.2;-999;-999;
2005; 1; 3;15;14.4;-999;-999;
2005; 1; 3;16;14.6;-999;-999;
2005; 1; 3;17;13.6;-999;-999;
2005; 1; 3;18;11.6;-999;-999;
2005; 1; 3;19;7.31;-999;-999;
2005; 1; 3;20;5.51;-999;-999;
2005; 1; 3;21;3.21;-999;-999;
2005; 1; 3;22;2.11;-999;-999;
2005; 1; 3;23;1.21;-999;-999;
2005; 1; 3;24;1.91;-999;-999;
2005; 1; 4; 1;1.41;-999;-999;
2005; 1; 4; 2;1.21;-999;-999;
2005; 1; 4; 3;0.91;-999;-999;
2005; 1; 4; 4;0.71;-999;-999;
2005; 1; 4; 5;1.01;-999;-999;
2005; 1; 4; 6;-0.0;-999;-999;
2005; 1; 4; 7;0.61;-999;-999;
2005; 1; 4; 8;1.41;-999;-999;
2005; 1; 4; 9;0.21;-999;-999;
2005; 1; 4;10;0.61;-999;-999;
2005; 1; 4;11;1.81;-999;-999;
2005; 1; 4;12;5.01;-999;-999;
2005; 1; 4;13;9.51;-999;-999;
2005; 1; 4;14;11.7;-999;-999;
2005; 1; 4;15;12.5;-999;-999;
2005; 1; 4;16;12.9;-999;-999;
2005; 1; 4;17;12.6;-999;-999;
2005; 1; 4;18;10.1;-999;-999;
2005; 1; 4;19;5.21;-999;-999;
2005; 1; 4;20;2.91;-999;-999;
2005; 1; 4;21;1.91;-999;-999;
2005; 1; 4;22;1.31;-999;-999;
2005; 1; 4;23;1.21;-999;-999;
2005; 1; 4;24;0.71;-999;-999;
