year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;68.0000;52.0000;148.000;9.00000;388.000;
2005;1;1;2;68.0000;64.0000;165.000;10.0000;265.000;
2005;1;1;3;62.0000;39.0000;123.000;9.00000;155.000;
2005;1;1;4;57.0000;36.0000;113.000;9.00000;122.000;
2005;1;1;5;59.0000;44.0000;127.000;13.0000;137.000;
2005;1;1;6;55.0000;32.0000;103.000;6.00000;104.000;
2005;1;1;7;54.0000;41.0000;116.000;11.0000;90.0000;
2005;1;1;8;54.0000;40.0000;116.000;11.0000;70.0000;
2005;1;1;9;53.0000;34.0000;105.000;18.0000;65.0000;
2005;1;1;10;63.0000;48.0000;136.000;15.0000;97.0000;
2005;1;1;11;79.0000;68.0000;184.000;9.00000;131.000;
2005;1;1;12;69.0000;41.0000;132.000;13.0000;56.0000;
2005;1;1;13;57.0000;21.0000;89.0000;27.0000;30.0000;
2005;1;1;14;50.0000;16.0000;75.0000;34.0000;61.0000;
2005;1;1;15;48.0000;15.0000;71.0000;31.0000;42.0000;
2005;1;1;16;61.0000;20.0000;91.0000;23.0000;37.0000;
2005;1;1;17;88.0000;43.0000;153.000;12.0000;92.0000;
2005;1;1;18;111.000;113.000;284.000;10.0000;155.000;
2005;1;1;19;112.000;110.000;280.000;10.0000;161.000;
2005;1;1;20;109.000;118.000;291.000;9.00000;182.000;
2005;1;1;21;106.000;99.0000;258.000;10.0000;182.000;
2005;1;1;22;87.0000;75.0000;202.000;10.0000;158.000;
2005;1;1;23;79.0000;59.0000;169.000;7.00000;124.000;
2005;1;1;24;74.0000;59.0000;164.000;6.00000;100.000;
2005;1;2;1;65.0000;41.0000;127.000;10.0000;75.0000;
2005;1;2;2;57.0000;30.0000;103.000;14.0000;56.0000;
2005;1;2;3;50.0000;26.0000;91.0000;13.0000;49.0000;
2005;1;2;4;46.0000;25.0000;84.0000;21.0000;45.0000;
2005;1;2;5;46.0000;29.0000;91.0000;17.0000;37.0000;
2005;1;2;6;45.0000;24.0000;82.0000;18.0000;33.0000;
2005;1;2;7;47.0000;33.0000;97.0000;12.0000;29.0000;
2005;1;2;8;53.0000;42.0000;117.000;12.0000;29.0000;
2005;1;2;9;56.0000;43.0000;121.000;10.0000;37.0000;
2005;1;2;10;62.0000;51.0000;140.000;8.00000;94.0000;
2005;1;2;11;65.0000;56.0000;151.000;7.00000;109.000;
2005;1;2;12;56.0000;30.0000;102.000;14.0000;26.0000;
2005;1;2;13;36.0000;14.0000;57.0000;36.0000;13.0000;
2005;1;2;14;29.0000;10.0000;45.0000;47.0000;26.0000;
2005;1;2;15;35.0000;12.0000;54.0000;40.0000;39.0000;
2005;1;2;16;43.0000;16.0000;68.0000;33.0000;42.0000;
2005;1;2;17;72.0000;51.0000;150.000;14.0000;50.0000;
2005;1;2;18;87.0000;86.0000;219.000;13.0000;72.0000;
2005;1;2;19;93.0000;104.000;252.000;8.00000;116.000;
2005;1;2;20;89.0000;87.0000;221.000;9.00000;149.000;
2005;1;2;21;80.0000;70.0000;187.000;9.00000;151.000;
2005;1;2;22;72.0000;73.0000;185.000;5.00000;128.000;
2005;1;2;23;70.0000;63.0000;166.000;6.00000;103.000;
2005;1;2;24;67.0000;55.0000;151.000;5.00000;84.0000;
2005;1;3;1;48.0000;21.0000;80.0000;21.0000;8.00000;
2005;1;3;2;21.0000;8.00000;34.0000;43.0000;0.000000;
2005;1;3;3;12.0000;6.00000;21.0000;50.0000;1.00000;
2005;1;3;4;17.0000;7.00000;27.0000;51.0000;1.00000;
2005;1;3;5;24.0000;10.0000;39.0000;49.0000;4.00000;
2005;1;3;6;18.0000;9.00000;33.0000;48.0000;1.00000;
2005;1;3;7;45.0000;27.0000;86.0000;21.0000;29.0000;
2005;1;3;8;57.0000;38.0000;115.000;13.0000;28.0000;
2005;1;3;9;78.0000;80.0000;201.000;5.00000;47.0000;
2005;1;3;10;71.0000;65.0000;171.000;8.00000;50.0000;
2005;1;3;11;59.0000;46.0000;129.000;13.0000;36.0000;
2005;1;3;12;40.0000;21.0000;72.0000;27.0000;15.0000;
2005;1;3;13;28.0000;13.0000;47.0000;38.0000;1.00000;
2005;1;3;14;22.0000;10.0000;38.0000;43.0000;4.00000;
2005;1;3;15;25.0000;13.0000;44.0000;43.0000;1.00000;
2005;1;3;16;39.0000;27.0000;80.0000;32.0000;1.00000;
2005;1;3;17;68.0000;44.0000;135.000;13.0000;15.0000;
2005;1;3;18;71.0000;45.0000;139.000;13.0000;36.0000;
2005;1;3;19;74.0000;52.0000;153.000;9.00000;30.0000;
2005;1;3;20;61.0000;33.0000;112.000;14.0000;17.0000;
2005;1;3;21;67.0000;31.0000;115.000;15.0000;17.0000;
2005;1;3;22;93.0000;104.000;253.000;8.00000;66.0000;
2005;1;3;23;94.0000;104.000;253.000;9.00000;79.0000;
2005;1;3;24;79.0000;85.0000;209.000;7.00000;62.0000;
2005;1;4;1;74.0000;55.0000;158.000;6.00000;41.0000;
2005;1;4;2;47.0000;21.0000;80.0000;20.0000;16.0000;
2005;1;4;3;41.0000;13.0000;62.0000;19.0000;7.00000;
2005;1;4;4;63.0000;49.0000;137.000;12.0000;34.0000;
2005;1;4;5;67.0000;53.0000;148.000;9.00000;35.0000;
2005;1;4;6;70.0000;62.0000;165.000;9.00000;40.0000;
2005;1;4;7;77.0000;112.000;249.000;4.00000;39.0000;
2005;1;4;8;95.0000;133.000;298.000;5.00000;60.0000;
2005;1;4;9;114.000;219.000;450.000;7.00000;130.000;
2005;1;4;10;102.000;168.000;359.000;6.00000;115.000;
2005;1;4;11;78.0000;107.000;242.000;5.00000;87.0000;
2005;1;4;12;68.0000;57.0000;155.000;8.00000;55.0000;
2005;1;4;13;53.0000;25.0000;91.0000;22.0000;10.0000;
2005;1;4;14;43.0000;19.0000;73.0000;30.0000;26.0000;
2005;1;4;15;40.0000;15.0000;63.0000;32.0000;19.0000;
2005;1;4;16;54.0000;24.0000;91.0000;24.0000;16.0000;
2005;1;4;17;78.0000;51.0000;156.000;9.00000;50.0000;
2005;1;4;18;108.000;171.000;371.000;7.00000;116.000;
2005;1;4;19;120.000;224.000;464.000;9.00000;165.000;
2005;1;4;20;112.000;187.000;398.000;11.0000;144.000;
2005;1;4;21;99.0000;116.000;277.000;11.0000;142.000;
2005;1;4;22;100.000;120.000;284.000;9.00000;128.000;
2005;1;4;23;87.0000;77.0000;205.000;8.00000;93.0000;
2005;1;4;24;82.0000;70.0000;190.000;7.00000;79.0000;
2005;1;5;1;71.0000;50.0000;147.000;7.00000;57.0000;
2005;1;5;2;60.0000;32.0000;110.000;6.00000;37.0000;
2005;1;5;3;51.0000;23.0000;86.0000;8.00000;31.0000;
2005;1;5;4;45.0000;21.0000;78.0000;18.0000;22.0000;
2005;1;5;5;44.0000;23.0000;79.0000;20.0000;27.0000;
2005;1;5;6;44.0000;23.0000;79.0000;22.0000;28.0000;
2005;1;5;7;48.0000;38.0000;107.000;6.00000;35.0000;
2005;1;5;8;51.0000;66.0000;152.000;3.00000;47.0000;
2005;1;5;9;71.0000;120.000;256.000;6.00000;150.000;
2005;1;5;10;97.0000;180.000;373.000;7.00000;228.000;
2005;1;5;11;106.000;180.000;383.000;6.00000;257.000;
2005;1;5;12;125.000;198.000;429.000;4.00000;238.000;
2005;1;5;13;80.0000;48.0000;153.000;7.00000;52.0000;
2005;1;5;14;74.0000;37.0000;131.000;10.0000;49.0000;
2005;1;5;15;53.0000;20.0000;84.0000;22.0000;33.0000;
2005;1;5;16;66.0000;31.0000;114.000;16.0000;46.0000;
2005;1;5;17;89.0000;80.0000;212.000;7.00000;98.0000;
2005;1;5;18;107.000;161.000;353.000;7.00000;138.000;
2005;1;5;19;97.0000;107.000;261.000;8.00000;143.000;
2005;1;5;20;96.0000;120.000;280.000;11.0000;165.000;
2005;1;5;21;100.000;112.000;271.000;8.00000;163.000;
2005;1;5;22;98.0000;118.000;280.000;6.00000;157.000;
2005;1;5;23;89.0000;83.0000;215.000;6.00000;133.000;
2005;1;5;24;82.0000;79.0000;202.000;7.00000;119.000;
2005;1;6;1;77.0000;63.0000;173.000;7.00000;98.0000;
2005;1;6;2;64.0000;39.0000;124.000;5.00000;62.0000;
2005;1;6;3;55.0000;39.0000;116.000;8.00000;56.0000;
2005;1;6;4;51.0000;31.0000;98.0000;11.0000;47.0000;
2005;1;6;5;50.0000;33.0000;100.000;14.0000;51.0000;
2005;1;6;6;50.0000;41.0000;113.000;9.00000;53.0000;
2005;1;6;7;53.0000;61.0000;147.000;5.00000;56.0000;
2005;1;6;8;57.0000;59.0000;148.000;2.00000;65.0000;
2005;1;6;9;56.0000;55.0000;140.000;4.00000;57.0000;
2005;1;6;10;59.0000;47.0000;131.000;1.00000;72.0000;
2005;1;6;11;53.0000;34.0000;106.000;4.00000;61.0000;
2005;1;6;12;46.0000;25.0000;84.0000;10.0000;51.0000;
2005;1;6;13;33.0000;13.0000;54.0000;24.0000;43.0000;
2005;1;6;14;26.0000;11.0000;42.0000;29.0000;44.0000;
2005;1;6;15;28.0000;11.0000;45.0000;32.0000;32.0000;
2005;1;6;16;39.0000;15.0000;63.0000;25.0000;29.0000;
2005;1;6;17;70.0000;42.0000;134.000;6.00000;59.0000;
2005;1;6;18;78.0000;41.0000;141.000;1.00000;80.0000;
2005;1;6;19;90.0000;83.0000;216.000;2.00000;104.000;
2005;1;6;20;85.0000;51.0000;163.000;1.00000;97.0000;
2005;1;6;21;86.0000;54.0000;168.000;1.00000;107.000;
2005;1;6;22;82.0000;55.0000;166.000;1.00000;108.000;
2005;1;6;23;80.0000;52.0000;160.000;2.00000;102.000;
2005;1;6;24;69.0000;58.0000;158.000;1.00000;113.000;
2005;1;7;1;65.0000;57.0000;152.000;1.00000;93.0000;
2005;1;7;2;58.0000;54.0000;141.000;2.00000;80.0000;
2005;1;7;3;56.0000;51.0000;133.000;3.00000;72.0000;
2005;1;7;4;49.0000;36.0000;105.000;4.00000;74.0000;
2005;1;7;5;44.0000;35.0000;97.0000;3.00000;61.0000;
2005;1;7;6;44.0000;43.0000;110.000;12.0000;66.0000;
2005;1;7;7;56.0000;77.0000;175.000;10.0000;71.0000;
2005;1;7;8;59.0000;92.0000;200.000;3.00000;74.0000;
2005;1;7;9;67.0000;117.000;246.000;5.00000;124.000;
2005;1;7;10;78.0000;147.000;304.000;4.00000;196.000;
2005;1;7;11;104.000;218.000;437.000;3.00000;203.000;
2005;1;7;12;75.0000;71.0000;184.000;4.00000;92.0000;
2005;1;7;13;72.0000;38.0000;130.000;7.00000;74.0000;
2005;1;7;14;79.0000;42.0000;143.000;7.00000;107.000;
2005;1;7;15;99.0000;73.0000;211.000;5.00000;139.000;
2005;1;7;16;120.000;123.000;308.000;4.00000;148.000;
2005;1;7;17;126.000;172.000;391.000;3.00000;166.000;
2005;1;7;18;125.000;232.000;481.000;3.00000;188.000;
2005;1;7;19;125.000;304.000;590.000;5.00000;215.000;
2005;1;7;20;103.000;199.000;409.000;6.00000;234.000;
2005;1;7;21;112.000;296.000;566.000;6.00000;266.000;
2005;1;7;22;100.000;243.000;472.000;8.00000;305.000;
2005;1;7;23;95.0000;192.000;389.000;5.00000;249.000;
2005;1;7;24;88.0000;162.000;336.000;3.00000;194.000;
2005;1;8;1;79.0000;186.000;365.000;2.00000;176.000;
2005;1;8;2;69.0000;187.000;355.000;2.00000;149.000;
