year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;73.0000;94.0000;216.000;11.0000;-999;
2005;1;1;2;71.0000;105.000;232.000;11.0000;-999;
2005;1;1;3;65.0000;75.0000;180.000;10.0000;-999;
2005;1;1;4;67.0000;95.0000;213.000;10.0000;-999;
2005;1;1;5;71.0000;117.000;250.000;11.0000;-999;
2005;1;1;6;69.0000;116.000;247.000;10.0000;-999;
2005;1;1;7;68.0000;138.000;280.000;10.0000;-999;
2005;1;1;8;72.0000;193.000;367.000;10.0000;-999;
2005;1;1;9;82.0000;256.000;475.000;11.0000;-999;
2005;1;1;10;100.000;300.000;559.000;14.0000;-999;
2005;1;1;11;108.000;210.000;429.000;13.0000;-999;
2005;1;1;12;101.000;123.000;288.000;12.0000;-999;
2005;1;1;13;94.0000;95.0000;240.000;13.0000;-999;
2005;1;1;14;88.0000;72.0000;198.000;13.0000;-999;
2005;1;1;15;80.0000;49.0000;154.000;14.0000;-999;
2005;1;1;16;82.0000;44.0000;148.000;13.0000;-999;
2005;1;1;17;79.0000;36.0000;135.000;12.0000;-999;
2005;1;1;18;81.0000;51.0000;159.000;11.0000;-999;
2005;1;1;19;83.0000;54.0000;166.000;11.0000;-999;
2005;1;1;20;82.0000;57.0000;169.000;11.0000;-999;
2005;1;1;21;80.0000;64.0000;178.000;11.0000;-999;
2005;1;1;22;79.0000;67.0000;182.000;11.0000;-999;
2005;1;1;23;91.0000;137.000;300.000;13.0000;-999;
2005;1;1;24;86.0000;96.0000;234.000;14.0000;-999;
2005;1;2;1;88.0000;114.000;262.000;13.0000;63.0000;
2005;1;2;2;86.0000;128.000;283.000;12.0000;63.0000;
2005;1;2;3;75.0000;97.0000;223.000;13.0000;63.0000;
2005;1;2;4;66.0000;59.0000;157.000;12.0000;63.0000;
2005;1;2;5;60.0000;37.0000;116.000;10.0000;63.0000;
2005;1;2;6;53.0000;24.0000;90.0000;10.0000;63.0000;
2005;1;2;7;56.0000;51.0000;135.000;10.0000;63.0000;
2005;1;2;8;62.0000;82.0000;187.000;10.0000;63.0000;
2005;1;2;9;68.0000;121.000;253.000;11.0000;63.0000;
2005;1;2;10;69.0000;116.000;247.000;11.0000;63.0000;
2005;1;2;11;70.0000;86.0000;202.000;12.0000;63.0000;
2005;1;2;12;68.0000;50.0000;144.000;13.0000;63.0000;
2005;1;2;13;64.0000;42.0000;129.000;18.0000;63.0000;
2005;1;2;14;50.0000;21.0000;82.0000;25.0000;63.0000;
2005;1;2;15;52.0000;19.0000;82.0000;25.0000;63.0000;
2005;1;2;16;52.0000;16.0000;76.0000;26.0000;63.0000;
2005;1;2;17;66.0000;22.0000;100.000;16.0000;63.0000;
2005;1;2;18;81.0000;73.0000;192.000;11.0000;63.0000;
2005;1;2;19;74.0000;69.0000;180.000;10.0000;63.0000;
2005;1;2;20;73.0000;60.0000;165.000;10.0000;63.0000;
2005;1;2;21;72.0000;69.0000;177.000;11.0000;63.0000;
2005;1;2;22;80.0000;106.000;242.000;11.0000;63.0000;
2005;1;2;23;97.0000;184.000;379.000;12.0000;63.0000;
2005;1;2;24;89.0000;168.000;347.000;12.0000;63.0000;
2005;1;3;1;83.0000;97.0000;232.000;11.0000;29.0000;
2005;1;3;2;31.0000;7.00000;42.0000;39.0000;29.0000;
2005;1;3;3;30.0000;10.0000;45.0000;49.0000;29.0000;
2005;1;3;4;28.0000;7.00000;39.0000;52.0000;29.0000;
2005;1;3;5;35.0000;8.00000;47.0000;45.0000;29.0000;
2005;1;3;6;42.0000;8.00000;55.0000;39.0000;29.0000;
2005;1;3;7;69.0000;27.0000;110.000;14.0000;29.0000;
2005;1;3;8;79.0000;57.0000;165.000;10.0000;29.0000;
2005;1;3;9;89.0000;105.000;251.000;12.0000;29.0000;
2005;1;3;10;87.0000;100.000;241.000;12.0000;29.0000;
2005;1;3;11;82.0000;103.000;239.000;14.0000;29.0000;
2005;1;3;12;82.0000;101.000;236.000;15.0000;29.0000;
2005;1;3;13;59.0000;41.0000;122.000;20.0000;29.0000;
2005;1;3;14;46.0000;20.0000;77.0000;32.0000;29.0000;
2005;1;3;15;52.0000;25.0000;91.0000;27.0000;29.0000;
2005;1;3;16;61.0000;31.0000;108.000;21.0000;29.0000;
2005;1;3;17;72.0000;40.0000;133.000;14.0000;29.0000;
2005;1;3;18;70.0000;29.0000;114.000;12.0000;29.0000;
2005;1;3;19;72.0000;31.0000;120.000;11.0000;29.0000;
2005;1;3;20;77.0000;58.0000;166.000;11.0000;29.0000;
2005;1;3;21;79.0000;70.0000;187.000;11.0000;29.0000;
2005;1;3;22;76.0000;59.0000;166.000;11.0000;29.0000;
2005;1;3;23;71.0000;34.0000;123.000;11.0000;29.0000;
2005;1;3;24;69.0000;30.0000;114.000;11.0000;29.0000;
2005;1;4;1;71.0000;60.0000;164.000;11.0000;40.0000;
2005;1;4;2;61.0000;40.0000;122.000;10.0000;40.0000;
2005;1;4;3;53.0000;21.0000;85.0000;9.00000;40.0000;
2005;1;4;4;50.0000;19.0000;79.0000;10.0000;40.0000;
2005;1;4;5;48.0000;12.0000;66.0000;11.0000;40.0000;
2005;1;4;6;48.0000;19.0000;77.0000;11.0000;40.0000;
2005;1;4;7;57.0000;63.0000;154.000;10.0000;40.0000;
2005;1;4;8;69.0000;138.000;281.000;11.0000;40.0000;
2005;1;4;9;80.0000;182.000;359.000;11.0000;40.0000;
2005;1;4;10;78.0000;163.000;327.000;12.0000;40.0000;
2005;1;4;11;72.0000;105.000;232.000;11.0000;40.0000;
2005;1;4;12;73.0000;98.0000;223.000;12.0000;40.0000;
2005;1;4;13;56.0000;38.0000;114.000;19.0000;40.0000;
2005;1;4;14;48.0000;22.0000;82.0000;25.0000;40.0000;
2005;1;4;15;48.0000;19.0000;78.0000;27.0000;40.0000;
2005;1;4;16;51.0000;17.0000;77.0000;24.0000;40.0000;
2005;1;4;17;64.0000;22.0000;98.0000;15.0000;40.0000;
2005;1;4;18;73.0000;36.0000;129.000;11.0000;40.0000;
2005;1;4;19;77.0000;46.0000;147.000;10.0000;40.0000;
2005;1;4;20;74.0000;37.0000;131.000;10.0000;40.0000;
2005;1;4;21;76.0000;57.0000;163.000;10.0000;40.0000;
2005;1;4;22;77.0000;63.0000;174.000;11.0000;40.0000;
2005;1;4;23;79.0000;65.0000;178.000;12.0000;40.0000;
2005;1;4;24;79.0000;59.0000;169.000;11.0000;40.0000;
2005;1;5;1;74.0000;35.0000;128.000;10.0000;64.0000;
2005;1;5;2;69.0000;22.0000;104.000;11.0000;64.0000;
2005;1;5;3;72.0000;54.0000;154.000;11.0000;64.0000;
2005;1;5;4;67.0000;59.0000;159.000;12.0000;64.0000;
2005;1;5;5;64.0000;49.0000;139.000;11.0000;64.0000;
2005;1;5;6;64.0000;55.0000;148.000;10.0000;64.0000;
2005;1;5;7;69.0000;94.0000;214.000;11.0000;64.0000;
2005;1;5;8;79.0000;143.000;298.000;10.0000;64.0000;
2005;1;5;9;81.0000;147.000;306.000;11.0000;64.0000;
2005;1;5;10;82.0000;128.000;277.000;12.0000;64.0000;
2005;1;5;11;107.000;274.000;526.000;13.0000;64.0000;
2005;1;5;12;113.000;285.000;550.000;13.0000;64.0000;
2005;1;5;13;81.0000;94.0000;225.000;13.0000;64.0000;
