year;month;day;hour;TEMP;WS;WD;
2005; 1; 1; 1;-2.7;0.30;-999;
2005; 1; 1; 2;0.01;0.40;-999;
2005; 1; 1; 3;1.31;1.50;357.;
2005; 1; 1; 4;1.81;0.90;-999;
2005; 1; 1; 5;1.31;0.60;-999;
2005; 1; 1; 6;0.71;0.40;-999;
2005; 1; 1; 7;0.80;0.20;-999;
2005; 1; 1; 8;0.01;0.20;-999;
2005; 1; 1; 9;-0.3;0.20;-999;
2005; 1; 1;10;0.61;0.20;-999;
2005; 1; 1;11;4.41;0.40;-999;
2005; 1; 1;12;6.81;2.00;47.0;
2005; 1; 1;13;8.31;1.60;77.0;
2005; 1; 1;14;9.11;1.10;164.;
2005; 1; 1;15;9.41;1.50;171.;
2005; 1; 1;16;9.61;1.20;179.;
2005; 1; 1;17;9.41;0.80;207.;
2005; 1; 1;18;5.71;0.30;-999;
2005; 1; 1;19;3.21;0.20;-999;
2005; 1; 1;20;1.81;0.00;-999;
2005; 1; 1;21;1.21;0.20;-999;
2005; 1; 1;22;1.51;0.50;-999;
2005; 1; 1;23;0.91;0.20;-999;
2005; 1; 1;24;0.71;0.30;-999;
2005; 1; 2; 1;0.91;0.30;-999;
2005; 1; 2; 2;0.91;0.40;-999;
2005; 1; 2; 3;1.71;0.60;267.;
2005; 1; 2; 4;1.71;0.20;-999;
2005; 1; 2; 5;1.51;0.30;-999;
2005; 1; 2; 6;1.41;0.30;-999;
2005; 1; 2; 7;1.31;0.10;-999;
2005; 1; 2; 8;1.21;0.40;-999;
2005; 1; 2; 9;0.51;0.70;284.;
2005; 1; 2;10;1.21;0.30;-999;
2005; 1; 2;11;5.21;0.30;-999;
2005; 1; 2;12;8.01;0.60;245.;
2005; 1; 2;13;8.71;1.20;171.;
2005; 1; 2;14;9.31;1.60;174.;
2005; 1; 2;15;10.8;0.90;199.;
2005; 1; 2;16;11.0;1.20;221.;
2005; 1; 2;17;10.9;0.70;239.;
2005; 1; 2;18;7.31;0.20;-999;
2005; 1; 2;19;4.61;0.30;-999;
2005; 1; 2;20;3.21;1.10;84.0;
2005; 1; 2;21;1.91;0.20;-999;
2005; 1; 2;22;1.51;0.40;-999;
2005; 1; 2;23;1.51;0.60;-999;
2005; 1; 2;24;0.91;0.30;-999;
2005; 1; 3; 1;0.71;0.60;293.;
2005; 1; 3; 2;1.71;1.80;76.0;
2005; 1; 3; 3;0.61;0.40;-999;
2005; 1; 3; 4;1.21;1.00;-999;
2005; 1; 3; 5;1.81;0.70;-999;
2005; 1; 3; 6;1.01;0.70;-999;
2005; 1; 3; 7;1.71;0.80;-999;
2005; 1; 3; 8;2.51;0.60;-999;
2005; 1; 3; 9;2.21;0.60;-999;
2005; 1; 3;10;2.91;0.50;-999;
2005; 1; 3;11;5.91;0.60;-999;
2005; 1; 3;12;7.71;0.70;-999;
2005; 1; 3;13;9.91;1.00;113.;
2005; 1; 3;14;10.4;1.20;169.;
2005; 1; 3;15;10.1;1.60;159.;
2005; 1; 3;16;9.51;1.40;161.;
2005; 1; 3;17;8.71;1.00;98.0;
2005; 1; 3;18;6.21;1.00;95.0;
2005; 1; 3;19;3.91;0.50;-999;
2005; 1; 3;20;3.51;0.60;-999;
2005; 1; 3;21;3.11;0.40;-999;
2005; 1; 3;22;2.61;0.50;-999;
2005; 1; 3;23;1.61;0.40;-999;
2005; 1; 3;24;2.01;0.80;301.;
2005; 1; 4; 1;1.61;0.60;-999;
2005; 1; 4; 2;1.41;0.60;-999;
2005; 1; 4; 3;3.01;1.70;338.;
2005; 1; 4; 4;1.31;0.50;-999;
2005; 1; 4; 5;1.41;1.10;304.;
2005; 1; 4; 6;0.51;0.50;-999;
2005; 1; 4; 7;0.11;0.40;-999;
2005; 1; 4; 8;-0.1;0.40;-999;
2005; 1; 4; 9;0.01;0.40;-999;
2005; 1; 4;10;2.21;0.40;-999;
2005; 1; 4;11;5.81;0.70;-999;
2005; 1; 4;12;8.81;1.60;329.;
2005; 1; 4;13;10.2;0.50;-999;
2005; 1; 4;14;10.9;1.40;180.;
2005; 1; 4;15;11.8;1.70;217.;
2005; 1; 4;16;12.2;1.30;232.;
2005; 1; 4;17;11.2;1.20;205.;
2005; 1; 4;18;8.81;1.10;302.;
2005; 1; 4;19;6.11;0.40;-999;
2005; 1; 4;20;4.21;0.50;-999;
2005; 1; 4;21;3.31;0.30;-999;
2005; 1; 4;22;2.61;0.20;-999;
2005; 1; 4;23;2.71;0.50;-999;
2005; 1; 4;24;2.01;0.10;-999;
2005; 1; 5; 1;1.71;0.00;-999;
2005; 1; 5; 2;1.61;0.10;-999;
2005; 1; 5; 3;1.31;0.10;-999;
2005; 1; 5; 4;1.21;0.20;-999;
2005; 1; 5; 5;0.80;0.40;-999;
2005; 1; 5; 6;1.21;0.20;-999;
2005; 1; 5; 7;0.80;0.20;-999;
2005; 1; 5; 8;1.41;0.20;-999;
2005; 1; 5; 9;1.81;0.10;-999;
2005; 1; 5;10;3.31;0.20;-999;
2005; 1; 5;11;4.51;0.10;-999;
2005; 1; 5;12;6.91;0.30;-999;
2005; 1; 5;13;10.0;0.70;256.;
2005; 1; 5;14;11.2;1.00;250.;
2005; 1; 5;15;11.7;0.90;262.;
2005; 1; 5;16;12.4;0.90;253.;
2005; 1; 5;17;11.9;0.70;256.;
2005; 1; 5;18;8.51;0.40;-999;
2005; 1; 5;19;6.01;0.60;312.;
2005; 1; 5;20;3.91;0.20;-999;
2005; 1; 5;21;3.11;0.10;-999;
2005; 1; 5;22;2.51;0.20;-999;
2005; 1; 5;23;2.01;0.60;-999;
2005; 1; 5;24;3.21;1.40;39.0;
2005; 1; 6; 1;1.71;0.20;-999;
2005; 1; 6; 2;1.31;0.20;-999;
2005; 1; 6; 3;1.31;0.40;-999;
2005; 1; 6; 4;1.01;0.90;303.;
2005; 1; 6; 5;0.61;0.40;-999;
2005; 1; 6; 6;0.51;0.50;-999;
2005; 1; 6; 7;0.30;0.60;307.;
2005; 1; 6; 8;0.71;0.80;296.;
2005; 1; 6; 9;1.01;0.90;292.;
2005; 1; 6;10;1.81;0.70;-999;
2005; 1; 6;11;5.21;1.00;263.;
2005; 1; 6;12;8.11;0.90;293.;
2005; 1; 6;13;9.91;0.80;169.;
2005; 1; 6;14;10.3;1.20;147.;
2005; 1; 6;15;11.3;1.30;164.;
2005; 1; 6;16;11.2;1.10;93.0;
2005; 1; 6;17;12.4;0.80;156.;
2005; 1; 6;18;8.81;1.20;71.0;
2005; 1; 6;19;6.31;0.90;75.0;
2005; 1; 6;20;4.31;0.30;-999;
2005; 1; 6;21;3.41;0.30;-999;
2005; 1; 6;22;2.91;0.40;-999;
2005; 1; 6;23;2.51;0.30;-999;
2005; 1; 6;24;1.91;0.50;-999;
2005; 1; 7; 1;1.41;0.20;-999;
2005; 1; 7; 2;1.21;0.30;-999;
2005; 1; 7; 3;1.21;0.30;-999;
2005; 1; 7; 4;1.11;0.40;-999;
2005; 1; 7; 5;0.91;0.50;-999;
2005; 1; 7; 6;1.81;1.20;40.0;
2005; 1; 7; 7;2.01;1.20;303.;
2005; 1; 7; 8;1.01;0.30;-999;
2005; 1; 7; 9;0.61;0.30;-999;
2005; 1; 7;10;1.71;0.30;-999;
2005; 1; 7;11;5.41;0.60;259.;
2005; 1; 7;12;6.91;0.70;163.;
2005; 1; 7;13;7.91;0.80;159.;
2005; 1; 7;14;9.31;0.90;163.;
2005; 1; 7;15;9.61;1.00;154.;
2005; 1; 7;16;9.61;1.00;169.;
2005; 1; 7;17;9.31;0.70;155.;
2005; 1; 7;18;6.41;0.00;-999;
2005; 1; 7;19;4.21;0.00;-999;
2005; 1; 7;20;3.31;0.20;-999;
2005; 1; 7;21;2.61;0.10;-999;
2005; 1; 7;22;2.21;0.00;-999;
2005; 1; 7;23;2.11;0.30;-999;
2005; 1; 7;24;1.41;0.20;-999;
2005; 1; 8; 1;1.41;0.10;-999;
2005; 1; 8; 2;1.11;0.10;-999;
2005; 1; 8; 3;1.41;0.20;-999;
2005; 1; 8; 4;1.11;0.40;-999;
2005; 1; 8; 5;1.31;0.40;-999;
2005; 1; 8; 6;1.71;0.30;-999;
2005; 1; 8; 7;2.01;0.40;-999;
2005; 1; 8; 8;1.81;0.80;280.;
2005; 1; 8; 9;1.61;0.50;-999;
2005; 1; 8;10;2.01;0.30;-999;
2005; 1; 8;11;3.91;0.20;-999;
2005; 1; 8;12;7.31;0.40;-999;
2005; 1; 8;13;11.5;1.00;265.;
2005; 1; 8;14;12.9;1.10;259.;
2005; 1; 8;15;13.2;1.30;256.;
2005; 1; 8;16;12.5;1.30;248.;
2005; 1; 8;17;8.71;1.30;171.;
2005; 1; 8;18;5.41;0.30;-999;
2005; 1; 8;19;3.51;0.20;-999;
2005; 1; 8;20;2.71;0.30;-999;
2005; 1; 8;21;3.11;0.20;-999;
2005; 1; 8;22;3.81;0.20;-999;
2005; 1; 8;23;4.31;0.00;-999;
2005; 1; 8;24;4.31;0.40;-999;
2005; 1; 9; 1;3.41;0.30;-999;
2005; 1; 9; 2;3.41;0.30;-999;
2005; 1; 9; 3;4.11;0.50;-999;
2005; 1; 9; 4;3.81;0.30;-999;
2005; 1; 9; 5;3.51;0.50;-999;
2005; 1; 9; 6;2.41;0.90;116.;
