year;month;day;hour;NO2;NO;NOx;SO2;O3;PM10;
2005;1;1;1;39.0000;21.0000;71.2000;1.00000;81.0000;74.0000;
2005;1;1;2;33.0000;37.0000;89.7333;1.00000;82.0000;74.0000;
2005;1;1;3;27.0000;53.0000;108.267;1.00000;88.0000;74.0000;
2005;1;1;4;29.0000;62.0000;124.067;1.00000;85.0000;74.0000;
2005;1;1;5;25.0000;67.0000;127.733;-999;86.0000;74.0000;
2005;1;1;6;-999;-999;-999;0.000000;74.0000;74.0000;
2005;1;1;7;-999;-999;-999;0.000000;66.0000;74.0000;
2005;1;1;8;31.0000;39.0000;90.8000;0.000000;60.0000;74.0000;
2005;1;1;9;31.0000;36.0000;86.2000;0.000000;57.0000;74.0000;
2005;1;1;10;39.0000;76.0000;155.533;1.00000;66.0000;74.0000;
2005;1;1;11;49.0000;118.000;229.933;2.00000;77.0000;74.0000;
2005;1;1;12;42.0000;61.0000;135.533;2.00000;79.0000;74.0000;
2005;1;1;13;33.0000;29.0000;77.4667;1.00000;79.0000;74.0000;
2005;1;1;14;53.0000;55.0000;137.333;3.00000;72.0000;74.0000;
2005;1;1;15;53.0000;41.0000;115.867;4.00000;82.0000;74.0000;
2005;1;1;16;47.0000;23.0000;82.2667;3.00000;76.0000;74.0000;
2005;1;1;17;22.0000;3.00000;26.6000;2.00000;94.0000;74.0000;
2005;1;1;18;56.0000;15.0000;79.0000;3.00000;69.0000;74.0000;
2005;1;1;19;55.0000;31.0000;102.533;4.00000;73.0000;74.0000;
2005;1;1;20;57.0000;23.0000;92.2667;2.00000;75.0000;74.0000;
2005;1;1;21;58.0000;22.0000;91.7333;2.00000;74.0000;74.0000;
2005;1;1;22;54.0000;12.0000;72.4000;2.00000;77.0000;74.0000;
2005;1;1;23;51.0000;9.00000;64.8000;1.00000;75.0000;74.0000;
2005;1;1;24;53.0000;19.0000;82.1333;1.00000;76.0000;74.0000;
2005;1;2;1;57.0000;29.0000;101.467;2.00000;75.0000;90.0000;
2005;1;2;2;52.0000;42.0000;116.400;1.00000;83.0000;90.0000;
2005;1;2;3;56.0000;64.0000;154.133;2.00000;94.0000;90.0000;
2005;1;2;4;43.0000;73.0000;154.933;1.00000;85.0000;90.0000;
2005;1;2;5;40.0000;36.0000;95.2000;-999;79.0000;90.0000;
2005;1;2;6;-999;-999;-999;1.00000;77.0000;90.0000;
2005;1;2;7;-999;-999;-999;1.00000;77.0000;90.0000;
2005;1;2;8;38.0000;36.0000;93.2000;1.00000;77.0000;90.0000;
2005;1;2;9;36.0000;44.0000;103.467;1.00000;80.0000;90.0000;
2005;1;2;10;37.0000;53.0000;118.267;1.00000;88.0000;90.0000;
