year;month;day;hour;NO2;NO;NOx;O3;PM10;TEMP;WS;WD;
2005;1;1;1;52.0000;39.0000;111.000;7.00000;80.0000;-1.2;0.60;70.0;
2005;1;1;2;52.0000;31.0000;99.0000;5.00000;80.0000;-1.8;0.80;72.0;
2005;1;1;3;-999;-999;-999;7.00000;80.0000;-1.4;1.30;49.0;
2005;1;1;4;42.0000;8.00000;55.0000;9.00000;80.0000;-1.0;1.90;68.0;
2005;1;1;5;38.0000;6.00000;48.0000;-999;80.0000;-0.4;1.40;56.0;
2005;1;1;6;36.0000;5.00000;44.0000;12.0000;80.0000;-0.1;1.60;50.0;
2005;1;1;7;43.0000;16.0000;67.0000;7.00000;80.0000;-0.2;1.80;51.0;
2005;1;1;8;42.0000;21.0000;74.0000;7.00000;80.0000;-1.2;0.70;-999;
2005;1;1;9;45.0000;38.0000;104.000;6.00000;80.0000;-2.0;0.50;71.0;
2005;1;1;10;49.0000;50.0000;126.000;9.00000;80.0000;-2.0;1.10;59.0;
2005;1;1;11;58.0000;65.0000;158.000;13.0000;80.0000;-1.6;0.70;62.0;
2005;1;1;12;59.0000;58.0000;149.000;18.0000;80.0000;-1.5;0.60;42.0;
2005;1;1;13;33.0000;23.0000;68.0000;29.0000;80.0000;4.91;0.80;66.0;
2005;1;1;14;27.0000;10.0000;43.0000;36.0000;80.0000;5.31;0.30;157.;
2005;1;1;15;29.0000;11.0000;45.0000;31.0000;80.0000;1.81;0.50;194.;
2005;1;1;16;16.0000;4.00000;23.0000;31.0000;80.0000;1.71;0.40;128.;
2005;1;1;17;16.0000;6.00000;24.0000;35.0000;80.0000;1.41;0.60;115.;
2005;1;1;18;37.0000;11.0000;53.0000;29.0000;80.0000;1.61;1.20;106.;
2005;1;1;19;44.0000;17.0000;70.0000;28.0000;80.0000;1.11;1.90;65.0;
2005;1;1;20;48.0000;15.0000;71.0000;23.0000;80.0000;1.11;1.50;58.0;
2005;1;1;21;49.0000;18.0000;77.0000;25.0000;80.0000;0.71;2.30;58.0;
2005;1;1;22;50.0000;14.0000;71.0000;22.0000;80.0000;0.51;1.80;56.0;
2005;1;1;23;44.0000;15.0000;66.0000;20.0000;80.0000;0.11;2.30;50.0;
2005;1;1;24;47.0000;30.0000;94.0000;17.0000;80.0000;0.30;1.30;63.0;
2005;1;2;1;44.0000;18.0000;72.0000;15.0000;42.0000;-0.5;0.90;57.0;
2005;1;2;2;44.0000;20.0000;74.0000;18.0000;42.0000;-0.4;1.80;51.0;
2005;1;2;3;-999;-999;-999;17.0000;42.0000;-0.6;1.30;56.0;
2005;1;2;4;33.0000;3.00000;37.0000;23.0000;42.0000;-0.7;0.70;71.0;
2005;1;2;5;37.0000;6.00000;46.0000;-999;42.0000;-0.0;2.30;57.0;
2005;1;2;6;36.0000;5.00000;44.0000;16.0000;42.0000;-0.7;1.10;51.0;
2005;1;2;7;40.0000;27.0000;81.0000;13.0000;42.0000;-1.3;0.60;-999;
2005;1;2;8;35.0000;21.0000;67.0000;16.0000;42.0000;-1.5;1.00;62.0;
2005;1;2;9;39.0000;31.0000;87.0000;16.0000;42.0000;-1.3;1.80;54.0;
2005;1;2;10;36.0000;24.0000;73.0000;22.0000;42.0000;-1.2;1.80;49.0;
2005;1;2;11;50.0000;41.0000;114.000;20.0000;42.0000;-0.5;2.20;43.0;
2005;1;2;12;49.0000;40.0000;110.000;21.0000;42.0000;-0.9;0.80;54.0;
2005;1;2;13;45.0000;41.0000;104.000;21.0000;42.0000;6.11;0.50;70.0;
2005;1;2;14;41.0000;19.0000;70.0000;23.0000;42.0000;6.31;0.50;177.;
2005;1;2;15;23.0000;10.0000;38.0000;28.0000;42.0000;2.41;0.60;211.;
2005;1;2;16;17.0000;7.00000;28.0000;30.0000;42.0000;2.01;0.40;112.;
2005;1;2;17;18.0000;4.00000;25.0000;31.0000;42.0000;2.11;0.60;111.;
2005;1;2;18;51.0000;23.0000;86.0000;20.0000;42.0000;2.51;1.80;96.0;
2005;1;2;19;54.0000;18.0000;82.0000;20.0000;42.0000;1.81;1.80;60.0;
2005;1;2;20;39.0000;7.00000;50.0000;25.0000;42.0000;1.71;1.90;57.0;
