year;month;day;hour;NO2;NO;NOx;O3;PM10;TEMP;WS;WD;
2005;1;1;1;33.0000;42.0000;97.0000;23.0000;117.000;-999;-999;-999;
2005;1;1;2;29.0000;37.0000;85.0000;23.0000;232.000;-0.5;0.00;-999;
2005;1;1;3;30.0000;29.0000;75.0000;23.0000;223.000;-0.7;0.00;-999;
2005;1;1;4;34.0000;59.0000;124.000;23.0000;241.000;-0.4;0.70;13.0;
2005;1;1;5;36.0000;67.0000;138.000;22.0000;165.000;-0.2;0.80;28.0;
2005;1;1;6;35.0000;56.0000;120.000;22.0000;98.0000;-0.0;1.20;21.0;
2005;1;1;7;31.0000;42.0000;96.0000;21.0000;84.0000;0.11;1.40;24.0;
2005;1;1;8;31.0000;38.0000;90.0000;21.0000;75.0000;-0.2;0.80;327.;
2005;1;1;9;32.0000;23.0000;67.0000;23.0000;48.0000;-0.5;1.20;7.00;
2005;1;1;10;21.0000;9.00000;35.0000;32.0000;44.0000;0.30;2.00;356.;
2005;1;1;11;19.0000;9.00000;32.0000;43.0000;32.0000;2.31;1.00;349.;
2005;1;1;12;22.0000;9.00000;36.0000;50.0000;38.0000;4.51;1.20;4.00;
2005;1;1;13;14.0000;5.00000;22.0000;63.0000;36.0000;6.91;0.90;213.;
2005;1;1;14;25.0000;10.0000;40.0000;51.0000;72.0000;7.41;1.60;229.;
2005;1;1;15;44.0000;18.0000;71.0000;44.0000;97.0000;7.41;2.00;216.;
2005;1;1;16;61.0000;30.0000;106.000;32.0000;152.000;7.71;1.90;247.;
2005;1;1;17;76.0000;49.0000;151.000;23.0000;227.000;7.11;1.70;224.;
2005;1;1;18;81.0000;60.0000;173.000;23.0000;268.000;5.11;1.20;229.;
2005;1;1;19;81.0000;98.0000;230.000;24.0000;269.000;3.81;0.90;278.;
2005;1;1;20;69.0000;110.000;238.000;24.0000;224.000;2.41;0.80;321.;
2005;1;1;21;48.0000;58.0000;137.000;22.0000;80.0000;1.41;0.90;10.0;
2005;1;1;22;35.0000;10.0000;50.0000;23.0000;43.0000;1.51;1.30;346.;
2005;1;1;23;33.0000;5.00000;41.0000;23.0000;37.0000;1.61;1.20;359.;
2005;1;1;24;31.0000;10.0000;47.0000;26.0000;38.0000;1.21;1.00;353.;
2005;1;2;1;19.0000;0.000000;19.0000;39.0000;24.0000;1.31;1.30;338.;
2005;1;2;2;24.0000;1.00000;25.0000;30.0000;23.0000;1.91;2.00;3.00;
2005;1;2;3;21.0000;1.00000;22.0000;26.0000;26.0000;1.61;1.40;358.;
2005;1;2;4;20.0000;1.00000;21.0000;24.0000;24.0000;0.80;1.00;326.;
2005;1;2;5;18.0000;1.00000;21.0000;31.0000;21.0000;0.21;0.60;285.;
2005;1;2;6;15.0000;1.00000;16.0000;32.0000;17.0000;1.01;1.60;326.;
2005;1;2;7;21.0000;3.00000;25.0000;23.0000;17.0000;1.01;0.90;323.;
2005;1;2;8;24.0000;3.00000;29.0000;22.0000;29.0000;0.41;1.10;322.;
2005;1;2;9;25.0000;17.0000;52.0000;23.0000;49.0000;0.01;0.90;347.;
2005;1;2;10;20.0000;10.0000;35.0000;36.0000;37.0000;0.01;1.10;316.;
2005;1;2;11;19.0000;9.00000;33.0000;46.0000;27.0000;3.01;1.00;355.;
2005;1;2;12;17.0000;7.00000;28.0000;54.0000;31.0000;5.41;1.10;354.;
2005;1;2;13;24.0000;10.0000;39.0000;51.0000;64.0000;6.71;1.10;254.;
2005;1;2;14;13.0000;2.00000;17.0000;78.0000;33.0000;7.31;1.80;198.;
2005;1;2;15;10.0000;1.00000;12.0000;82.0000;19.0000;9.21;3.30;271.;
2005;1;2;16;11.0000;1.00000;12.0000;79.0000;20.0000;9.41;3.90;260.;
2005;1;2;17;26.0000;3.00000;31.0000;48.0000;42.0000;9.51;2.70;266.;
2005;1;2;18;44.0000;25.0000;83.0000;22.0000;114.000;7.61;1.30;241.;
2005;1;2;19;39.0000;21.0000;71.0000;22.0000;100.000;4.01;1.50;152.;
2005;1;2;20;41.0000;28.0000;84.0000;23.0000;113.000;2.51;1.40;34.0;
2005;1;2;21;46.0000;47.0000;119.000;24.0000;134.000;2.11;1.00;58.0;
2005;1;2;22;57.0000;126.000;250.000;24.0000;124.000;1.61;1.30;29.0;
2005;1;2;23;47.0000;129.000;245.000;23.0000;133.000;1.41;1.50;8.00;
2005;1;2;24;42.0000;140.000;256.000;23.0000;137.000;0.41;0.90;324.;
2005;1;3;1;40.0000;126.000;232.000;22.0000;117.000;-0.3;0.80;64.0;
2005;1;3;2;38.0000;65.0000;137.000;22.0000;74.0000;-0.5;1.00;54.0;
2005;1;3;3;35.0000;49.0000;111.000;21.0000;72.0000;-0.2;1.60;30.0;
2005;1;3;4;31.0000;49.0000;107.000;21.0000;65.0000;-0.2;1.30;15.0;
2005;1;3;5;30.0000;51.0000;109.000;21.0000;60.0000;-0.9;0.90;5.00;
2005;1;3;6;32.0000;63.0000;128.000;21.0000;70.0000;-0.8;1.20;37.0;
2005;1;3;7;35.0000;98.0000;186.000;21.0000;71.0000;-0.0;1.20;18.0;
2005;1;3;8;45.0000;108.000;210.000;21.0000;57.0000;-0.3;0.90;309.;
2005;1;3;9;44.0000;61.0000;138.000;23.0000;42.0000;0.71;1.80;326.;
2005;1;3;10;43.0000;66.0000;144.000;25.0000;63.0000;1.61;2.20;9.00;
2005;1;3;11;46.0000;81.0000;169.000;26.0000;82.0000;3.31;1.40;26.0;
2005;1;3;12;45.0000;56.0000;131.000;34.0000;60.0000;4.91;1.10;238.;
2005;1;3;13;40.0000;32.0000;88.0000;39.0000;57.0000;7.71;0.60;123.;
2005;1;3;14;45.0000;42.0000;111.000;34.0000;81.0000;8.41;1.40;176.;
2005;1;3;15;37.0000;23.0000;73.0000;35.0000;83.0000;8.21;2.10;164.;
2005;1;3;16;30.0000;16.0000;55.0000;30.0000;50.0000;7.81;2.40;171.;
2005;1;3;17;35.0000;22.0000;68.0000;23.0000;60.0000;7.51;1.60;189.;
2005;1;3;18;42.0000;51.0000;120.000;22.0000;117.000;6.01;1.40;98.0;
2005;1;3;19;48.0000;84.0000;177.000;23.0000;141.000;4.01;1.30;67.0;
2005;1;3;20;58.0000;130.000;257.000;24.0000;148.000;3.01;1.30;48.0;
2005;1;3;21;55.0000;115.000;231.000;23.0000;97.0000;2.61;1.20;18.0;
2005;1;3;22;55.0000;140.000;269.000;23.0000;101.000;2.71;2.20;16.0;
2005;1;3;23;49.0000;138.000;261.000;24.0000;119.000;1.71;1.60;29.0;
2005;1;3;24;42.0000;62.0000;136.000;22.0000;61.0000;0.11;1.30;309.;
2005;1;4;1;38.0000;46.0000;109.000;22.0000;44.0000;1.71;2.10;16.0;
2005;1;4;2;37.0000;39.0000;97.0000;22.0000;41.0000;0.71;1.90;20.0;
2005;1;4;3;32.0000;44.0000;100.000;22.0000;54.0000;0.71;1.60;7.00;
2005;1;4;4;31.0000;48.0000;104.000;21.0000;47.0000;-0.6;1.40;236.;
2005;1;4;5;30.0000;24.0000;67.0000;21.0000;23.0000;-0.7;1.20;305.;
2005;1;4;6;31.0000;25.0000;69.0000;21.0000;36.0000;0.11;2.30;330.;
2005;1;4;7;36.0000;60.0000;128.000;21.0000;51.0000;0.01;1.70;322.;
2005;1;4;8;42.0000;86.0000;173.000;21.0000;46.0000;0.71;1.50;349.;
2005;1;4;9;44.0000;134.000;249.000;21.0000;96.0000;0.30;0.80;331.;
2005;1;4;10;44.0000;138.000;256.000;23.0000;111.000;0.01;0.60;11.0;
2005;1;4;11;59.0000;161.000;306.000;24.0000;114.000;0.71;0.90;248.;
2005;1;4;12;63.0000;135.000;270.000;25.0000;113.000;3.61;1.00;286.;
2005;1;4;13;32.0000;15.0000;55.0000;53.0000;28.0000;6.51;1.60;207.;
2005;1;4;14;22.0000;7.00000;33.0000;60.0000;19.0000;9.61;6.00;268.;
2005;1;4;15;18.0000;5.00000;25.0000;65.0000;17.0000;9.91;6.30;264.;
2005;1;4;16;19.0000;3.00000;24.0000;61.0000;23.0000;10.2;5.80;276.;
2005;1;4;17;33.0000;4.00000;40.0000;40.0000;27.0000;10.2;4.40;271.;
2005;1;4;18;48.0000;23.0000;83.0000;23.0000;55.0000;8.91;2.30;287.;
2005;1;4;19;53.0000;44.0000;121.000;23.0000;77.0000;7.71;2.00;280.;
2005;1;4;20;49.0000;36.0000;105.000;23.0000;89.0000;6.51;2.00;291.;
2005;1;4;21;48.0000;70.0000;157.000;23.0000;112.000;5.91;2.10;347.;
2005;1;4;22;42.0000;58.0000;130.000;22.0000;115.000;3.81;1.40;336.;
2005;1;4;23;38.0000;46.0000;108.000;22.0000;103.000;3.31;0.70;339.;
2005;1;4;24;39.0000;32.0000;87.0000;22.0000;82.0000;2.31;1.20;10.0;
2005;1;5;1;33.0000;10.0000;49.0000;22.0000;54.0000;3.41;1.90;350.;
2005;1;5;2;32.0000;16.0000;57.0000;21.0000;80.0000;2.91;2.00;3.00;
2005;1;5;3;28.0000;7.00000;39.0000;24.0000;59.0000;2.51;1.50;334.;
2005;1;5;4;24.0000;3.00000;29.0000;26.0000;45.0000;2.81;1.70;350.;
2005;1;5;5;26.0000;7.00000;38.0000;24.0000;30.0000;2.41;1.60;351.;
2005;1;5;6;30.0000;16.0000;54.0000;21.0000;46.0000;2.11;1.70;333.;
2005;1;5;7;33.0000;15.0000;56.0000;23.0000;61.0000;2.41;1.90;349.;
2005;1;5;8;36.0000;16.0000;60.0000;24.0000;38.0000;4.11;2.80;330.;
2005;1;5;9;40.0000;29.0000;85.0000;23.0000;55.0000;4.31;3.20;328.;
2005;1;5;10;42.0000;63.0000;139.000;23.0000;90.0000;4.71;2.20;336.;
2005;1;5;11;41.0000;54.0000;124.000;28.0000;113.000;4.81;1.40;327.;
2005;1;5;12;34.0000;18.0000;62.0000;37.0000;77.0000;6.91;1.70;325.;
2005;1;5;13;26.0000;13.0000;46.0000;50.0000;61.0000;8.71;1.80;300.;
2005;1;5;14;16.0000;3.00000;21.0000;62.0000;35.0000;9.51;2.80;287.;
2005;1;5;15;16.0000;4.00000;21.0000;65.0000;31.0000;10.0;3.70;279.;
2005;1;5;16;19.0000;3.00000;23.0000;59.0000;29.0000;10.5;3.00;281.;
2005;1;5;17;44.0000;20.0000;75.0000;27.0000;49.0000;10.3;2.50;287.;
2005;1;5;18;52.0000;56.0000;137.000;22.0000;121.000;9.21;1.60;293.;
2005;1;5;19;51.0000;77.0000;169.000;22.0000;139.000;6.41;1.00;254.;
2005;1;5;20;52.0000;119.000;235.000;23.0000;159.000;4.41;0.90;211.;
2005;1;5;21;53.0000;121.000;239.000;24.0000;143.000;3.11;1.00;54.0;
2005;1;5;22;49.0000;115.000;225.000;24.0000;133.000;2.81;1.00;40.0;
2005;1;5;23;47.0000;93.0000;189.000;22.0000;135.000;2.01;1.30;59.0;
2005;1;5;24;46.0000;74.0000;159.000;21.0000;119.000;1.71;1.30;41.0;
2005;1;6;1;45.0000;75.0000;160.000;21.0000;103.000;1.91;1.40;29.0;
2005;1;6;2;42.0000;91.0000;182.000;21.0000;93.0000;1.91;1.10;33.0;
2005;1;6;3;39.0000;102.000;195.000;21.0000;96.0000;1.21;0.90;23.0;
2005;1;6;4;31.0000;92.0000;171.000;21.0000;76.0000;0.80;1.00;334.;
2005;1;6;5;29.0000;78.0000;149.000;21.0000;68.0000;0.11;0.70;15.0;
2005;1;6;6;26.0000;44.0000;93.0000;21.0000;48.0000;-0.1;0.90;311.;
2005;1;6;7;25.0000;16.0000;50.0000;21.0000;40.0000;-0.5;1.20;262.;
2005;1;6;8;26.0000;8.00000;38.0000;21.0000;21.0000;0.01;1.40;340.;
2005;1;6;9;23.0000;18.0000;51.0000;22.0000;43.0000;0.30;1.70;1.00;
2005;1;6;10;23.0000;12.0000;41.0000;32.0000;53.0000;0.21;1.30;282.;
2005;1;6;11;24.0000;14.0000;46.0000;38.0000;41.0000;3.71;1.10;301.;
2005;1;6;12;25.0000;26.0000;65.0000;44.0000;71.0000;5.81;1.70;259.;
2005;1;6;13;40.0000;53.0000;121.000;30.0000;131.000;6.61;3.60;268.;
2005;1;6;14;30.0000;19.0000;60.0000;50.0000;84.0000;5.11;2.20;143.;
2005;1;6;15;10.0000;1.00000;12.0000;74.0000;28.0000;9.41;3.40;251.;
2005;1;6;16;12.0000;0.000000;13.0000;71.0000;30.0000;11.4;3.80;268.;
2005;1;6;17;36.0000;17.0000;62.0000;33.0000;88.0000;11.2;2.70;251.;
2005;1;6;18;49.0000;27.0000;91.0000;21.0000;131.000;7.01;2.30;124.;
2005;1;6;19;47.0000;35.0000;101.000;21.0000;138.000;4.21;1.70;67.0;
2005;1;6;20;46.0000;38.0000;104.000;21.0000;137.000;3.51;1.70;68.0;
2005;1;6;21;45.0000;34.0000;96.0000;21.0000;127.000;2.81;1.40;74.0;
2005;1;6;22;44.0000;27.0000;85.0000;21.0000;113.000;2.31;1.70;63.0;
2005;1;6;23;43.0000;29.0000;88.0000;21.0000;115.000;1.91;2.10;55.0;
2005;1;6;24;41.0000;32.0000;89.0000;21.0000;101.000;1.91;1.70;49.0;
2005;1;7;1;42.0000;51.0000;120.000;21.0000;89.0000;1.91;1.50;27.0;
2005;1;7;2;38.0000;56.0000;124.000;20.0000;87.0000;1.71;1.60;4.00;
2005;1;7;3;37.0000;46.0000;107.000;20.0000;72.0000;1.01;1.50;24.0;
2005;1;7;4;33.0000;38.0000;92.0000;20.0000;54.0000;1.21;1.70;12.0;
2005;1;7;5;32.0000;39.0000;91.0000;20.0000;45.0000;0.80;1.00;12.0;
2005;1;7;6;32.0000;65.0000;132.000;20.0000;45.0000;0.51;1.30;22.0;
2005;1;7;7;33.0000;101.000;189.000;20.0000;57.0000;0.11;0.90;324.;
2005;1;7;8;35.0000;132.000;238.000;20.0000;57.0000;-0.2;0.70;347.;
2005;1;7;9;43.0000;150.000;272.000;21.0000;84.0000;-0.6;0.90;322.;
2005;1;7;10;43.0000;127.000;238.000;21.0000;112.000;-0.4;1.10;283.;
2005;1;7;11;45.0000;59.0000;136.000;26.0000;124.000;1.61;0.80;307.;
2005;1;7;12;45.0000;42.0000;110.000;30.0000;115.000;4.21;0.80;282.;
2005;1;7;13;36.0000;18.0000;64.0000;42.0000;103.000;6.31;1.00;258.;
2005;1;7;14;48.0000;45.0000;118.000;30.0000;130.000;7.41;1.20;228.;
2005;1;7;15;59.0000;69.0000;165.000;26.0000;184.000;7.11;1.80;200.;
2005;1;7;16;50.0000;69.0000;157.000;23.0000;179.000;6.51;1.50;206.;
2005;1;7;17;48.0000;78.0000;167.000;21.0000;173.000;4.61;1.50;206.;
2005;1;7;18;46.0000;90.0000;184.000;20.0000;178.000;2.91;0.60;216.;
2005;1;7;19;34.0000;109.000;201.000;22.0000;145.000;1.71;0.60;294.;
2005;1;7;20;34.0000;123.000;222.000;22.0000;176.000;-2.0;0.60;208.;
2005;1;7;21;35.0000;138.000;246.000;22.0000;181.000;-2.4;1.30;39.0;
2005;1;7;22;41.0000;172.000;305.000;22.0000;234.000;-1.9;1.40;237.;
2005;1;7;23;52.0000;233.000;409.000;23.0000;259.000;-1.3;0.70;298.;
