year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;30.0000;1.00000;32.0000;10.0000;104.000;
2005;1;1;2;34.0000;1.00000;36.0000;8.00000;122.000;
2005;1;1;3;32.0000;2.00000;35.0000;7.00000;51.0000;
2005;1;1;4;31.0000;1.00000;33.0000;8.00000;35.0000;
2005;1;1;5;28.0000;1.00000;30.0000;10.0000;22.0000;
2005;1;1;6;24.0000;0.000000;24.0000;13.0000;12.0000;
2005;1;1;7;21.0000;0.000000;21.0000;17.0000;7.00000;
2005;1;1;8;23.0000;0.000000;23.0000;16.0000;7.00000;
2005;1;1;9;24.0000;0.000000;24.0000;15.0000;9.00000;
2005;1;1;10;23.0000;2.00000;26.0000;19.0000;14.0000;
2005;1;1;11;14.0000;0.000000;14.0000;36.0000;10.0000;
2005;1;1;12;11.0000;0.000000;11.0000;48.0000;8.00000;
2005;1;1;13;11.0000;0.000000;11.0000;55.0000;8.00000;
2005;1;1;14;14.0000;0.000000;14.0000;62.0000;14.0000;
2005;1;1;15;17.0000;0.000000;17.0000;59.0000;22.0000;
2005;1;1;16;18.0000;0.000000;18.0000;44.0000;26.0000;
2005;1;1;17;19.0000;0.000000;19.0000;38.0000;27.0000;
2005;1;1;18;31.0000;0.000000;31.0000;18.0000;38.0000;
2005;1;1;19;38.0000;2.00000;41.0000;9.00000;43.0000;
2005;1;1;20;39.0000;3.00000;44.0000;6.00000;44.0000;
2005;1;1;21;37.0000;3.00000;42.0000;8.00000;39.0000;
2005;1;1;22;34.0000;2.00000;37.0000;8.00000;34.0000;
2005;1;1;23;34.0000;2.00000;37.0000;7.00000;39.0000;
2005;1;1;24;28.0000;1.00000;30.0000;10.0000;31.0000;
2005;1;2;1;28.0000;1.00000;30.0000;11.0000;34.0000;
2005;1;2;2;26.0000;0.000000;26.0000;11.0000;25.0000;
2005;1;2;3;21.0000;0.000000;21.0000;14.0000;14.0000;
2005;1;2;4;24.0000;0.000000;24.0000;12.0000;13.0000;
2005;1;2;5;21.0000;0.000000;21.0000;14.0000;8.00000;
2005;1;2;6;20.0000;0.000000;20.0000;13.0000;8.00000;
2005;1;2;7;18.0000;0.000000;18.0000;15.0000;5.00000;
2005;1;2;8;23.0000;0.000000;23.0000;11.0000;7.00000;
2005;1;2;9;26.0000;2.00000;29.0000;10.0000;7.00000;
2005;1;2;10;27.0000;5.00000;35.0000;14.0000;21.0000;
2005;1;2;11;18.0000;2.00000;21.0000;29.0000;17.0000;
2005;1;2;12;13.0000;0.000000;13.0000;43.0000;8.00000;
2005;1;2;13;13.0000;0.000000;13.0000;56.0000;14.0000;
2005;1;2;14;15.0000;0.000000;15.0000;59.0000;18.0000;
2005;1;2;15;14.0000;0.000000;14.0000;54.0000;16.0000;
2005;1;2;16;17.0000;0.000000;17.0000;49.0000;21.0000;
2005;1;2;17;22.0000;0.000000;22.0000;37.0000;29.0000;
2005;1;2;18;34.0000;2.00000;37.0000;18.0000;34.0000;
2005;1;2;19;44.0000;5.00000;52.0000;7.00000;48.0000;
2005;1;2;20;47.0000;13.0000;67.0000;3.00000;57.0000;
2005;1;2;21;43.0000;8.00000;55.0000;3.00000;48.0000;
