year;month;day;hour;NO2;NO;NOx;PM10;
2005;1;1;1;40.0000;49.0000;115.000;299.000;
2005;1;1;2;45.0000;27.0000;86.0000;85.0000;
2005;1;1;3;45.0000;54.0000;129.000;111.000;
2005;1;1;4;48.0000;38.0000;105.000;42.0000;
2005;1;1;5;46.0000;30.0000;91.0000;62.0000;
2005;1;1;6;47.0000;34.0000;99.0000;39.0000;
2005;1;1;7;42.0000;17.0000;68.0000;26.0000;
2005;1;1;8;46.0000;13.0000;65.0000;26.0000;
2005;1;1;9;48.0000;17.0000;75.0000;59.0000;
2005;1;1;10;45.0000;22.0000;79.0000;45.0000;
2005;1;1;11;37.0000;16.0000;62.0000;19.0000;
2005;1;1;12;35.0000;13.0000;55.0000;45.0000;
2005;1;1;13;42.0000;17.0000;67.0000;75.0000;
2005;1;1;14;53.0000;22.0000;88.0000;105.000;
2005;1;1;15;56.0000;20.0000;87.0000;79.0000;
2005;1;1;16;59.0000;17.0000;86.0000;88.0000;
2005;1;1;17;65.0000;17.0000;92.0000;98.0000;
2005;1;1;18;69.0000;22.0000;102.000;88.0000;
2005;1;1;19;62.0000;21.0000;94.0000;85.0000;
2005;1;1;20;61.0000;59.0000;151.000;120.000;
2005;1;1;21;65.0000;54.0000;148.000;98.0000;
2005;1;1;22;60.0000;100.000;213.000;157.000;
2005;1;1;23;56.0000;143.000;276.000;111.000;
2005;1;1;24;51.0000;100.000;203.000;94.0000;
2005;1;2;1;46.0000;92.0000;188.000;85.0000;
2005;1;2;2;43.0000;61.0000;137.000;72.0000;
2005;1;2;3;41.0000;39.0000;101.000;39.0000;
2005;1;2;4;39.0000;33.0000;89.0000;39.0000;
2005;1;2;5;37.0000;30.0000;84.0000;32.0000;
2005;1;2;6;40.0000;28.0000;83.0000;38.0000;
2005;1;2;7;38.0000;45.0000;106.000;35.0000;
2005;1;2;8;43.0000;48.0000;117.000;42.0000;
2005;1;2;9;46.0000;48.0000;120.000;55.0000;
2005;1;2;10;53.0000;65.0000;153.000;68.0000;
2005;1;2;11;57.0000;41.0000;120.000;49.0000;
2005;1;2;12;50.0000;33.0000;101.000;49.0000;
2005;1;2;13;59.0000;35.0000;112.000;68.0000;
2005;1;2;14;53.0000;24.0000;89.0000;59.0000;
2005;1;2;15;61.0000;30.0000;107.000;91.0000;
2005;1;2;16;59.0000;28.0000;102.000;91.0000;
2005;1;2;17;68.0000;54.0000;151.000;154.000;
2005;1;2;18;73.0000;44.0000;141.000;105.000;
2005;1;2;19;70.0000;32.0000;119.000;115.000;
2005;1;2;20;67.0000;74.0000;180.000;114.000;
2005;1;2;21;59.0000;40.0000;121.000;98.0000;
2005;1;2;22;53.0000;52.0000;132.000;85.0000;
2005;1;2;23;50.0000;62.0000;145.000;108.000;
2005;1;2;24;47.0000;69.0000;153.000;75.0000;
2005;1;3;1;44.0000;39.0000;104.000;26.0000;
2005;1;3;2;35.0000;13.0000;55.0000;45.0000;
2005;1;3;3;30.0000;9.00000;43.0000;29.0000;
2005;1;3;4;34.0000;15.0000;57.0000;19.0000;
2005;1;3;5;33.0000;19.0000;62.0000;22.0000;
2005;1;3;6;39.0000;39.0000;100.000;49.0000;
2005;1;3;7;43.0000;49.0000;117.000;55.0000;
2005;1;3;8;64.0000;134.000;270.000;207.000;
2005;1;3;9;69.0000;204.000;381.000;177.000;
2005;1;3;10;76.0000;202.000;385.000;157.000;
2005;1;3;11;81.0000;124.000;271.000;78.0000;
2005;1;3;12;73.0000;98.0000;223.000;35.0000;
2005;1;3;13;51.0000;26.0000;91.0000;-999;
2005;1;3;14;45.0000;15.0000;69.0000;49.0000;
2005;1;3;15;43.0000;10.0000;59.0000;32.0000;
2005;1;3;16;53.0000;14.0000;74.0000;65.0000;
2005;1;3;17;73.0000;59.0000;163.000;101.000;
2005;1;3;18;71.0000;80.0000;193.000;186.000;
2005;1;3;19;77.0000;104.000;237.000;114.000;
2005;1;3;20;72.0000;100.000;226.000;190.000;
2005;1;3;21;66.0000;60.0000;159.000;32.0000;
2005;1;3;22;63.0000;82.0000;189.000;108.000;
2005;1;3;23;63.0000;50.0000;139.000;47.0000;
2005;1;3;24;63.0000;52.0000;143.000;32.0000;
2005;1;4;1;59.0000;73.0000;171.000;29.0000;
2005;1;4;2;59.0000;71.0000;167.000;42.0000;
2005;1;4;3;48.0000;43.0000;114.000;35.0000;
2005;1;4;4;50.0000;29.0000;95.0000;26.0000;
2005;1;4;5;49.0000;50.0000;126.000;29.0000;
2005;1;4;6;49.0000;48.0000;122.000;55.0000;
2005;1;4;7;51.0000;68.0000;155.000;108.000;
2005;1;4;8;69.0000;181.000;347.000;208.000;
2005;1;4;9;80.0000;284.000;514.000;230.000;
2005;1;4;10;85.0000;276.000;508.000;118.000;
2005;1;4;11;75.0000;130.000;274.000;88.0000;
2005;1;4;12;68.0000;89.0000;204.000;74.0000;
2005;1;4;13;42.0000;23.0000;77.0000;82.0000;
2005;1;4;14;30.0000;8.00000;43.0000;29.0000;
2005;1;4;15;41.0000;10.0000;57.0000;35.0000;
2005;1;4;16;44.0000;8.00000;56.0000;29.0000;
2005;1;4;17;29.0000;5.00000;36.0000;35.0000;
2005;1;4;18;54.0000;39.0000;114.000;207.000;
2005;1;4;19;72.0000;64.0000;171.000;213.000;
2005;1;4;20;71.0000;58.0000;161.000;137.000;
2005;1;4;21;64.0000;91.0000;203.000;118.000;
2005;1;4;22;60.0000;66.0000;162.000;121.000;
2005;1;4;23;58.0000;77.0000;175.000;85.0000;
2005;1;4;24;55.0000;52.0000;134.000;55.0000;
2005;1;5;1;41.0000;35.0000;95.0000;49.0000;
2005;1;5;2;37.0000;19.0000;67.0000;22.0000;
2005;1;5;3;34.0000;10.0000;50.0000;29.0000;
2005;1;5;4;41.0000;13.0000;60.0000;29.0000;
2005;1;5;5;43.0000;29.0000;87.0000;35.0000;
2005;1;5;6;39.0000;48.0000;113.000;29.0000;
2005;1;5;7;44.0000;79.0000;166.000;134.000;
2005;1;5;8;50.0000;152.000;282.000;94.0000;
2005;1;5;9;53.0000;128.000;250.000;98.0000;
2005;1;5;10;60.0000;108.000;226.000;94.0000;
2005;1;5;11;58.0000;75.0000;172.000;98.0000;
2005;1;5;12;64.0000;113.000;237.000;134.000;
2005;1;5;13;74.0000;116.000;252.000;131.000;
2005;1;5;14;53.0000;54.0000;136.000;38.0000;
2005;1;5;15;24.0000;8.00000;36.0000;29.0000;
2005;1;5;16;47.0000;32.0000;96.0000;85.0000;
2005;1;5;17;62.0000;33.0000;113.000;95.0000;
2005;1;5;18;68.0000;57.0000;156.000;124.000;
2005;1;5;19;71.0000;68.0000;175.000;145.000;
2005;1;5;20;69.0000;88.0000;203.000;134.000;
2005;1;5;21;64.0000;81.0000;189.000;105.000;
2005;1;5;22;64.0000;51.0000;142.000;111.000;
2005;1;5;23;50.0000;97.0000;198.000;98.0000;
2005;1;5;24;46.0000;102.000;202.000;98.0000;
2005;1;6;1;40.0000;83.0000;167.000;85.0000;
2005;1;6;2;38.0000;71.0000;146.000;68.0000;
2005;1;6;3;35.0000;53.0000;116.000;68.0000;
2005;1;6;4;36.0000;53.0000;117.000;55.0000;
2005;1;6;5;33.0000;52.0000;112.000;49.0000;
2005;1;6;6;42.0000;41.0000;105.000;59.0000;
2005;1;6;7;50.0000;41.0000;113.000;49.0000;
2005;1;6;8;43.0000;53.0000;125.000;49.0000;
2005;1;6;9;44.0000;49.0000;120.000;88.0000;
2005;1;6;10;50.0000;44.0000;118.000;72.0000;
2005;1;6;11;50.0000;49.0000;126.000;92.0000;
2005;1;6;12;52.0000;63.0000;150.000;98.0000;
2005;1;6;13;52.0000;50.0000;130.000;52.0000;
2005;1;6;14;52.0000;49.0000;127.000;78.0000;
2005;1;6;15;48.0000;31.0000;95.0000;62.0000;
2005;1;6;16;47.0000;25.0000;86.0000;49.0000;
2005;1;6;17;54.0000;48.0000;128.000;137.000;
2005;1;6;18;61.0000;106.000;224.000;151.000;
2005;1;6;19;53.0000;32.0000;102.000;78.0000;
2005;1;6;20;54.0000;28.0000;97.0000;79.0000;
2005;1;6;21;51.0000;51.0000;130.000;91.0000;
2005;1;6;22;47.0000;72.0000;158.000;108.000;
2005;1;6;23;48.0000;73.0000;160.000;111.000;
2005;1;6;24;43.0000;75.0000;158.000;78.0000;
2005;1;7;1;38.0000;50.0000;115.000;62.0000;
2005;1;7;2;36.0000;39.0000;96.0000;46.0000;
2005;1;7;3;32.0000;17.0000;58.0000;45.0000;
2005;1;7;4;31.0000;17.0000;58.0000;29.0000;
2005;1;7;5;33.0000;23.0000;69.0000;35.0000;
2005;1;7;6;39.0000;37.0000;95.0000;36.0000;
2005;1;7;7;40.0000;45.0000;110.000;65.0000;
2005;1;7;8;48.0000;95.0000;194.000;85.0000;
2005;1;7;9;52.0000;111.000;223.000;143.000;
2005;1;7;10;62.0000;118.000;243.000;108.000;
2005;1;7;11;57.0000;61.0000;149.000;75.0000;
2005;1;7;12;46.0000;24.0000;84.0000;45.0000;
2005;1;7;13;54.0000;25.0000;93.0000;78.0000;
2005;1;7;14;63.0000;35.0000;117.000;68.0000;
2005;1;7;15;55.0000;18.0000;82.0000;88.0000;
2005;1;7;16;59.0000;46.0000;129.000;151.000;
2005;1;7;17;58.0000;111.000;228.000;157.000;
2005;1;7;18;59.0000;145.000;281.000;183.000;
2005;1;7;19;48.0000;165.000;300.000;118.000;
2005;1;7;20;44.0000;164.000;296.000;144.000;
2005;1;7;21;42.0000;197.000;344.000;167.000;
2005;1;7;22;41.0000;218.000;375.000;203.000;
2005;1;7;23;46.0000;210.000;368.000;180.000;
2005;1;7;24;45.0000;199.000;351.000;181.000;
2005;1;8;1;43.0000;245.000;418.000;109.000;
2005;1;8;2;30.0000;187.000;316.000;114.000;
2005;1;8;3;27.0000;176.000;296.000;118.000;
2005;1;8;4;26.0000;158.000;268.000;112.000;
2005;1;8;5;33.0000;163.000;283.000;131.000;
2005;1;8;6;29.0000;161.000;276.000;138.000;
2005;1;8;7;35.0000;156.000;274.000;127.000;
2005;1;8;8;37.0000;140.000;251.000;125.000;
2005;1;8;9;33.0000;154.000;270.000;160.000;
2005;1;8;10;40.0000;181.000;317.000;160.000;
2005;1;8;11;46.0000;178.000;318.000;147.000;
2005;1;8;12;49.0000;168.000;307.000;174.000;
2005;1;8;13;50.0000;150.000;279.000;118.000;
2005;1;8;14;48.0000;111.000;218.000;114.000;
