year;month;day;hour;TEMP;WS;WD;
2005; 1; 1; 1;-1.3;0.30;192.;
2005; 1; 1; 2;2.41;0.20;217.;
2005; 1; 1; 3;2.41;0.30;216.;
2005; 1; 1; 4;2.11;0.30;214.;
2005; 1; 1; 5;2.51;0.40;44.0;
2005; 1; 1; 6;3.11;0.20;253.;
2005; 1; 1; 7;3.11;0.20;58.0;
2005; 1; 1; 8;2.41;0.30;206.;
2005; 1; 1; 9;1.81;0.30;258.;
2005; 1; 1;10;2.01;0.30;267.;
2005; 1; 1;11;2.91;0.30;248.;
2005; 1; 1;12;4.21;0.50;251.;
2005; 1; 1;13;5.91;0.40;245.;
2005; 1; 1;14;6.71;0.70;215.;
2005; 1; 1;15;7.31;0.60;208.;
2005; 1; 1;16;7.31;0.80;213.;
2005; 1; 1;17;7.91;0.70;223.;
2005; 1; 1;18;6.81;0.70;229.;
2005; 1; 1;19;5.71;0.60;235.;
2005; 1; 1;20;5.31;0.60;218.;
2005; 1; 1;21;4.61;0.60;243.;
2005; 1; 1;22;4.11;0.60;243.;
2005; 1; 1;23;4.11;0.50;221.;
2005; 1; 1;24;4.11;0.30;235.;
2005; 1; 2; 1;3.21;0.70;277.;
2005; 1; 2; 2;3.41;0.10;258.;
2005; 1; 2; 3;3.21;0.60;244.;
2005; 1; 2; 4;2.51;0.60;236.;
2005; 1; 2; 5;2.51;0.70;214.;
2005; 1; 2; 6;2.51;0.80;217.;
2005; 1; 2; 7;2.21;0.90;244.;
2005; 1; 2; 8;2.31;0.90;249.;
2005; 1; 2; 9;2.51;0.30;273.;
2005; 1; 2;10;2.71;0.30;281.;
2005; 1; 2;11;3.91;0.30;273.;
2005; 1; 2;12;5.11;0.60;266.;
2005; 1; 2;13;7.51;0.40;236.;
2005; 1; 2;14;8.81;1.00;234.;
2005; 1; 2;15;9.31;1.60;232.;
2005; 1; 2;16;9.91;1.40;246.;
2005; 1; 2;17;10.5;1.10;244.;
2005; 1; 2;18;9.71;0.50;261.;
2005; 1; 2;19;8.51;0.70;192.;
2005; 1; 2;20;6.81;0.60;188.;
2005; 1; 2;21;5.81;0.60;194.;
2005; 1; 2;22;5.71;0.20;259.;
2005; 1; 2;23;5.81;0.00;207.;
2005; 1; 2;24;5.61;0.30;12.0;
2005; 1; 3; 1;4.81;0.40;258.;
2005; 1; 3; 2;7.41;2.00;278.;
2005; 1; 3; 3;8.61;4.00;273.;
2005; 1; 3; 4;8.81;4.50;273.;
2005; 1; 3; 5;8.51;3.00;274.;
2005; 1; 3; 6;8.51;2.60;280.;
2005; 1; 3; 7;8.11;1.90;293.;
2005; 1; 3; 8;8.41;2.00;302.;
2005; 1; 3; 9;8.51;2.60;294.;
2005; 1; 3;10;8.11;2.40;274.;
2005; 1; 3;11;9.41;0.70;355.;
2005; 1; 3;12;10.3;1.00;262.;
2005; 1; 3;13;11.8;1.20;290.;
2005; 1; 3;14;12.0;1.70;228.;
2005; 1; 3;15;12.1;2.10;228.;
2005; 1; 3;16;12.0;2.70;220.;
2005; 1; 3;17;11.8;2.30;217.;
2005; 1; 3;18;10.6;1.40;215.;
2005; 1; 3;19;9.21;1.90;220.;
2005; 1; 3;20;8.61;1.50;242.;
2005; 1; 3;21;8.31;0.70;217.;
