year;month;day;hour;NO2;NO;NOx;SO2;O3;PM10;
2005;1;1;1;36.0000;33.0000;86.6000;6.00000;5.00000;80.0000;
2005;1;1;2;34.0000;20.0000;64.6667;-999;5.00000;80.0000;
2005;1;1;3;-999;-999;-999;0.000000;4.00000;80.0000;
2005;1;1;4;38.0000;26.0000;77.8667;0.000000;-999;80.0000;
2005;1;1;5;39.0000;29.0000;83.4667;0.000000;6.00000;80.0000;
2005;1;1;6;37.0000;31.0000;84.5333;0.000000;5.00000;80.0000;
2005;1;1;7;36.0000;30.0000;82.0000;0.000000;5.00000;80.0000;
2005;1;1;8;37.0000;32.0000;86.0667;0.000000;5.00000;80.0000;
2005;1;1;9;35.0000;32.0000;84.0667;0.000000;5.00000;80.0000;
2005;1;1;10;34.0000;30.0000;80.0000;0.000000;9.00000;80.0000;
2005;1;1;11;37.0000;33.0000;87.6000;0.000000;16.0000;80.0000;
2005;1;1;12;37.0000;29.0000;81.4667;0.000000;20.0000;80.0000;
2005;1;1;13;36.0000;25.0000;74.3333;0.000000;22.0000;80.0000;
2005;1;1;14;32.0000;18.0000;59.6000;0.000000;26.0000;80.0000;
2005;1;1;15;34.0000;15.0000;57.0000;0.000000;28.0000;80.0000;
2005;1;1;16;38.0000;13.0000;57.9333;0.000000;24.0000;80.0000;
2005;1;1;17;43.0000;11.0000;59.8667;0.000000;14.0000;80.0000;
2005;1;1;18;48.0000;13.0000;67.9333;0.000000;6.00000;80.0000;
2005;1;1;19;50.0000;16.0000;74.5333;0.000000;6.00000;80.0000;
2005;1;1;20;50.0000;18.0000;77.6000;0.000000;7.00000;80.0000;
2005;1;1;21;49.0000;19.0000;78.1333;0.000000;6.00000;80.0000;
2005;1;1;22;47.0000;22.0000;80.7333;0.000000;5.00000;80.0000;
2005;1;1;23;45.0000;23.0000;80.2667;0.000000;6.00000;80.0000;
2005;1;1;24;44.0000;22.0000;77.7333;0.000000;5.00000;80.0000;
2005;1;2;1;43.0000;24.0000;79.8000;0.000000;5.00000;115.000;
2005;1;2;2;42.0000;17.0000;68.0667;-999;5.00000;115.000;
2005;1;2;3;-999;-999;-999;1.00000;6.00000;115.000;
2005;1;2;4;46.0000;17.0000;72.0667;1.00000;-999;115.000;
2005;1;2;5;44.0000;15.0000;67.0000;1.00000;4.00000;115.000;
2005;1;2;6;43.0000;12.0000;61.4000;1.00000;4.00000;115.000;
2005;1;2;7;40.0000;10.0000;55.3333;1.00000;3.00000;115.000;
2005;1;2;8;38.0000;15.0000;61.0000;1.00000;3.00000;115.000;
2005;1;2;9;36.0000;19.0000;65.1333;0.000000;4.00000;115.000;
2005;1;2;10;33.0000;17.0000;59.0667;0.000000;10.0000;115.000;
2005;1;2;11;28.0000;16.0000;52.5333;1.00000;19.0000;115.000;
2005;1;2;12;37.0000;20.0000;67.6667;2.00000;26.0000;115.000;
