year;month;day;hour;NO2;NO;NOx;SO2;O3;PM10;
2005;1;1;1;40.0000;21.0000;73.0000;15.0000;18.0000;277.000;
2005;1;1;2;44.0000;24.0000;81.0000;12.0000;17.0000;219.000;
2005;1;1;3;44.0000;25.0000;81.0000;10.0000;17.0000;137.000;
2005;1;1;4;42.0000;20.0000;73.0000;10.0000;17.0000;109.000;
2005;1;1;5;40.0000;17.0000;66.0000;9.00000;19.0000;56.0000;
2005;1;1;6;41.0000;19.0000;70.0000;9.00000;18.0000;32.0000;
2005;1;1;7;39.0000;15.0000;62.0000;9.00000;18.0000;19.0000;
2005;1;1;8;41.0000;17.0000;67.0000;9.00000;18.0000;18.0000;
2005;1;1;9;38.0000;17.0000;64.0000;8.00000;21.0000;23.0000;
2005;1;1;10;39.0000;21.0000;72.0000;9.00000;22.0000;19.0000;
2005;1;1;11;40.0000;24.0000;77.0000;9.00000;24.0000;28.0000;
2005;1;1;12;43.0000;31.0000;90.0000;9.00000;25.0000;22.0000;
2005;1;1;13;44.0000;31.0000;92.0000;10.0000;26.0000;31.0000;
2005;1;1;14;37.0000;23.0000;73.0000;10.0000;30.0000;17.0000;
2005;1;1;15;44.0000;26.0000;83.0000;10.0000;26.0000;32.0000;
2005;1;1;16;48.0000;31.0000;97.0000;11.0000;20.0000;51.0000;
2005;1;1;17;50.0000;31.0000;97.0000;10.0000;17.0000;44.0000;
2005;1;1;18;53.0000;32.0000;102.000;10.0000;17.0000;40.0000;
2005;1;1;19;51.0000;33.0000;101.000;10.0000;17.0000;47.0000;
2005;1;1;20;51.0000;35.0000;105.000;10.0000;17.0000;59.0000;
2005;1;1;21;49.0000;31.0000;96.0000;11.0000;18.0000;59.0000;
2005;1;1;22;50.0000;36.0000;106.000;13.0000;18.0000;74.0000;
2005;1;1;23;45.0000;27.0000;86.0000;12.0000;18.0000;60.0000;
2005;1;1;24;43.0000;23.0000;78.0000;13.0000;17.0000;47.0000;
2005;1;2;1;41.0000;18.0000;68.0000;12.0000;19.0000;32.0000;
2005;1;2;2;39.0000;18.0000;67.0000;13.0000;18.0000;37.0000;
2005;1;2;3;35.0000;14.0000;57.0000;12.0000;20.0000;21.0000;
2005;1;2;4;34.0000;12.0000;52.0000;12.0000;19.0000;16.0000;
2005;1;2;5;33.0000;11.0000;50.0000;12.0000;20.0000;11.0000;
2005;1;2;6;34.0000;13.0000;53.0000;11.0000;19.0000;8.00000;
2005;1;2;7;33.0000;10.0000;48.0000;11.0000;21.0000;5.00000;
2005;1;2;8;37.0000;15.0000;60.0000;12.0000;19.0000;10.0000;
2005;1;2;9;40.0000;21.0000;72.0000;12.0000;20.0000;20.0000;
2005;1;2;10;42.0000;25.0000;79.0000;12.0000;21.0000;12.0000;
2005;1;2;11;50.0000;40.0000;111.000;13.0000;22.0000;35.0000;
2005;1;2;12;54.0000;51.0000;133.000;13.0000;23.0000;44.0000;
2005;1;2;13;53.0000;47.0000;125.000;13.0000;24.0000;50.0000;
2005;1;2;14;45.0000;31.0000;93.0000;13.0000;32.0000;50.0000;
2005;1;2;15;49.0000;30.0000;95.0000;13.0000;29.0000;43.0000;
2005;1;2;16;57.0000;34.0000;110.000;13.0000;22.0000;56.0000;
2005;1;2;17;60.0000;41.0000;122.000;13.0000;17.0000;50.0000;
2005;1;2;18;63.0000;49.0000;138.000;13.0000;17.0000;65.0000;
2005;1;2;19;66.0000;69.0000;172.000;12.0000;17.0000;54.0000;
2005;1;2;20;65.0000;66.0000;166.000;11.0000;16.0000;69.0000;
2005;1;2;21;63.0000;68.0000;168.000;13.0000;17.0000;96.0000;
2005;1;2;22;56.0000;56.0000;142.000;10.0000;16.0000;78.0000;
2005;1;2;23;52.0000;48.0000;125.000;10.0000;16.0000;-999;
2005;1;2;24;49.0000;43.0000;115.000;11.0000;16.0000;61.0000;
2005;1;3;1;45.0000;31.0000;92.0000;11.0000;16.0000;63.0000;
2005;1;3;2;40.0000;21.0000;73.0000;10.0000;16.0000;44.0000;
2005;1;3;3;34.0000;14.0000;55.0000;10.0000;20.0000;58.0000;
2005;1;3;4;35.0000;9.00000;49.0000;10.0000;19.0000;43.0000;
2005;1;3;5;37.0000;9.00000;50.0000;11.0000;19.0000;40.0000;
2005;1;3;6;38.0000;9.00000;52.0000;10.0000;19.0000;41.0000;
2005;1;3;7;50.0000;26.0000;90.0000;11.0000;17.0000;42.0000;
2005;1;3;8;65.0000;71.0000;174.000;12.0000;16.0000;47.0000;
2005;1;3;9;66.0000;72.0000;176.000;12.0000;17.0000;63.0000;
2005;1;3;10;67.0000;76.0000;184.000;13.0000;17.0000;65.0000;
2005;1;3;11;75.0000;104.000;234.000;12.0000;18.0000;105.000;
2005;1;3;12;76.0000;113.000;248.000;13.0000;20.0000;100.000;
2005;1;3;13;70.0000;92.0000;211.000;13.0000;21.0000;84.0000;
2005;1;3;14;49.0000;45.0000;118.000;13.0000;33.0000;78.0000;
2005;1;3;15;61.0000;55.0000;145.000;14.0000;25.0000;84.0000;
2005;1;3;16;65.0000;63.0000;162.000;14.0000;18.0000;97.0000;
2005;1;3;17;75.0000;83.0000;202.000;15.0000;17.0000;107.000;
2005;1;3;18;76.0000;96.0000;223.000;14.0000;17.0000;95.0000;
2005;1;3;19;70.0000;78.0000;189.000;13.0000;17.0000;91.0000;
2005;1;3;20;66.0000;67.0000;169.000;13.0000;17.0000;75.0000;
2005;1;3;21;59.0000;50.0000;136.000;12.0000;17.0000;79.0000;
2005;1;3;22;56.0000;44.0000;123.000;12.0000;17.0000;86.0000;
2005;1;3;23;49.0000;29.0000;94.0000;12.0000;17.0000;64.0000;
2005;1;3;24;43.0000;22.0000;77.0000;12.0000;18.0000;34.0000;
2005;1;4;1;40.0000;17.0000;67.0000;11.0000;18.0000;40.0000;
2005;1;4;2;37.0000;16.0000;61.0000;11.0000;19.0000;24.0000;
2005;1;4;3;30.0000;9.00000;44.0000;11.0000;24.0000;13.0000;
2005;1;4;4;30.0000;8.00000;43.0000;11.0000;23.0000;14.0000;
2005;1;4;5;31.0000;8.00000;43.0000;12.0000;21.0000;8.00000;
2005;1;4;6;34.0000;10.0000;49.0000;12.0000;20.0000;6.00000;
2005;1;4;7;41.0000;22.0000;75.0000;11.0000;20.0000;5.00000;
2005;1;4;8;57.0000;49.0000;132.000;13.0000;17.0000;17.0000;
2005;1;4;9;63.0000;124.000;253.000;13.0000;17.0000;44.0000;
2005;1;4;10;82.0000;125.000;274.000;11.0000;17.0000;59.0000;
2005;1;4;11;79.0000;116.000;257.000;14.0000;19.0000;79.0000;
2005;1;4;12;90.0000;164.000;340.000;15.0000;18.0000;66.0000;
2005;1;4;13;96.0000;179.000;371.000;16.0000;18.0000;112.000;
2005;1;4;14;81.0000;125.000;273.000;16.0000;21.0000;110.000;
2005;1;4;15;66.0000;89.0000;202.000;15.0000;22.0000;103.000;
2005;1;4;16;73.0000;100.000;226.000;15.0000;18.0000;92.0000;
2005;1;4;17;77.0000;103.000;234.000;16.0000;17.0000;91.0000;
2005;1;4;18;76.0000;103.000;234.000;15.0000;17.0000;89.0000;
2005;1;4;19;75.0000;96.0000;223.000;14.0000;17.0000;84.0000;
2005;1;4;20;74.0000;93.0000;217.000;14.0000;17.0000;81.0000;
2005;1;4;21;67.0000;79.0000;188.000;15.0000;17.0000;83.0000;
2005;1;4;22;61.0000;63.0000;157.000;9.00000;17.0000;75.0000;
2005;1;4;23;54.0000;48.0000;127.000;8.00000;17.0000;64.0000;
2005;1;4;24;50.0000;42.0000;115.000;8.00000;16.0000;44.0000;
2005;1;5;1;47.0000;36.0000;102.000;7.00000;17.0000;40.0000;
2005;1;5;2;45.0000;32.0000;93.0000;7.00000;16.0000;42.0000;
2005;1;5;3;40.0000;23.0000;75.0000;7.00000;17.0000;26.0000;
2005;1;5;4;38.0000;18.0000;66.0000;7.00000;18.0000;32.0000;
2005;1;5;5;36.0000;16.0000;60.0000;7.00000;18.0000;17.0000;
