year;month;day;hour;NO2;NO;NOx;SO2;O3;
2005;1;1;1;13.0000;1.00000;15.0000;-999;-999;
2005;1;1;2;-999;-999;-999;1.00000;65.0000;
2005;1;1;3;33.0000;4.20000;39.0000;1.00000;51.0000;
2005;1;1;4;8.50000;0.200000;8.80000;0.350000;70.0000;
2005;1;1;5;6.60000;0.190000;6.90000;0.500000;70.0000;
2005;1;1;6;6.10000;0.330000;6.60000;0.180000;66.0000;
2005;1;1;7;11.0000;0.180000;11.0000;0.340000;59.0000;
2005;1;1;8;18.0000;0.540000;19.0000;1.30000;50.0000;
2005;1;1;9;16.0000;0.510000;17.0000;0.870000;56.0000;
2005;1;1;10;15.0000;1.50000;17.0000;0.940000;54.0000;
2005;1;1;11;14.0000;2.30000;18.0000;1.30000;62.0000;
2005;1;1;12;10.0000;1.40000;12.0000;2.30000;71.0000;
2005;1;1;13;5.80000;0.620000;6.80000;0.690000;82.0000;
2005;1;1;14;5.20000;0.420000;5.80000;0.340000;87.0000;
2005;1;1;15;4.00000;0.200000;4.30000;0.130000;89.0000;
2005;1;1;16;9.80000;0.880000;11.0000;0.160000;84.0000;
2005;1;1;17;23.0000;1.60000;26.0000;0.560000;62.0000;
2005;1;1;18;54.0000;43.0000;120.000;3.60000;33.0000;
2005;1;1;19;58.0000;46.0000;130.000;4.30000;33.0000;
2005;1;1;20;39.0000;4.90000;46.0000;2.10000;34.0000;
2005;1;1;21;40.0000;5.90000;49.0000;2.10000;31.0000;
2005;1;1;22;40.0000;7.80000;52.0000;1.80000;30.0000;
2005;1;1;23;38.0000;11.0000;55.0000;1.80000;27.0000;
2005;1;1;24;24.0000;1.60000;26.0000;1.10000;38.0000;
2005;1;2;1;19.0000;0.800000;20.0000;-999;-999;
2005;1;2;2;-999;-999;-999;0.310000;52.0000;
2005;1;2;3;18.0000;0.200000;19.0000;0.180000;51.0000;
2005;1;2;4;16.0000;0.450000;17.0000;0.370000;47.0000;
2005;1;2;5;12.0000;0.280000;13.0000;0.590000;39.0000;
2005;1;2;6;16.0000;0.700000;17.0000;0.360000;35.0000;
2005;1;2;7;5.90000;0.210000;6.20000;0.300000;52.0000;
2005;1;2;8;5.90000;0.190000;6.20000;0.170000;52.0000;
2005;1;2;9;9.10000;0.490000;9.80000;0.500000;51.0000;
2005;1;2;10;22.0000;4.40000;29.0000;0.970000;41.0000;
2005;1;2;11;21.0000;5.30000;30.0000;1.20000;48.0000;
2005;1;2;12;21.0000;4.40000;28.0000;1.90000;60.0000;
2005;1;2;13;18.0000;4.10000;24.0000;8.50000;61.0000;
2005;1;2;14;17.0000;2.80000;21.0000;6.50000;65.0000;
2005;1;2;15;21.0000;2.30000;25.0000;3.60000;61.0000;
2005;1;2;16;23.0000;1.80000;26.0000;2.80000;58.0000;
2005;1;2;17;26.0000;1.30000;28.0000;2.20000;56.0000;
2005;1;2;18;58.0000;43.0000;120.000;4.20000;30.0000;
2005;1;2;19;59.0000;45.0000;130.000;4.10000;27.0000;
2005;1;2;20;55.0000;22.0000;89.0000;2.80000;25.0000;
2005;1;2;21;47.0000;14.0000;67.0000;3.30000;25.0000;
2005;1;2;22;37.0000;5.70000;46.0000;5.30000;26.0000;
2005;1;2;23;33.0000;2.60000;37.0000;4.60000;30.0000;
2005;1;2;24;26.0000;1.80000;29.0000;3.10000;34.0000;
2005;1;3;1;29.0000;3.90000;35.0000;-999;-999;
2005;1;3;2;-999;-999;-999;2.00000;29.0000;
2005;1;3;3;19.0000;0.350000;20.0000;1.10000;32.0000;
2005;1;3;4;18.0000;0.740000;19.0000;0.600000;33.0000;
2005;1;3;5;15.0000;0.770000;16.0000;0.480000;29.0000;
2005;1;3;6;9.90000;0.430000;11.0000;0.570000;41.0000;
2005;1;3;7;17.0000;1.90000;20.0000;0.600000;30.0000;
2005;1;3;8;26.0000;4.30000;32.0000;0.760000;23.0000;
2005;1;3;9;37.0000;16.0000;61.0000;2.10000;18.0000;
2005;1;3;10;46.0000;29.0000;90.0000;3.00000;21.0000;
2005;1;3;11;41.0000;20.0000;72.0000;3.60000;26.0000;
2005;1;3;12;33.0000;12.0000;52.0000;2.60000;34.0000;
2005;1;3;13;17.0000;3.70000;22.0000;1.20000;60.0000;
2005;1;3;14;9.20000;1.30000;11.0000;1.80000;68.0000;
2005;1;3;15;14.0000;1.80000;17.0000;3.20000;64.0000;
2005;1;3;16;17.0000;1.90000;20.0000;5.90000;61.0000;
