year;month;day;hour;NO2;NO;NOx;PM10;TEMP;WS;WD;
2005;1;1;1;-999;-999;-999;60.0000;-2.1;0.30;56.0;
2005;1;1;2;53.0000;27.0000;94.0000;46.0000;-1.7;0.50;269.;
2005;1;1;3;42.0000;19.0000;71.0000;58.0000;-2.0;0.50;268.;
2005;1;1;4;43.0000;32.0000;91.0000;73.0000;-2.5;0.10;17.0;
2005;1;1;5;48.0000;39.0000;107.000;71.0000;-2.8;0.30;302.;
2005;1;1;6;48.0000;34.0000;100.000;64.0000;-2.5;0.50;266.;
2005;1;1;7;46.0000;25.0000;83.0000;55.0000;-1.9;0.60;276.;
2005;1;1;8;45.0000;16.0000;69.0000;42.0000;-1.9;0.60;270.;
2005;1;1;9;44.0000;20.0000;75.0000;59.0000;-2.0;0.60;278.;
2005;1;1;10;36.0000;21.0000;68.0000;61.0000;-2.2;0.60;268.;
2005;1;1;11;30.0000;17.0000;55.0000;51.0000;-0.7;1.00;280.;
2005;1;1;12;28.0000;13.0000;47.0000;43.0000;1.31;1.20;285.;
2005;1;1;13;29.0000;12.0000;47.0000;39.0000;2.71;1.30;291.;
2005;1;1;14;42.0000;14.0000;64.0000;60.0000;3.71;1.60;298.;
2005;1;1;15;51.0000;14.0000;72.0000;63.0000;4.91;1.50;299.;
2005;1;1;16;47.0000;9.00000;60.0000;53.0000;5.51;1.10;294.;
2005;1;1;17;62.0000;11.0000;79.0000;54.0000;5.41;1.00;296.;
2005;1;1;18;74.0000;21.0000;107.000;72.0000;4.11;0.70;283.;
2005;1;1;19;83.0000;52.0000;163.000;79.0000;1.81;0.50;262.;
2005;1;1;20;78.0000;42.0000;141.000;73.0000;0.61;0.50;279.;
2005;1;1;21;72.0000;44.0000;139.000;76.0000;0.61;0.60;266.;
2005;1;1;22;62.0000;40.0000;123.000;85.0000;-0.3;0.40;272.;
2005;1;1;23;51.0000;23.0000;87.0000;47.0000;-0.7;0.50;290.;
2005;1;1;24;49.0000;19.0000;78.0000;28.0000;-0.4;0.90;255.;
2005;1;2;1;-999;-999;-999;53.0000;-0.9;0.60;267.;
2005;1;2;2;51.0000;8.00000;64.0000;38.0000;-1.1;0.50;329.;
2005;1;2;3;47.0000;7.00000;58.0000;38.0000;-0.8;1.40;248.;
2005;1;2;4;48.0000;9.00000;61.0000;39.0000;-1.1;0.60;306.;
2005;1;2;5;42.0000;5.00000;50.0000;34.0000;-1.1;0.30;356.;
2005;1;2;6;35.0000;4.00000;41.0000;28.0000;-0.0;0.60;295.;
2005;1;2;7;40.0000;5.00000;48.0000;24.0000;-0.0;0.80;259.;
2005;1;2;8;37.0000;6.00000;47.0000;22.0000;-0.4;0.70;288.;
2005;1;2;9;45.0000;18.0000;72.0000;40.0000;-0.8;0.60;258.;
2005;1;2;10;38.0000;21.0000;70.0000;48.0000;-1.4;0.30;329.;
2005;1;2;11;35.0000;17.0000;61.0000;32.0000;0.61;0.90;270.;
2005;1;2;12;31.0000;12.0000;50.0000;33.0000;3.41;1.30;246.;
2005;1;2;13;27.0000;9.00000;41.0000;36.0000;4.31;0.80;327.;
2005;1;2;14;32.0000;8.00000;45.0000;49.0000;5.51;1.20;280.;
2005;1;2;15;43.0000;9.00000;57.0000;47.0000;6.51;0.70;294.;
2005;1;2;16;59.0000;11.0000;76.0000;59.0000;7.21;0.40;16.0;
2005;1;2;17;80.0000;35.0000;134.000;56.0000;7.51;0.50;260.;
2005;1;2;18;90.0000;86.0000;222.000;93.0000;5.21;0.10;24.0;
2005;1;2;19;103.000;102.000;259.000;82.0000;2.91;0.20;345.;
2005;1;2;20;97.0000;155.000;335.000;100.000;2.31;0.50;229.;
2005;1;2;21;85.0000;85.0000;216.000;81.0000;1.41;0.30;303.;
2005;1;2;22;70.0000;39.0000;129.000;54.0000;1.21;0.70;257.;
2005;1;2;23;73.0000;82.0000;198.000;69.0000;0.91;0.40;5.00;
2005;1;2;24;62.0000;59.0000;152.000;54.0000;-0.1;0.30;295.;
2005;1;3;1;-999;-999;-999;48.0000;-0.2;0.60;233.;
2005;1;3;2;71.0000;31.0000;119.000;64.0000;-0.2;0.70;274.;
2005;1;3;3;68.0000;22.0000;101.000;58.0000;0.71;1.20;311.;
2005;1;3;4;61.0000;32.0000;110.000;45.0000;0.30;0.90;279.;
2005;1;3;5;58.0000;45.0000;127.000;53.0000;-0.4;0.40;61.0;
2005;1;3;6;57.0000;60.0000;150.000;50.0000;-1.3;0.60;268.;
