year;month;day;hour;NO2;NO;NOx;SO2;O3;PM10;
2005;1;1;1;17.0000;2.00000;20.0667;2.00000;52.0000;19.0000;
2005;1;1;2;9.00000;2.00000;12.0667;2.00000;63.0000;19.0000;
2005;1;1;3;9.00000;1.00000;10.5333;2.00000;67.0000;19.0000;
2005;1;1;4;7.00000;1.00000;8.53333;1.00000;70.0000;19.0000;
2005;1;1;5;6.00000;1.00000;7.53333;1.00000;72.0000;19.0000;
2005;1;1;6;5.00000;1.00000;6.53333;1.00000;75.0000;19.0000;
2005;1;1;7;7.00000;2.00000;10.0667;1.00000;73.0000;19.0000;
2005;1;1;8;8.00000;2.00000;11.0667;1.00000;74.0000;19.0000;
2005;1;1;9;7.00000;2.00000;10.0667;1.00000;76.0000;19.0000;
2005;1;1;10;11.0000;2.00000;14.0667;2.00000;71.0000;19.0000;
2005;1;1;11;20.0000;4.00000;26.1333;3.00000;62.0000;19.0000;
2005;1;1;12;12.0000;3.00000;16.6000;2.00000;73.0000;19.0000;
2005;1;1;13;12.0000;2.00000;15.0667;2.00000;78.0000;19.0000;
2005;1;1;14;8.00000;2.00000;11.0667;1.00000;84.0000;19.0000;
2005;1;1;15;10.0000;2.00000;13.0667;5.00000;82.0000;19.0000;
2005;1;1;16;12.0000;2.00000;15.0667;4.00000;77.0000;19.0000;
2005;1;1;17;44.0000;8.00000;56.2667;2.00000;35.0000;19.0000;
2005;1;1;18;66.0000;28.0000;108.933;2.00000;17.0000;19.0000;
2005;1;1;19;41.0000;6.00000;50.2000;2.00000;37.0000;19.0000;
2005;1;1;20;43.0000;6.00000;52.2000;2.00000;35.0000;19.0000;
2005;1;1;21;47.0000;10.0000;62.3333;1.00000;28.0000;19.0000;
2005;1;1;22;33.0000;5.00000;40.6667;1.00000;38.0000;19.0000;
2005;1;1;23;39.0000;6.00000;48.2000;1.00000;-999;19.0000;
2005;1;1;24;35.0000;4.00000;41.1333;-999;29.0000;19.0000;
2005;1;2;1;35.0000;4.00000;41.1333;0.000000;28.0000;27.0000;
2005;1;2;2;-999;-999;-999;0.000000;40.0000;27.0000;
2005;1;2;3;7.00000;0.000000;7.00000;0.000000;46.0000;27.0000;
2005;1;2;4;14.0000;0.000000;14.0000;0.000000;44.0000;27.0000;
2005;1;2;5;18.0000;0.000000;18.0000;0.000000;41.0000;27.0000;
2005;1;2;6;23.0000;1.00000;24.5333;0.000000;34.0000;27.0000;
2005;1;2;7;40.0000;5.00000;47.6667;0.000000;16.0000;27.0000;
2005;1;2;8;50.0000;31.0000;97.5333;0.000000;10.0000;27.0000;
2005;1;2;9;51.0000;36.0000;106.200;0.000000;11.0000;27.0000;
2005;1;2;10;46.0000;23.0000;81.2667;0.000000;22.0000;27.0000;
2005;1;2;11;34.0000;9.00000;47.8000;1.00000;35.0000;27.0000;
2005;1;2;12;26.0000;6.00000;35.2000;1.00000;51.0000;27.0000;
2005;1;2;13;14.0000;3.00000;18.6000;2.00000;68.0000;27.0000;
2005;1;2;14;9.00000;2.00000;12.0667;1.00000;78.0000;27.0000;
2005;1;2;15;9.00000;2.00000;12.0667;1.00000;78.0000;27.0000;
2005;1;2;16;13.0000;2.00000;16.0667;1.00000;71.0000;27.0000;
2005;1;2;17;39.0000;10.0000;54.3333;1.00000;41.0000;27.0000;
2005;1;2;18;49.0000;9.00000;62.8000;0.000000;32.0000;27.0000;
2005;1;2;19;40.0000;6.00000;49.2000;0.000000;37.0000;27.0000;
2005;1;2;20;36.0000;4.00000;42.1333;0.000000;39.0000;27.0000;
2005;1;2;21;35.0000;5.00000;42.6667;0.000000;42.0000;27.0000;
2005;1;2;22;32.0000;4.00000;38.1333;0.000000;39.0000;27.0000;
2005;1;2;23;28.0000;3.00000;32.6000;0.000000;42.0000;27.0000;
2005;1;2;24;35.0000;5.00000;42.6667;-999;34.0000;27.0000;
2005;1;3;1;24.0000;2.00000;27.0667;1.00000;46.0000;33.0000;
2005;1;3;2;24.0000;2.00000;27.0667;0.000000;42.0000;33.0000;
2005;1;3;3;13.0000;1.00000;14.5333;0.000000;56.0000;33.0000;
2005;1;3;4;14.0000;2.00000;17.0667;1.00000;54.0000;33.0000;
2005;1;3;5;19.0000;2.00000;22.0667;1.00000;54.0000;33.0000;
2005;1;3;6;7.00000;3.00000;11.6000;1.00000;78.0000;33.0000;
2005;1;3;7;26.0000;6.00000;35.2000;2.00000;54.0000;33.0000;
2005;1;3;8;44.0000;9.00000;57.8000;2.00000;34.0000;33.0000;
2005;1;3;9;46.0000;12.0000;64.4000;3.00000;31.0000;33.0000;
2005;1;3;10;43.0000;11.0000;59.8667;3.00000;34.0000;33.0000;
2005;1;3;11;56.0000;25.0000;94.3333;3.00000;30.0000;33.0000;
2005;1;3;12;37.0000;13.0000;56.9333;-999;-999;33.0000;
2005;1;3;13;-999;-999;-999;1.00000;42.0000;33.0000;
2005;1;3;14;11.0000;0.000000;11.0000;2.00000;61.0000;33.0000;
2005;1;3;15;20.0000;2.00000;23.0667;1.00000;56.0000;33.0000;
2005;1;3;16;49.0000;9.00000;62.8000;2.00000;28.0000;33.0000;
2005;1;3;17;46.0000;16.0000;70.5333;1.00000;29.0000;33.0000;
2005;1;3;18;75.0000;63.0000;171.600;2.00000;8.00000;33.0000;
2005;1;3;19;88.0000;142.000;305.733;2.00000;10.0000;33.0000;
2005;1;3;20;89.0000;162.000;337.400;3.00000;13.0000;33.0000;
2005;1;3;21;76.0000;94.0000;220.133;2.00000;10.0000;33.0000;
2005;1;3;22;60.0000;41.0000;122.867;1.00000;7.00000;33.0000;
2005;1;3;23;48.0000;10.0000;63.3333;1.00000;8.00000;33.0000;
2005;1;3;24;44.0000;9.00000;57.8000;1.00000;9.00000;33.0000;
2005;1;4;1;31.0000;8.00000;43.2667;1.00000;26.0000;53.0000;
2005;1;4;2;34.0000;3.00000;38.6000;1.00000;19.0000;53.0000;
2005;1;4;3;44.0000;3.00000;48.6000;1.00000;9.00000;53.0000;
