year;month;day;hour;TEMP;WS;WD;
2005; 1; 1; 1;-2.7;0.80;259.;
2005; 1; 1; 2;-3.4;0.60;350.;
2005; 1; 1; 3;-2.3;0.80;8.00;
2005; 1; 1; 4;-1.0;0.80;346.;
2005; 1; 1; 5;0.21;1.00;14.0;
2005; 1; 1; 6;-0.5;1.00;12.0;
2005; 1; 1; 7;-1.9;0.60;344.;
2005; 1; 1; 8;-3.3;0.60;348.;
2005; 1; 1; 9;-4.2;0.70;352.;
2005; 1; 1;10;-3.6;0.80;347.;
2005; 1; 1;11;0.11;0.70;0.00;
2005; 1; 1;12;5.11;0.90;30.0;
2005; 1; 1;13;7.71;0.80;300.;
2005; 1; 1;14;8.81;1.30;250.;
2005; 1; 1;15;9.31;1.20;215.;
2005; 1; 1;16;9.21;1.20;216.;
2005; 1; 1;17;8.21;1.20;234.;
2005; 1; 1;18;6.01;0.70;252.;
2005; 1; 1;19;1.71;0.40;312.;
2005; 1; 1;20;-0.3;0.60;351.;
2005; 1; 1;21;0.01;1.00;336.;
2005; 1; 1;22;1.01;1.30;341.;
2005; 1; 1;23;0.80;1.30;1.00;
2005; 1; 1;24;-0.0;1.30;11.0;
2005; 1; 2; 1;0.11;1.00;357.;
2005; 1; 2; 2;-0.1;1.10;353.;
2005; 1; 2; 3;0.21;1.40;15.0;
2005; 1; 2; 4;0.41;1.10;5.00;
2005; 1; 2; 5;-0.2;0.70;337.;
2005; 1; 2; 6;-0.5;0.80;1.00;
2005; 1; 2; 7;-1.4;1.20;17.0;
2005; 1; 2; 8;-2.5;0.90;10.0;
2005; 1; 2; 9;-2.7;0.70;346.;
2005; 1; 2;10;-2.3;1.00;9.00;
2005; 1; 2;11;1.61;0.90;4.00;
2005; 1; 2;12;5.71;1.20;35.0;
2005; 1; 2;13;8.61;1.30;17.0;
2005; 1; 2;14;10.3;1.40;244.;
2005; 1; 2;15;11.5;1.20;251.;
2005; 1; 2;16;11.8;0.80;212.;
2005; 1; 2;17;11.1;0.90;191.;
2005; 1; 2;18;8.51;0.00;-999;
2005; 1; 2;19;4.51;0.70;319.;
2005; 1; 2;20;2.51;1.00;352.;
2005; 1; 2;21;1.41;0.90;345.;
2005; 1; 2;22;1.51;1.10;347.;
2005; 1; 2;23;-0.3;1.00;11.0;
2005; 1; 2;24;-0.3;1.00;302.;
2005; 1; 3; 1;2.21;3.30;23.0;
2005; 1; 3; 2;5.81;3.90;25.0;
2005; 1; 3; 3;4.61;3.00;33.0;
2005; 1; 3; 4;6.31;4.60;44.0;
2005; 1; 3; 5;4.41;2.40;50.0;
2005; 1; 3; 6;4.91;3.90;56.0;
2005; 1; 3; 7;3.41;2.90;45.0;
2005; 1; 3; 8;2.11;2.40;55.0;
2005; 1; 3; 9;0.91;1.60;42.0;
2005; 1; 3;10;-0.5;0.60;343.;
2005; 1; 3;11;3.41;0.70;320.;
2005; 1; 3;12;9.21;1.10;260.;
2005; 1; 3;13;11.3;2.10;262.;
2005; 1; 3;14;12.8;1.90;281.;
2005; 1; 3;15;13.7;1.80;303.;
2005; 1; 3;16;14.0;1.60;271.;
2005; 1; 3;17;12.3;2.70;258.;
2005; 1; 3;18;10.3;1.40;269.;
2005; 1; 3;19;5.11;0.70;339.;
2005; 1; 3;20;2.51;0.80;22.0;
2005; 1; 3;21;0.61;0.80;38.0;
2005; 1; 3;22;0.91;1.00;342.;
2005; 1; 3;23;1.01;1.10;346.;
2005; 1; 3;24;2.21;1.50;352.;
2005; 1; 4; 1;2.91;1.70;12.0;
2005; 1; 4; 2;2.11;1.80;12.0;
2005; 1; 4; 3;1.51;1.60;7.00;
2005; 1; 4; 4;1.41;1.80;10.0;
2005; 1; 4; 5;1.01;1.60;4.00;
2005; 1; 4; 6;0.80;1.40;0.00;
2005; 1; 4; 7;-0.0;1.10;359.;
2005; 1; 4; 8;-0.4;1.10;351.;
2005; 1; 4; 9;1.01;1.60;349.;
2005; 1; 4;10;0.71;1.70;14.0;
2005; 1; 4;11;4.11;1.30;4.00;
2005; 1; 4;12;7.41;1.20;346.;
2005; 1; 4;13;9.21;1.40;297.;
2005; 1; 4;14;11.6;1.60;257.;
2005; 1; 4;15;11.4;2.90;257.;
2005; 1; 4;16;11.1;3.10;258.;
2005; 1; 4;17;11.7;2.00;257.;
2005; 1; 4;18;9.81;0.70;276.;
2005; 1; 4;19;5.31;0.50;282.;
2005; 1; 4;20;2.91;0.60;321.;
2005; 1; 4;21;3.41;0.70;336.;
2005; 1; 4;22;3.11;1.10;349.;
2005; 1; 4;23;1.41;1.00;346.;
2005; 1; 4;24;0.41;1.00;357.;
2005; 1; 5; 1;-0.6;0.80;351.;
2005; 1; 5; 2;-0.1;1.10;356.;
2005; 1; 5; 3;-0.9;1.10;3.00;
2005; 1; 5; 4;-1.9;0.80;352.;
2005; 1; 5; 5;-0.5;1.30;5.00;
2005; 1; 5; 6;-0.7;1.20;10.0;
2005; 1; 5; 7;-1.8;1.20;9.00;
2005; 1; 5; 8;-0.6;1.20;355.;
2005; 1; 5; 9;-0.0;1.50;10.0;
2005; 1; 5;10;1.21;1.30;356.;
2005; 1; 5;11;2.01;1.40;344.;
2005; 1; 5;12;3.21;1.30;13.0;
2005; 1; 5;13;4.91;0.80;336.;
2005; 1; 5;14;5.41;1.00;13.0;
2005; 1; 5;15;6.51;0.80;327.;
2005; 1; 5;16;10.9;0.90;31.0;
2005; 1; 5;17;11.1;1.30;250.;
2005; 1; 5;18;8.81;0.50;340.;
2005; 1; 5;19;4.41;0.00;-999;
2005; 1; 5;20;2.71;1.00;353.;
2005; 1; 5;21;1.61;0.90;354.;
2005; 1; 5;22;0.61;0.80;354.;
2005; 1; 5;23;1.51;1.20;356.;
2005; 1; 5;24;1.81;1.20;353.;
2005; 1; 6; 1;1.51;1.30;13.0;
2005; 1; 6; 2;0.51;1.10;10.0;
2005; 1; 6; 3;-0.0;0.90;349.;
2005; 1; 6; 4;-0.1;1.00;356.;
2005; 1; 6; 5;-2.1;0.90;15.0;
2005; 1; 6; 6;-1.9;0.90;13.0;
