year;month;day;hour;TEMP;WS;WD;
2005; 1; 1; 1;-1.0;0.60;101.;
2005; 1; 1; 2;-1.2;0.50;98.0;
2005; 1; 1; 3;-1.0;0.60;98.0;
2005; 1; 1; 4;-0.8;0.40;63.0;
2005; 1; 1; 5;-0.4;0.50;263.;
2005; 1; 1; 6;-0.3;0.50;96.0;
2005; 1; 1; 7;-0.2;0.40;93.0;
2005; 1; 1; 8;-0.5;0.40;252.;
2005; 1; 1; 9;-1.0;0.30;-999;
2005; 1; 1;10;-1.5;0.60;237.;
2005; 1; 1;11;-1.1;0.40;150.;
2005; 1; 1;12;-0.7;0.60;250.;
2005; 1; 1;13;1.31;0.50;121.;
2005; 1; 1;14;3.51;0.50;286.;
2005; 1; 1;15;4.01;1.10;291.;
2005; 1; 1;16;4.51;0.60;285.;
2005; 1; 1;17;3.41;0.50;243.;
2005; 1; 1;18;2.51;0.30;149.;
2005; 1; 1;19;1.51;0.40;-999;
2005; 1; 1;20;0.91;0.40;92.0;
2005; 1; 1;21;0.61;0.40;95.0;
2005; 1; 1;22;0.30;0.40;-999;
2005; 1; 1;23;0.11;0.40;113.;
2005; 1; 1;24;-0.0;0.50;80.0;
2005; 1; 2; 1;-0.3;0.60;256.;
2005; 1; 2; 2;-0.4;0.40;64.0;
2005; 1; 2; 3;-0.2;0.50;67.0;
2005; 1; 2; 4;0.21;0.40;85.0;
2005; 1; 2; 5;0.11;0.40;99.0;
2005; 1; 2; 6;0.21;0.40;95.0;
2005; 1; 2; 7;-0.0;0.40;-999;
2005; 1; 2; 8;-0.6;0.40;253.;
2005; 1; 2; 9;-0.6;0.50;73.0;
2005; 1; 2;10;-1.2;0.50;176.;
2005; 1; 2;11;-1.0;0.40;85.0;
2005; 1; 2;12;-0.0;0.50;-999;
2005; 1; 2;13;2.01;0.60;278.;
2005; 1; 2;14;4.11;0.60;271.;
2005; 1; 2;15;4.91;0.50;259.;
2005; 1; 2;16;5.51;0.60;284.;
2005; 1; 2;17;4.21;0.60;241.;
2005; 1; 2;18;3.31;0.40;-999;
2005; 1; 2;19;2.61;0.60;101.;
2005; 1; 2;20;2.01;0.60;-999;
2005; 1; 2;21;1.31;0.60;-999;
2005; 1; 2;22;1.21;0.70;47.0;
2005; 1; 2;23;1.01;0.80;-999;
2005; 1; 2;24;0.91;0.60;74.0;
2005; 1; 3; 1;0.61;0.80;-999;
2005; 1; 3; 2;0.41;0.60;72.0;
2005; 1; 3; 3;0.61;0.70;-999;
2005; 1; 3; 4;2.41;1.10;107.;
2005; 1; 3; 5;2.11;0.80;109.;
2005; 1; 3; 6;1.41;0.70;273.;
2005; 1; 3; 7;0.91;0.40;-999;
2005; 1; 3; 8;0.01;0.60;57.0;
2005; 1; 3; 9;-0.2;0.50;53.0;
2005; 1; 3;10;-0.8;0.50;91.0;
2005; 1; 3;11;-0.8;0.40;-999;
2005; 1; 3;12;0.51;0.50;258.;
2005; 1; 3;13;2.11;0.50;-999;
2005; 1; 3;14;4.71;0.40;76.0;
2005; 1; 3;15;6.11;0.40;-999;
