year;month;day;hour;NO2;NO;NOx;O3;PM10;PM25;
2005;1;1;1;84.0000;178.000;356.933;7.00000;-999;-999;
2005;1;1;2;72.0000;128.000;268.267;7.00000;-999;-999;
2005;1;1;3;66.0000;109.000;233.133;6.00000;-999;-999;
2005;1;1;4;55.0000;85.0000;185.333;5.00000;-999;-999;
2005;1;1;5;52.0000;71.0000;160.867;5.00000;-999;-999;
2005;1;1;6;49.0000;77.0000;167.067;4.00000;-999;-999;
2005;1;1;7;50.0000;93.0000;192.600;4.00000;-999;-999;
2005;1;1;8;51.0000;112.000;222.733;4.00000;-999;-999;
2005;1;1;9;55.0000;127.000;249.733;4.00000;-999;-999;
2005;1;1;10;58.0000;126.000;251.200;6.00000;-999;-999;
2005;1;1;11;63.0000;97.0000;211.733;8.00000;-999;-999;
2005;1;1;12;56.0000;48.0000;129.600;15.0000;-999;-999;
2005;1;1;13;42.0000;20.0000;72.6667;32.0000;-999;-999;
2005;1;1;14;50.0000;20.0000;80.6667;32.0000;-999;-999;
2005;1;1;15;57.0000;23.0000;92.2667;30.0000;-999;-999;
2005;1;1;16;42.0000;6.00000;51.2000;45.0000;-999;-999;
2005;1;1;17;59.0000;6.00000;68.2000;28.0000;-999;-999;
2005;1;1;18;86.0000;24.0000;122.800;5.00000;-999;-999;
2005;1;1;19;90.0000;61.0000;183.533;4.00000;-999;-999;
2005;1;1;20;97.0000;123.000;285.600;5.00000;-999;-999;
2005;1;1;21;102.000;158.000;344.267;5.00000;-999;-999;
2005;1;1;22;104.000;173.000;369.267;5.00000;-999;-999;
2005;1;1;23;106.000;242.000;477.067;7.00000;-999;-999;
2005;1;1;24;105.000;271.000;520.533;7.00000;-999;-999;
2005;1;2;1;83.0000;171.000;345.200;7.00000;-999;-999;
2005;1;2;2;68.0000;109.000;235.133;5.00000;-999;-999;
2005;1;2;3;59.0000;75.0000;174.000;5.00000;-999;-999;
2005;1;2;4;44.0000;41.0000;106.867;4.00000;-999;-999;
2005;1;2;5;41.0000;36.0000;96.2000;4.00000;-999;-999;
2005;1;2;6;42.0000;23.0000;77.2667;4.00000;-999;-999;
2005;1;2;7;41.0000;26.0000;80.8667;4.00000;-999;-999;
2005;1;2;8;45.0000;53.0000;126.267;4.00000;-999;-999;
2005;1;2;9;42.0000;57.0000;129.400;4.00000;-999;-999;
2005;1;2;10;47.0000;62.0000;142.067;6.00000;-999;-999;
2005;1;2;11;69.0000;106.000;231.533;7.00000;-999;-999;
2005;1;2;12;88.0000;110.000;256.667;10.0000;-999;-999;
2005;1;2;13;84.0000;69.0000;189.800;15.0000;-999;-999;
2005;1;2;14;79.0000;55.0000;163.333;18.0000;-999;-999;
2005;1;2;15;71.0000;29.0000;115.467;25.0000;-999;-999;
2005;1;2;16;70.0000;17.0000;96.0667;25.0000;-999;-999;
2005;1;2;17;81.0000;23.0000;116.267;13.0000;-999;-999;
2005;1;2;18;96.0000;76.0000;212.533;3.00000;-999;-999;
2005;1;2;19;98.0000;70.0000;205.333;4.00000;-999;-999;
2005;1;2;20;103.000;141.000;319.200;5.00000;-999;-999;
2005;1;2;21;98.0000;183.000;378.600;5.00000;-999;-999;
2005;1;2;22;90.0000;150.000;320.000;4.00000;-999;-999;
2005;1;2;23;87.0000;122.000;274.067;4.00000;-999;-999;
2005;1;2;24;84.0000;139.000;297.133;5.00000;-999;-999;
2005;1;3;1;82.0000;112.000;253.733;4.00000;-999;-999;
2005;1;3;2;62.0000;66.0000;163.200;4.00000;-999;-999;
2005;1;3;3;55.0000;29.0000;99.4667;3.00000;-999;-999;
2005;1;3;4;45.0000;15.0000;68.0000;3.00000;-999;-999;
2005;1;3;5;42.0000;20.0000;72.6667;3.00000;-999;-999;
2005;1;3;6;43.0000;33.0000;93.6000;4.00000;-999;-999;
2005;1;3;7;45.0000;65.0000;144.667;4.00000;-999;-999;
2005;1;3;8;56.0000;127.000;250.733;4.00000;-999;-999;
2005;1;3;9;74.0000;232.000;429.733;4.00000;-999;-999;
2005;1;3;10;68.0000;187.000;354.733;5.00000;-999;-999;
2005;1;3;11;56.0000;106.000;218.533;7.00000;-999;-999;
2005;1;3;12;65.0000;93.0000;207.600;9.00000;-999;-999;
2005;1;3;13;75.0000;97.0000;223.733;11.0000;-999;-999;
2005;1;3;14;75.0000;59.0000;165.467;17.0000;-999;-999;
2005;1;3;15;66.0000;31.0000;113.533;25.0000;-999;-999;
2005;1;3;16;57.0000;17.0000;83.0667;30.0000;-999;-999;
2005;1;3;17;71.0000;20.0000;101.667;13.0000;-999;-999;
2005;1;3;18;93.0000;128.000;289.267;4.00000;-999;-999;
2005;1;3;19;114.000;300.000;574.000;5.00000;-999;-999;
2005;1;3;20;126.000;356.000;671.867;5.00000;-999;-999;
2005;1;3;21;123.000;312.000;601.400;5.00000;-999;-999;
2005;1;3;22;134.000;412.000;765.733;7.00000;-999;-999;
2005;1;3;23;113.000;293.000;562.267;6.00000;-999;-999;
2005;1;3;24;98.0000;260.000;496.667;5.00000;-999;-999;
2005;1;4;1;78.0000;180.000;354.000;5.00000;-999;-999;
2005;1;4;2;58.0000;93.0000;200.600;4.00000;-999;-999;
2005;1;4;3;55.0000;88.0000;189.933;4.00000;-999;-999;
2005;1;4;4;54.0000;84.0000;182.800;4.00000;-999;-999;
2005;1;4;5;49.0000;69.0000;154.800;4.00000;-999;-999;
2005;1;4;6;46.0000;62.0000;141.067;4.00000;-999;-999;
2005;1;4;7;48.0000;71.0000;156.867;4.00000;-999;-999;
2005;1;4;8;57.0000;139.000;270.133;4.00000;-999;-999;
2005;1;4;9;62.0000;152.000;295.067;4.00000;-999;-999;
2005;1;4;10;73.0000;198.000;376.600;5.00000;-999;-999;
2005;1;4;11;70.0000;160.000;315.333;7.00000;-999;-999;
2005;1;4;12;63.0000;96.0000;210.200;9.00000;-999;-999;
2005;1;4;13;69.0000;90.0000;207.000;11.0000;-999;-999;
2005;1;4;14;65.0000;53.0000;146.267;17.0000;-999;-999;
2005;1;4;15;57.0000;25.0000;95.3333;29.0000;-999;-999;
2005;1;4;16;63.0000;22.0000;96.7333;24.0000;-999;-999;
2005;1;4;17;84.0000;42.0000;148.400;7.00000;-999;-999;
2005;1;4;18;95.0000;97.0000;243.733;4.00000;-999;-999;
2005;1;4;19;101.000;186.000;386.200;5.00000;-999;-999;
2005;1;4;20;102.000;183.000;382.600;5.00000;-999;-999;
2005;1;4;21;94.0000;165.000;347.000;4.00000;-999;-999;
2005;1;4;22;88.0000;163.000;337.933;4.00000;-999;-999;
2005;1;4;23;94.0000;198.000;397.600;4.00000;-999;-999;
