year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;60.0000;60.0000;152.000;10.0000;93.0000;
2005;1;1;2;59.0000;57.0000;146.400;10.0000;82.0000;
2005;1;1;3;60.0000;49.0000;135.133;10.0000;63.0000;
2005;1;1;4;60.0000;69.0000;165.800;9.00000;60.0000;
2005;1;1;5;50.0000;63.0000;146.600;9.00000;50.0000;
2005;1;1;6;48.0000;42.0000;112.400;10.0000;42.0000;
2005;1;1;7;55.0000;51.0000;133.200;10.0000;46.0000;
2005;1;1;8;55.0000;52.0000;134.733;10.0000;48.0000;
2005;1;1;9;59.0000;90.0000;197.000;10.0000;61.0000;
2005;1;1;10;56.0000;80.0000;178.667;11.0000;65.0000;
2005;1;1;11;55.0000;63.0000;151.600;15.0000;67.0000;
2005;1;1;12;45.0000;50.0000;121.667;23.0000;55.0000;
2005;1;1;13;41.0000;39.0000;100.800;28.0000;45.0000;
2005;1;1;14;43.0000;38.0000;101.267;31.0000;44.0000;
2005;1;1;15;53.0000;44.0000;120.467;24.0000;39.0000;
2005;1;1;16;68.0000;61.0000;161.533;16.0000;43.0000;
2005;1;1;17;84.0000;109.000;251.133;9.00000;51.0000;
2005;1;1;18;94.0000;195.000;393.000;9.00000;66.0000;
2005;1;1;19;92.0000;244.000;466.133;11.0000;88.0000;
2005;1;1;20;79.0000;191.000;371.867;11.0000;91.0000;
2005;1;1;21;72.0000;136.000;280.533;11.0000;69.0000;
2005;1;1;22;76.0000;173.000;341.267;12.0000;89.0000;
2005;1;1;23;66.0000;123.000;254.600;11.0000;79.0000;
2005;1;1;24;64.0000;102.000;220.400;11.0000;66.0000;
2005;1;2;1;60.0000;73.0000;171.933;10.0000;59.0000;
2005;1;2;2;56.0000;58.0000;144.933;10.0000;52.0000;
2005;1;2;3;56.0000;73.0000;167.933;10.0000;54.0000;
2005;1;2;4;53.0000;65.0000;152.667;10.0000;50.0000;
2005;1;2;5;50.0000;50.0000;126.667;10.0000;46.0000;
2005;1;2;6;50.0000;55.0000;134.333;10.0000;46.0000;
2005;1;2;7;50.0000;52.0000;129.733;9.00000;44.0000;
