year;month;day;hour;NO2;NO;NOx;PM10;
2005;1;1;1;55.0000;32.0000;104.067;51.0000;
2005;1;1;2;59.0000;30.0000;105.000;51.0000;
2005;1;1;3;60.0000;38.0000;118.267;51.0000;
2005;1;1;4;51.0000;42.0000;115.400;59.0000;
2005;1;1;5;53.0000;32.0000;102.067;60.0000;
2005;1;1;6;50.0000;20.0000;80.6667;60.0000;
2005;1;1;7;51.0000;26.0000;90.8667;34.0000;
2005;1;1;8;51.0000;35.0000;104.667;32.0000;
2005;1;1;9;52.0000;49.0000;127.133;32.0000;
2005;1;1;10;56.0000;65.0000;155.667;44.0000;
2005;1;1;11;49.0000;38.0000;107.267;45.0000;
2005;1;1;12;44.0000;24.0000;80.8000;45.0000;
2005;1;1;13;46.0000;14.0000;67.4667;26.0000;
2005;1;1;14;43.0000;12.0000;61.4000;26.0000;
2005;1;1;15;42.0000;11.0000;58.8667;25.0000;
2005;1;1;16;66.0000;38.0000;124.267;20.0000;
2005;1;1;17;80.0000;113.000;253.267;20.0000;
2005;1;1;18;93.0000;207.000;410.400;19.0000;
2005;1;1;19;92.0000;210.000;414.000;62.0000;
2005;1;1;20;73.0000;103.000;230.933;63.0000;
2005;1;1;21;73.0000;106.000;235.533;63.0000;
2005;1;1;22;71.0000;88.0000;205.933;52.0000;
2005;1;1;23;69.0000;68.0000;173.267;51.0000;
2005;1;1;24;60.0000;50.0000;136.667;51.0000;
2005;1;2;1;53.0000;39.0000;112.800;49.0000;
2005;1;2;2;51.0000;32.0000;100.067;49.0000;
2005;1;2;3;49.0000;28.0000;91.9333;49.0000;
2005;1;2;4;48.0000;23.0000;83.2667;37.0000;
2005;1;2;5;49.0000;20.0000;79.6667;37.0000;
2005;1;2;6;48.0000;26.0000;87.8667;37.0000;
2005;1;2;7;47.0000;42.0000;111.400;31.0000;
2005;1;2;8;51.0000;49.0000;126.133;31.0000;
2005;1;2;9;48.0000;52.0000;127.733;31.0000;
2005;1;2;10;47.0000;50.0000;123.667;28.0000;
2005;1;2;11;50.0000;44.0000;117.467;28.0000;
2005;1;2;12;49.0000;32.0000;98.0667;28.0000;
2005;1;2;13;49.0000;24.0000;85.8000;26.0000;
2005;1;2;14;43.0000;22.0000;76.7333;26.0000;
2005;1;2;15;49.0000;24.0000;85.8000;25.0000;
2005;1;2;16;67.0000;67.0000;169.733;14.0000;
2005;1;2;17;93.0000;205.000;407.333;14.0000;
2005;1;2;18;101.000;246.000;478.200;17.0000;
2005;1;2;19;95.0000;197.000;397.067;67.0000;
2005;1;2;20;94.0000;178.000;366.933;67.0000;
2005;1;2;21;89.0000;195.000;388.000;65.0000;
2005;1;2;22;79.0000;173.000;344.267;51.0000;
2005;1;2;23;75.0000;148.000;301.933;51.0000;
2005;1;2;24;61.0000;69.0000;166.800;51.0000;
