year;month;day;hour;TEMP;WS;WD;
2005; 1; 1; 1;-2.6;0.60;314.;
2005; 1; 1; 2;-2.0;1.00;19.0;
2005; 1; 1; 3;-2.0;0.70;10.0;
2005; 1; 1; 4;-1.6;1.00;8.00;
2005; 1; 1; 5;-1.5;0.70;50.0;
2005; 1; 1; 6;-0.3;1.00;13.0;
2005; 1; 1; 7;0.41;1.00;18.0;
2005; 1; 1; 8;-0.6;1.10;19.0;
2005; 1; 1; 9;-2.2;1.10;8.00;
2005; 1; 1;10;-0.4;1.40;358.;
2005; 1; 1;11;1.81;0.70;358.;
2005; 1; 1;12;5.81;0.50;-999;
2005; 1; 1;13;8.11;1.10;295.;
2005; 1; 1;14;8.71;1.40;254.;
2005; 1; 1;15;8.71;1.20;253.;
2005; 1; 1;16;7.61;1.70;259.;
2005; 1; 1;17;6.71;1.20;252.;
2005; 1; 1;18;4.31;0.80;241.;
2005; 1; 1;19;1.01;0.60;266.;
2005; 1; 1;20;-0.5;0.40;339.;
2005; 1; 1;21;-1.2;0.30;23.0;
2005; 1; 1;22;-1.3;0.90;312.;
2005; 1; 1;23;-0.8;1.10;337.;
2005; 1; 1;24;-1.4;0.80;16.0;
2005; 1; 2; 1;-1.2;0.90;332.;
2005; 1; 2; 2;-0.3;1.20;3.00;
2005; 1; 2; 3;-0.0;0.80;14.0;
2005; 1; 2; 4;-0.1;0.60;267.;
2005; 1; 2; 5;-0.1;0.70;273.;
2005; 1; 2; 6;-0.0;1.00;305.;
2005; 1; 2; 7;-0.4;0.40;-999;
2005; 1; 2; 8;-1.3;0.50;1.00;
2005; 1; 2; 9;-2.2;0.50;25.0;
2005; 1; 2;10;-1.9;0.80;343.;
2005; 1; 2;11;2.21;0.80;353.;
2005; 1; 2;12;6.11;0.90;344.;
2005; 1; 2;13;9.11;0.90;270.;
2005; 1; 2;14;9.91;2.20;263.;
2005; 1; 2;15;9.91;3.20;269.;
2005; 1; 2;16;9.71;2.90;286.;
2005; 1; 2;17;9.31;2.60;285.;
2005; 1; 2;18;7.21;1.30;277.;
2005; 1; 2;19;4.51;1.20;182.;
2005; 1; 2;20;2.61;0.80;185.;
2005; 1; 2;21;0.51;0.70;45.0;
2005; 1; 2;22;-0.0;0.70;38.0;
2005; 1; 2;23;-0.3;1.10;14.0;
2005; 1; 2;24;-0.2;0.80;-999;
2005; 1; 3; 1;-0.4;1.90;304.;
2005; 1; 3; 2;-0.2;1.50;87.0;
2005; 1; 3; 3;-0.3;1.20;66.0;
2005; 1; 3; 4;-0.2;1.30;68.0;
