year;month;day;hour;NO2;NO;NOx;SO2;O3;
2005;1;1;1;10.0000;6.40000;20.0000;-999;-999;
2005;1;1;2;11.0000;7.90000;23.0000;18.0000;63.0000;
2005;1;1;3;2.60000;1.30000;4.60000;1.60000;79.0000;
2005;1;1;4;15.0000;5.60000;23.0000;8.40000;55.0000;
2005;1;1;5;8.40000;2.50000;12.0000;5.10000;65.0000;
2005;1;1;6;11.0000;4.30000;17.0000;13.0000;58.0000;
2005;1;1;7;9.60000;4.60000;17.0000;8.60000;62.0000;
2005;1;1;8;15.0000;3.60000;21.0000;7.00000;47.0000;
2005;1;1;9;14.0000;3.40000;19.0000;8.10000;51.0000;
2005;1;1;10;16.0000;6.30000;26.0000;10.0000;49.0000;
2005;1;1;11;13.0000;2.20000;16.0000;5.20000;62.0000;
2005;1;1;12;14.0000;2.30000;18.0000;8.70000;59.0000;
2005;1;1;13;17.0000;3.70000;23.0000;26.0000;51.0000;
2005;1;1;14;13.0000;2.50000;17.0000;17.0000;61.0000;
2005;1;1;15;14.0000;2.20000;17.0000;12.0000;61.0000;
2005;1;1;16;13.0000;1.90000;16.0000;3.60000;62.0000;
2005;1;1;17;16.0000;1.60000;18.0000;8.90000;53.0000;
2005;1;1;18;26.0000;1.90000;28.0000;13.0000;21.0000;
2005;1;1;19;24.0000;2.50000;28.0000;14.0000;17.0000;
2005;1;1;20;21.0000;2.10000;25.0000;8.90000;26.0000;
2005;1;1;21;18.0000;1.60000;21.0000;31.0000;33.0000;
2005;1;1;22;20.0000;1.80000;22.0000;52.0000;28.0000;
2005;1;1;23;13.0000;1.40000;16.0000;12.0000;41.0000;
2005;1;1;24;20.0000;2.20000;23.0000;9.30000;26.0000;
2005;1;2;1;13.0000;1.10000;15.0000;-999;-999;
2005;1;2;2;12.0000;2.80000;16.0000;5.60000;43.0000;
2005;1;2;3;8.50000;1.40000;11.0000;5.20000;50.0000;
2005;1;2;4;6.10000;1.10000;7.80000;3.90000;50.0000;
2005;1;2;5;9.60000;1.60000;12.0000;6.80000;48.0000;
2005;1;2;6;13.0000;3.50000;18.0000;9.30000;43.0000;
2005;1;2;7;11.0000;2.00000;14.0000;6.90000;43.0000;
2005;1;2;8;13.0000;2.30000;17.0000;15.0000;39.0000;
2005;1;2;9;15.0000;2.10000;18.0000;7.40000;36.0000;
2005;1;2;10;15.0000;2.30000;18.0000;5.30000;41.0000;
2005;1;2;11;9.00000;1.60000;12.0000;3.90000;63.0000;
2005;1;2;12;8.50000;1.70000;11.0000;3.50000;76.0000;
2005;1;2;13;5.60000;1.10000;7.40000;4.60000;84.0000;
2005;1;2;14;9.80000;1.60000;12.0000;6.80000;70.0000;
2005;1;2;15;14.0000;2.10000;18.0000;5.90000;61.0000;
2005;1;2;16;18.0000;1.80000;21.0000;3.50000;53.0000;
2005;1;2;17;22.0000;1.90000;25.0000;3.00000;44.0000;
2005;1;2;18;32.0000;2.40000;36.0000;3.00000;25.0000;
2005;1;2;19;38.0000;7.60000;49.0000;4.90000;8.00000;
2005;1;2;20;39.0000;10.0000;55.0000;4.80000;6.70000;
2005;1;2;21;27.0000;3.30000;32.0000;4.70000;17.0000;
2005;1;2;22;26.0000;2.60000;30.0000;3.50000;16.0000;
2005;1;2;23;18.0000;1.80000;21.0000;3.60000;33.0000;
2005;1;2;24;9.90000;2.20000;13.0000;6.80000;62.0000;
2005;1;3;1;25.0000;19.0000;55.0000;-999;-999;
2005;1;3;2;18.0000;10.0000;34.0000;26.0000;52.0000;
2005;1;3;3;15.0000;3.60000;21.0000;15.0000;49.0000;
2005;1;3;4;3.40000;1.10000;5.20000;2.00000;72.0000;
2005;1;3;5;3.00000;1.10000;4.70000;1.30000;72.0000;
2005;1;3;6;4.00000;1.20000;5.70000;1.10000;71.0000;
2005;1;3;7;5.50000;1.10000;7.10000;1.20000;71.0000;
2005;1;3;8;6.00000;1.10000;7.60000;1.20000;71.0000;
2005;1;3;9;7.20000;1.30000;9.20000;2.10000;68.0000;
2005;1;3;10;7.50000;1.40000;9.60000;2.30000;69.0000;
2005;1;3;11;18.0000;12.0000;37.0000;13.0000;51.0000;
2005;1;3;12;16.0000;4.20000;22.0000;6.00000;52.0000;
2005;1;3;13;16.0000;3.20000;21.0000;8.10000;51.0000;
2005;1;3;14;13.0000;2.10000;16.0000;8.30000;61.0000;
2005;1;3;15;12.0000;2.30000;16.0000;7.60000;56.0000;
2005;1;3;16;14.0000;1.90000;17.0000;6.90000;52.0000;
2005;1;3;17;24.0000;1.80000;26.0000;7.00000;35.0000;
2005;1;3;18;29.0000;12.0000;48.0000;7.20000;24.0000;
2005;1;3;19;33.0000;12.0000;52.0000;8.10000;6.80000;
2005;1;3;20;30.0000;4.60000;37.0000;6.90000;9.10000;
2005;1;3;21;29.0000;5.00000;37.0000;6.40000;10.0000;
2005;1;3;22;28.0000;6.30000;38.0000;4.60000;12.0000;
2005;1;3;23;19.0000;2.00000;22.0000;3.70000;29.0000;
2005;1;3;24;12.0000;1.80000;14.0000;5.40000;49.0000;
2005;1;4;1;-999;-999;-999;-999;-999;
2005;1;4;2;-999;-999;-999;1.90000;-999;
2005;1;4;3;-999;-999;-999;3.30000;-999;
2005;1;4;4;-999;-999;-999;10.0000;-999;
2005;1;4;5;-999;-999;-999;8.10000;-999;
2005;1;4;6;-999;-999;-999;5.60000;-999;
2005;1;4;7;18.0000;3.10000;23.0000;2.90000;29.0000;
2005;1;4;8;27.0000;8.30000;39.0000;3.30000;12.0000;
2005;1;4;9;27.0000;11.0000;43.0000;4.60000;13.0000;
2005;1;4;10;26.0000;10.0000;42.0000;8.10000;20.0000;
2005;1;4;11;25.0000;9.10000;39.0000;8.60000;27.0000;
2005;1;4;12;22.0000;6.00000;32.0000;9.40000;35.0000;
2005;1;4;13;25.0000;8.90000;38.0000;13.0000;30.0000;
2005;1;4;14;22.0000;5.90000;31.0000;7.50000;36.0000;
2005;1;4;15;23.0000;4.40000;30.0000;4.90000;28.0000;
2005;1;4;16;25.0000;4.10000;31.0000;2.00000;20.0000;
2005;1;4;17;30.0000;5.00000;37.0000;2.50000;9.60000;
2005;1;4;18;33.0000;8.20000;46.0000;3.30000;7.50000;
2005;1;4;19;34.0000;12.0000;53.0000;3.90000;7.00000;
2005;1;4;20;31.0000;8.70000;45.0000;3.80000;9.30000;
2005;1;4;21;30.0000;11.0000;48.0000;4.10000;9.20000;
2005;1;4;22;28.0000;7.90000;40.0000;3.20000;8.50000;
2005;1;4;23;22.0000;4.20000;29.0000;2.40000;13.0000;
2005;1;4;24;17.0000;1.90000;20.0000;3.10000;20.0000;
2005;1;5;1;13.0000;1.40000;15.0000;-999;-999;
2005;1;5;2;12.0000;1.40000;14.0000;3.50000;28.0000;
2005;1;5;3;16.0000;2.30000;19.0000;5.20000;19.0000;
2005;1;5;4;14.0000;1.20000;16.0000;3.00000;22.0000;
2005;1;5;5;13.0000;1.40000;16.0000;3.50000;23.0000;
2005;1;5;6;14.0000;1.60000;16.0000;3.60000;23.0000;
2005;1;5;7;18.0000;3.30000;23.0000;6.20000;11.0000;
2005;1;5;8;22.0000;6.00000;31.0000;5.00000;7.80000;
2005;1;5;9;27.0000;13.0000;47.0000;6.60000;6.00000;
2005;1;5;10;22.0000;11.0000;39.0000;10.0000;14.0000;
2005;1;5;11;22.0000;7.60000;33.0000;13.0000;24.0000;
2005;1;5;12;22.0000;5.70000;31.0000;20.0000;31.0000;
2005;1;5;13;21.0000;6.50000;31.0000;11.0000;28.0000;
2005;1;5;14;22.0000;5.60000;30.0000;8.60000;28.0000;
2005;1;5;15;27.0000;6.40000;37.0000;6.80000;22.0000;
2005;1;5;16;35.0000;14.0000;57.0000;11.0000;9.30000;
2005;1;5;17;30.0000;4.30000;36.0000;7.70000;13.0000;
2005;1;5;18;40.0000;28.0000;83.0000;12.0000;6.90000;
2005;1;5;19;36.0000;32.0000;85.0000;11.0000;6.20000;
2005;1;5;20;31.0000;16.0000;56.0000;8.50000;7.50000;
2005;1;5;21;31.0000;12.0000;49.0000;6.40000;7.10000;
2005;1;5;22;26.0000;7.50000;38.0000;8.10000;4.90000;
2005;1;5;23;23.0000;7.70000;35.0000;8.00000;6.90000;
2005;1;5;24;18.0000;2.70000;22.0000;5.00000;10.0000;
2005;1;6;1;12.0000;1.90000;15.0000;-999;-999;
2005;1;6;2;16.0000;2.10000;19.0000;6.00000;19.0000;
2005;1;6;3;14.0000;1.50000;16.0000;3.60000;24.0000;
2005;1;6;4;12.0000;2.00000;15.0000;7.60000;31.0000;
2005;1;6;5;12.0000;1.50000;14.0000;4.20000;32.0000;
2005;1;6;6;11.0000;1.10000;13.0000;2.30000;37.0000;
2005;1;6;7;13.0000;1.70000;16.0000;1.40000;33.0000;
2005;1;6;8;17.0000;2.00000;20.0000;3.40000;21.0000;
2005;1;6;9;21.0000;4.50000;28.0000;5.20000;5.30000;
2005;1;6;10;23.0000;3.60000;29.0000;4.40000;7.70000;
2005;1;6;11;24.0000;3.40000;29.0000;4.90000;12.0000;
2005;1;6;12;24.0000;4.00000;30.0000;3.80000;17.0000;
2005;1;6;13;27.0000;5.60000;35.0000;7.30000;21.0000;
2005;1;6;14;30.0000;6.10000;39.0000;8.50000;18.0000;
2005;1;6;15;33.0000;8.40000;46.0000;12.0000;14.0000;
2005;1;6;16;31.0000;3.70000;36.0000;5.40000;20.0000;
2005;1;6;17;34.0000;3.90000;41.0000;4.00000;14.0000;
2005;1;6;18;42.0000;11.0000;58.0000;8.00000;6.80000;
2005;1;6;19;36.0000;17.0000;62.0000;12.0000;6.00000;
2005;1;6;20;29.0000;10.0000;45.0000;12.0000;5.20000;
2005;1;6;21;30.0000;6.50000;40.0000;4.20000;5.60000;
2005;1;6;22;27.0000;5.70000;35.0000;9.20000;8.30000;
2005;1;6;23;20.0000;2.50000;24.0000;7.00000;13.0000;
2005;1;6;24;16.0000;3.00000;21.0000;4.50000;16.0000;
2005;1;7;1;15.0000;1.70000;18.0000;-999;-999;
2005;1;7;2;12.0000;1.30000;14.0000;3.80000;27.0000;
2005;1;7;3;10.0000;3.10000;15.0000;5.10000;36.0000;
2005;1;7;4;7.70000;1.10000;9.40000;2.00000;48.0000;
2005;1;7;5;22.0000;3.80000;28.0000;8.70000;21.0000;
2005;1;7;6;27.0000;5.50000;36.0000;6.40000;3.20000;
2005;1;7;7;22.0000;3.20000;27.0000;4.20000;12.0000;
2005;1;7;8;25.0000;4.90000;32.0000;4.40000;9.90000;
2005;1;7;9;25.0000;9.60000;40.0000;12.0000;11.0000;
2005;1;7;10;30.0000;22.0000;64.0000;12.0000;11.0000;
2005;1;7;11;29.0000;14.0000;51.0000;6.80000;19.0000;
2005;1;7;12;27.0000;10.0000;43.0000;16.0000;26.0000;
2005;1;7;13;29.0000;12.0000;48.0000;20.0000;31.0000;
2005;1;7;14;24.0000;4.90000;32.0000;9.20000;39.0000;
2005;1;7;15;26.0000;3.10000;30.0000;7.00000;34.0000;
2005;1;7;16;31.0000;3.10000;35.0000;5.40000;30.0000;
2005;1;7;17;34.0000;3.50000;39.0000;5.20000;17.0000;
2005;1;7;18;36.0000;4.00000;42.0000;5.50000;11.0000;
2005;1;7;19;40.0000;7.70000;52.0000;7.30000;5.60000;
2005;1;7;20;45.0000;19.0000;75.0000;8.80000;3.70000;
2005;1;7;21;38.0000;14.0000;59.0000;8.80000;3.40000;
2005;1;7;22;36.0000;17.0000;62.0000;8.90000;4.80000;
2005;1;7;23;35.0000;14.0000;56.0000;7.70000;6.80000;
2005;1;7;24;13.0000;1.90000;15.0000;3.20000;34.0000;
2005;1;8;1;12.0000;1.30000;14.0000;-999;-999;
2005;1;8;2;10.0000;1.30000;12.0000;3.00000;36.0000;
2005;1;8;3;10.0000;1.70000;13.0000;3.90000;36.0000;
2005;1;8;4;11.0000;1.40000;13.0000;3.10000;30.0000;
2005;1;8;5;12.0000;1.40000;14.0000;3.40000;26.0000;
2005;1;8;6;13.0000;1.80000;16.0000;3.80000;26.0000;
2005;1;8;7;12.0000;1.40000;14.0000;3.60000;33.0000;
2005;1;8;8;16.0000;2.20000;20.0000;4.80000;27.0000;
2005;1;8;9;19.0000;2.40000;22.0000;4.80000;20.0000;
