year;month;day;hour;TEMP;WS;WD;
2005; 1; 1; 1;-1.2;0.60;70.0;
2005; 1; 1; 2;-1.8;0.80;72.0;
2005; 1; 1; 3;-1.4;1.30;49.0;
2005; 1; 1; 4;-1.0;1.90;68.0;
2005; 1; 1; 5;-0.4;1.40;56.0;
2005; 1; 1; 6;-0.1;1.60;50.0;
2005; 1; 1; 7;-0.2;1.80;51.0;
2005; 1; 1; 8;-1.2;0.70;-999;
2005; 1; 1; 9;-2.0;0.50;71.0;
2005; 1; 1;10;-2.0;1.10;59.0;
2005; 1; 1;11;-1.6;0.70;62.0;
2005; 1; 1;12;-1.5;0.60;42.0;
2005; 1; 1;13;4.91;0.80;66.0;
2005; 1; 1;14;5.31;0.30;157.;
2005; 1; 1;15;1.81;0.50;194.;
2005; 1; 1;16;1.71;0.40;128.;
2005; 1; 1;17;1.41;0.60;115.;
2005; 1; 1;18;1.61;1.20;106.;
2005; 1; 1;19;1.11;1.90;65.0;
2005; 1; 1;20;1.11;1.50;58.0;
2005; 1; 1;21;0.71;2.30;58.0;
2005; 1; 1;22;0.51;1.80;56.0;
2005; 1; 1;23;0.11;2.30;50.0;
2005; 1; 1;24;0.30;1.30;63.0;
2005; 1; 2; 1;-0.5;0.90;57.0;
2005; 1; 2; 2;-0.4;1.80;51.0;
2005; 1; 2; 3;-0.6;1.30;56.0;
2005; 1; 2; 4;-0.7;0.70;71.0;
2005; 1; 2; 5;-0.0;2.30;57.0;
2005; 1; 2; 6;-0.7;1.10;51.0;
2005; 1; 2; 7;-1.3;0.60;-999;
2005; 1; 2; 8;-1.5;1.00;62.0;
2005; 1; 2; 9;-1.3;1.80;54.0;
2005; 1; 2;10;-1.2;1.80;49.0;
2005; 1; 2;11;-0.5;2.20;43.0;
2005; 1; 2;12;-0.9;0.80;54.0;
2005; 1; 2;13;6.11;0.50;70.0;
2005; 1; 2;14;6.31;0.50;177.;
2005; 1; 2;15;2.41;0.60;211.;
2005; 1; 2;16;2.01;0.40;112.;
2005; 1; 2;17;2.11;0.60;111.;
2005; 1; 2;18;2.51;1.80;96.0;
2005; 1; 2;19;1.81;1.80;60.0;
2005; 1; 2;20;1.71;1.90;57.0;
2005; 1; 2;21;2.01;2.20;57.0;
2005; 1; 2;22;1.71;2.00;57.0;
2005; 1; 2;23;1.31;1.70;68.0;
2005; 1; 2;24;1.11;1.60;88.0;
2005; 1; 3; 1;2.31;2.30;97.0;
2005; 1; 3; 2;4.01;1.90;113.;
2005; 1; 3; 3;3.71;1.30;109.;
2005; 1; 3; 4;3.71;2.40;113.;
2005; 1; 3; 5;3.91;3.10;112.;
2005; 1; 3; 6;3.61;3.20;111.;
2005; 1; 3; 7;3.51;3.10;111.;
2005; 1; 3; 8;3.11;3.30;87.0;
2005; 1; 3; 9;3.01;3.30;75.0;
2005; 1; 3;10;1.01;2.70;50.0;
2005; 1; 3;11;1.01;2.50;56.0;
2005; 1; 3;12;0.71;2.50;52.0;
2005; 1; 3;13;5.51;1.90;59.0;
2005; 1; 3;14;7.71;1.50;58.0;
2005; 1; 3;15;5.31;1.50;59.0;
2005; 1; 3;16;5.41;1.50;75.0;
2005; 1; 3;17;6.01;0.80;124.;
2005; 1; 3;18;5.81;1.50;66.0;
2005; 1; 3;19;4.71;2.80;97.0;
2005; 1; 3;20;3.91;2.70;61.0;
2005; 1; 3;21;3.61;2.90;70.0;
2005; 1; 3;22;3.21;2.70;62.0;
2005; 1; 3;23;3.21;2.60;57.0;
2005; 1; 3;24;1.31;2.40;55.0;
2005; 1; 4; 1;0.80;2.70;58.0;
2005; 1; 4; 2;0.91;2.80;55.0;
2005; 1; 4; 3;0.61;2.70;58.0;
2005; 1; 4; 4;0.30;2.60;54.0;
2005; 1; 4; 5;0.51;2.90;48.0;
2005; 1; 4; 6;1.11;2.50;54.0;
2005; 1; 4; 7;1.41;2.30;54.0;
2005; 1; 4; 8;2.11;3.10;67.0;
2005; 1; 4; 9;2.11;2.90;77.0;
2005; 1; 4;10;2.21;2.70;64.0;
2005; 1; 4;11;3.41;3.50;75.0;
2005; 1; 4;12;3.31;2.70;66.0;
2005; 1; 4;13;7.71;2.70;55.0;
2005; 1; 4;14;8.91;1.90;70.0;
2005; 1; 4;15;5.91;1.90;76.0;
2005; 1; 4;16;6.21;2.10;72.0;
2005; 1; 4;17;6.11;2.00;57.0;
2005; 1; 4;18;5.21;2.00;73.0;
2005; 1; 4;19;4.91;2.60;53.0;
2005; 1; 4;20;4.01;2.30;57.0;
2005; 1; 4;21;3.11;2.50;49.0;
2005; 1; 4;22;4.51;2.80;50.0;
2005; 1; 4;23;4.41;2.60;58.0;
2005; 1; 4;24;2.11;0.50;66.0;
2005; 1; 5; 1;0.51;0.60;85.0;
2005; 1; 5; 2;1.41;2.60;57.0;
2005; 1; 5; 3;1.61;2.60;48.0;
2005; 1; 5; 4;1.31;1.90;45.0;
2005; 1; 5; 5;0.71;2.40;45.0;
2005; 1; 5; 6;1.71;2.80;45.0;
2005; 1; 5; 7;1.31;2.90;49.0;
2005; 1; 5; 8;1.81;2.60;51.0;
2005; 1; 5; 9;1.51;0.90;231.;
2005; 1; 5;10;0.71;0.70;88.0;
2005; 1; 5;11;1.71;0.80;61.0;
2005; 1; 5;12;3.11;1.00;59.0;
2005; 1; 5;13;4.21;0.40;-999;
2005; 1; 5;14;5.71;0.40;203.;
2005; 1; 5;15;3.71;0.50;143.;
2005; 1; 5;16;3.51;0.70;117.;
2005; 1; 5;17;3.21;0.80;112.;
2005; 1; 5;18;3.31;1.50;102.;
2005; 1; 5;19;2.71;1.40;65.0;
2005; 1; 5;20;1.91;1.40;56.0;
2005; 1; 5;21;1.81;1.70;55.0;
2005; 1; 5;22;0.80;1.30;53.0;
2005; 1; 5;23;0.91;1.70;50.0;
2005; 1; 5;24;0.21;0.80;60.0;
2005; 1; 6; 1;-0.4;0.60;57.0;
2005; 1; 6; 2;-0.7;1.60;55.0;
2005; 1; 6; 3;-0.6;1.30;48.0;
2005; 1; 6; 4;-0.9;1.30;64.0;
2005; 1; 6; 5;-0.7;2.10;51.0;
2005; 1; 6; 6;-1.6;1.10;70.0;
2005; 1; 6; 7;-2.0;1.00;53.0;
2005; 1; 6; 8;-1.6;1.30;59.0;
2005; 1; 6; 9;-1.9;2.20;63.0;
2005; 1; 6;10;-0.7;2.30;58.0;
2005; 1; 6;11;1.11;3.10;62.0;
2005; 1; 6;12;1.51;2.10;57.0;
2005; 1; 6;13;7.11;2.30;68.0;
2005; 1; 6;14;9.41;1.30;75.0;
2005; 1; 6;15;6.41;2.30;64.0;
2005; 1; 6;16;7.01;2.50;58.0;
2005; 1; 6;17;6.91;2.60;62.0;
2005; 1; 6;18;5.91;2.00;54.0;
2005; 1; 6;19;5.31;1.90;58.0;
2005; 1; 6;20;4.51;2.20;53.0;
2005; 1; 6;21;5.31;2.80;60.0;
2005; 1; 6;22;5.31;3.10;58.0;
2005; 1; 6;23;4.61;3.00;57.0;
2005; 1; 6;24;3.71;3.00;55.0;
2005; 1; 7; 1;3.51;3.20;52.0;
2005; 1; 7; 2;3.11;3.10;54.0;
2005; 1; 7; 3;4.01;2.60;53.0;
2005; 1; 7; 4;4.51;2.30;50.0;
2005; 1; 7; 5;5.11;3.20;77.0;
2005; 1; 7; 6;5.01;2.90;69.0;
2005; 1; 7; 7;3.81;2.40;57.0;
2005; 1; 7; 8;3.01;2.10;49.0;
2005; 1; 7; 9;1.81;2.50;50.0;
2005; 1; 7;10;2.91;2.60;52.0;
2005; 1; 7;11;4.51;2.80;67.0;
2005; 1; 7;12;3.71;2.40;50.0;
2005; 1; 7;13;9.61;1.10;236.;
2005; 1; 7;14;9.71;1.00;212.;
2005; 1; 7;15;5.61;0.60;197.;
2005; 1; 7;16;4.71;0.40;123.;
2005; 1; 7;17;4.91;1.30;114.;
2005; 1; 7;18;4.61;1.40;109.;
2005; 1; 7;19;4.31;1.60;64.0;
2005; 1; 7;20;3.71;1.60;60.0;
2005; 1; 7;21;3.21;1.20;45.0;
2005; 1; 7;22;2.91;1.30;64.0;
2005; 1; 7;23;1.31;0.30;89.0;
2005; 1; 7;24;0.61;0.90;75.0;
2005; 1; 8; 1;0.30;1.10;63.0;
2005; 1; 8; 2;0.41;1.30;59.0;
2005; 1; 8; 3;-0.4;1.40;49.0;
2005; 1; 8; 4;-0.9;0.70;55.0;
2005; 1; 8; 5;-1.0;1.00;58.0;
2005; 1; 8; 6;-1.3;0.60;58.0;
2005; 1; 8; 7;-1.8;0.90;59.0;
2005; 1; 8; 8;-2.2;0.90;56.0;
2005; 1; 8; 9;-1.9;1.10;53.0;
2005; 1; 8;10;-1.6;1.60;54.0;
2005; 1; 8;11;-1.8;0.90;55.0;
2005; 1; 8;12;-1.0;0.90;55.0;
2005; 1; 8;13;6.11;0.80;64.0;
2005; 1; 8;14;6.91;1.20;68.0;
2005; 1; 8;15;3.61;1.10;74.0;
2005; 1; 8;16;3.31;0.60;113.;
2005; 1; 8;17;2.81;0.70;115.;
2005; 1; 8;18;2.61;0.80;104.;
2005; 1; 8;19;2.51;1.60;63.0;
2005; 1; 8;20;1.91;2.00;54.0;
2005; 1; 8;21;1.31;2.00;54.0;
2005; 1; 8;22;1.01;1.80;51.0;
2005; 1; 8;23;1.11;2.30;55.0;
2005; 1; 8;24;1.91;2.10;48.0;
2005; 1; 9; 1;2.01;2.40;61.0;
2005; 1; 9; 2;1.41;2.00;53.0;
2005; 1; 9; 3;1.01;2.00;58.0;
2005; 1; 9; 4;0.80;2.00;51.0;
2005; 1; 9; 5;1.01;2.20;66.0;
2005; 1; 9; 6;0.71;1.80;64.0;
2005; 1; 9; 7;0.11;1.90;57.0;
2005; 1; 9; 8;0.30;2.20;49.0;
2005; 1; 9; 9;0.91;2.60;53.0;
2005; 1; 9;10;0.71;2.40;67.0;
2005; 1; 9;11;1.81;1.70;49.0;
2005; 1; 9;12;2.21;1.50;46.0;
2005; 1; 9;13;4.41;0.50;245.;
