year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;29.0000;4.00000;35.0000;14.0000;49.0000;
2005;1;1;2;25.0000;4.00000;31.0000;20.0000;108.000;
2005;1;1;3;27.0000;5.00000;35.0000;10.0000;59.0000;
2005;1;1;4;25.0000;6.00000;34.0000;10.0000;60.0000;
2005;1;1;5;28.0000;6.00000;37.0000;10.0000;53.0000;
2005;1;1;6;31.0000;6.00000;40.0000;9.00000;47.0000;
2005;1;1;7;27.0000;4.00000;33.0000;11.0000;30.0000;
2005;1;1;8;29.0000;4.00000;35.0000;12.0000;23.0000;
2005;1;1;9;27.0000;6.00000;36.0000;16.0000;22.0000;
2005;1;1;10;29.0000;13.0000;49.0000;17.0000;23.0000;
2005;1;1;11;30.0000;11.0000;47.0000;38.0000;27.0000;
2005;1;1;12;14.0000;4.00000;20.0000;61.0000;21.0000;
2005;1;1;13;10.0000;3.00000;15.0000;68.0000;22.0000;
2005;1;1;14;9.00000;3.00000;14.0000;68.0000;21.0000;
2005;1;1;15;13.0000;3.00000;18.0000;67.0000;27.0000;
2005;1;1;16;16.0000;3.00000;21.0000;62.0000;33.0000;
2005;1;1;17;25.0000;3.00000;30.0000;48.0000;34.0000;
2005;1;1;18;35.0000;11.0000;52.0000;25.0000;36.0000;
2005;1;1;19;42.0000;16.0000;66.0000;10.0000;47.0000;
2005;1;1;20;46.0000;32.0000;95.0000;9.00000;69.0000;
2005;1;1;21;50.0000;34.0000;102.000;12.0000;78.0000;
2005;1;1;22;45.0000;29.0000;89.0000;9.00000;66.0000;
2005;1;1;23;48.0000;34.0000;100.000;9.00000;59.0000;
2005;1;1;24;38.0000;19.0000;67.0000;10.0000;40.0000;
2005;1;2;1;23.0000;2.00000;26.0000;19.0000;34.0000;
2005;1;2;2;36.0000;9.00000;50.0000;11.0000;27.0000;
2005;1;2;3;39.0000;13.0000;59.0000;5.00000;22.0000;
2005;1;2;4;31.0000;5.00000;39.0000;14.0000;20.0000;
2005;1;2;5;20.0000;3.00000;25.0000;20.0000;16.0000;
2005;1;2;6;16.0000;2.00000;19.0000;18.0000;17.0000;
2005;1;2;7;18.0000;5.00000;26.0000;19.0000;16.0000;
2005;1;2;8;23.0000;6.00000;32.0000;16.0000;17.0000;
2005;1;2;9;26.0000;8.00000;38.0000;15.0000;23.0000;
2005;1;2;10;39.0000;22.0000;73.0000;18.0000;23.0000;
2005;1;2;11;39.0000;18.0000;67.0000;37.0000;29.0000;
2005;1;2;12;17.0000;5.00000;25.0000;59.0000;25.0000;
2005;1;2;13;15.0000;4.00000;21.0000;63.0000;25.0000;
2005;1;2;14;12.0000;3.00000;17.0000;67.0000;22.0000;
2005;1;2;15;13.0000;3.00000;18.0000;72.0000;27.0000;
2005;1;2;16;21.0000;4.00000;27.0000;62.0000;30.0000;
2005;1;2;17;44.0000;12.0000;62.0000;36.0000;46.0000;
2005;1;2;18;52.0000;18.0000;80.0000;14.0000;48.0000;
2005;1;2;19;58.0000;27.0000;99.0000;10.0000;69.0000;
2005;1;2;20;59.0000;43.0000;125.000;11.0000;83.0000;
2005;1;2;21;62.0000;70.0000;169.000;10.0000;83.0000;
2005;1;2;22;59.0000;58.0000;148.000;9.00000;70.0000;
2005;1;2;23;59.0000;52.0000;138.000;8.00000;61.0000;
2005;1;2;24;59.0000;35.0000;112.000;7.00000;48.0000;
2005;1;3;1;49.0000;12.0000;67.0000;17.0000;30.0000;
2005;1;3;2;25.0000;3.00000;30.0000;38.0000;20.0000;
2005;1;3;3;20.0000;2.00000;23.0000;35.0000;18.0000;
2005;1;3;4;20.0000;2.00000;23.0000;36.0000;13.0000;
2005;1;3;5;18.0000;2.00000;21.0000;31.0000;12.0000;
2005;1;3;6;20.0000;3.00000;25.0000;26.0000;10.0000;
2005;1;3;7;44.0000;16.0000;68.0000;10.0000;23.0000;
2005;1;3;8;62.0000;41.0000;125.000;8.00000;30.0000;
2005;1;3;9;58.0000;54.0000;141.000;8.00000;33.0000;
2005;1;3;10;62.0000;71.0000;170.000;11.0000;42.0000;
2005;1;3;11;64.0000;52.0000;143.000;22.0000;43.0000;
2005;1;3;12;30.0000;11.0000;47.0000;54.0000;27.0000;
2005;1;3;13;20.0000;6.00000;29.0000;66.0000;25.0000;
2005;1;3;14;12.0000;3.00000;17.0000;72.0000;14.0000;
2005;1;3;15;16.0000;5.00000;24.0000;70.0000;21.0000;
2005;1;3;16;26.0000;7.00000;37.0000;58.0000;26.0000;
2005;1;3;17;51.0000;17.0000;77.0000;35.0000;48.0000;
2005;1;3;18;66.0000;34.0000;118.000;10.0000;65.0000;
