year;month;day;hour;NO2;NO;NOx;PM10;
2005;1;1;1;-999;-999;-999;87.0000;
2005;1;1;2;52.0000;88.0000;186.000;87.0000;
2005;1;1;3;50.0000;78.0000;170.000;87.0000;
2005;1;1;4;50.0000;84.0000;178.000;87.0000;
2005;1;1;5;50.0000;88.0000;184.000;87.0000;
2005;1;1;6;51.0000;87.0000;184.000;87.0000;
2005;1;1;7;53.0000;95.0000;199.000;87.0000;
2005;1;1;8;54.0000;65.0000;154.000;87.0000;
2005;1;1;9;54.0000;65.0000;153.000;87.0000;
2005;1;1;10;53.0000;36.0000;109.000;87.0000;
2005;1;1;11;48.0000;16.0000;72.0000;87.0000;
2005;1;1;12;49.0000;14.0000;70.0000;87.0000;
2005;1;1;13;52.0000;13.0000;72.0000;87.0000;
2005;1;1;14;25.0000;0.000000;26.0000;87.0000;
2005;1;1;15;35.0000;1.00000;37.0000;87.0000;
2005;1;1;16;49.0000;4.00000;55.0000;87.0000;
2005;1;1;17;64.0000;10.0000;80.0000;87.0000;
2005;1;1;18;68.0000;14.0000;90.0000;87.0000;
2005;1;1;19;68.0000;10.0000;84.0000;87.0000;
2005;1;1;20;68.0000;13.0000;88.0000;87.0000;
2005;1;1;21;67.0000;23.0000;102.000;87.0000;
2005;1;1;22;66.0000;46.0000;136.000;87.0000;
2005;1;1;23;64.0000;54.0000;146.000;87.0000;
2005;1;1;24;58.0000;50.0000;135.000;87.0000;
2005;1;2;1;52.0000;68.0000;156.000;67.0000;
2005;1;2;2;52.0000;66.0000;154.000;67.0000;
2005;1;2;3;52.0000;62.0000;146.000;67.0000;
2005;1;2;4;48.0000;59.0000;138.000;67.0000;
2005;1;2;5;45.0000;59.0000;136.000;67.0000;
2005;1;2;6;40.0000;56.0000;126.000;67.0000;
2005;1;2;7;45.0000;49.0000;120.000;67.0000;
2005;1;2;8;43.0000;68.0000;147.000;67.0000;
2005;1;2;9;47.0000;79.0000;167.000;67.0000;
2005;1;2;10;55.0000;98.0000;205.000;67.0000;
2005;1;2;11;59.0000;62.0000;153.000;67.0000;
2005;1;2;12;61.0000;45.0000;130.000;67.0000;
2005;1;2;13;43.0000;10.0000;59.0000;67.0000;
2005;1;2;14;40.0000;6.00000;49.0000;67.0000;
2005;1;2;15;39.0000;5.00000;47.0000;67.0000;
