year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;80.0000;88.0000;215.000;1.00000;189.000;
2005;1;1;2;75.0000;92.0000;216.000;0.000000;187.000;
2005;1;1;3;74.0000;85.0000;204.000;0.000000;167.000;
2005;1;1;4;77.0000;93.0000;220.000;0.000000;165.000;
2005;1;1;5;75.0000;68.0000;179.000;0.000000;116.000;
2005;1;1;6;69.0000;32.0000;119.000;0.000000;71.0000;
2005;1;1;7;66.0000;26.0000;106.000;0.000000;55.0000;
2005;1;1;8;70.0000;35.0000;123.000;0.000000;48.0000;
2005;1;1;9;69.0000;33.0000;120.000;0.000000;43.0000;
2005;1;1;10;65.0000;31.0000;113.000;1.00000;41.0000;
2005;1;1;11;59.0000;20.0000;90.0000;4.00000;39.0000;
2005;1;1;12;63.0000;18.0000;91.0000;10.0000;51.0000;
2005;1;1;13;75.0000;23.0000;111.000;10.0000;48.0000;
2005;1;1;14;77.0000;20.0000;107.000;11.0000;45.0000;
2005;1;1;15;78.0000;18.0000;106.000;12.0000;53.0000;
2005;1;1;16;83.0000;21.0000;115.000;7.00000;61.0000;
2005;1;1;17;93.0000;52.0000;173.000;4.00000;80.0000;
2005;1;1;18;108.000;93.0000;250.000;3.00000;120.000;
2005;1;1;19;111.000;128.000;307.000;3.00000;129.000;
2005;1;1;20;109.000;167.000;364.000;4.00000;114.000;
2005;1;1;21;104.000;155.000;341.000;3.00000;104.000;
2005;1;1;22;94.0000;96.0000;241.000;3.00000;87.0000;
2005;1;1;23;86.0000;83.0000;213.000;1.00000;86.0000;
2005;1;1;24;78.0000;44.0000;145.000;0.000000;65.0000;
2005;1;2;1;67.0000;28.0000;110.000;0.000000;52.0000;
2005;1;2;2;64.0000;27.0000;106.000;0.000000;53.0000;
2005;1;2;3;58.0000;35.0000;112.000;0.000000;55.0000;
2005;1;2;4;53.0000;45.0000;123.000;0.000000;42.0000;
2005;1;2;5;51.0000;26.0000;91.0000;0.000000;32.0000;
2005;1;2;6;53.0000;24.0000;90.0000;0.000000;44.0000;
2005;1;2;7;58.0000;36.0000;113.000;0.000000;45.0000;
2005;1;2;8;59.0000;51.0000;136.000;0.000000;38.0000;
2005;1;2;9;56.0000;54.0000;139.000;0.000000;37.0000;
2005;1;2;10;65.0000;52.0000;145.000;0.000000;40.0000;
2005;1;2;11;72.0000;40.0000;133.000;3.00000;45.0000;
2005;1;2;12;71.0000;26.0000;111.000;8.00000;43.0000;
2005;1;2;13;55.0000;11.0000;73.0000;24.0000;19.0000;
2005;1;2;14;42.0000;5.00000;50.0000;34.0000;10.0000;
2005;1;2;15;43.0000;7.00000;54.0000;34.0000;4.00000;
2005;1;2;16;43.0000;4.00000;49.0000;36.0000;22.0000;
2005;1;2;17;69.0000;18.0000;96.0000;17.0000;33.0000;
2005;1;2;18;99.0000;100.000;252.000;3.00000;47.0000;
2005;1;2;19;100.000;115.000;276.000;2.00000;78.0000;
2005;1;2;20;92.0000;93.0000;235.000;1.00000;85.0000;
2005;1;2;21;91.0000;89.0000;227.000;2.00000;87.0000;
2005;1;2;22;89.0000;71.0000;198.000;1.00000;80.0000;
2005;1;2;23;85.0000;95.0000;230.000;1.00000;82.0000;
2005;1;2;24;77.0000;54.0000;160.000;0.000000;60.0000;
2005;1;3;1;57.0000;17.0000;83.0000;11.0000;17.0000;
2005;1;3;2;24.0000;1.00000;25.0000;47.0000;0.000000;
2005;1;3;3;16.0000;0.000000;17.0000;56.0000;0.000000;
2005;1;3;4;21.0000;2.00000;24.0000;50.0000;0.000000;
2005;1;3;5;14.0000;1.00000;15.0000;58.0000;0.000000;
2005;1;3;6;24.0000;3.00000;29.0000;47.0000;2.00000;
2005;1;3;7;30.0000;5.00000;37.0000;41.0000;3.00000;
2005;1;3;8;58.0000;20.0000;88.0000;15.0000;10.0000;
2005;1;3;9;81.0000;67.0000;183.000;1.00000;35.0000;
2005;1;3;10;94.0000;114.000;268.000;1.00000;59.0000;
2005;1;3;11;100.000;147.000;325.000;1.00000;95.0000;
2005;1;3;12;91.0000;83.0000;218.000;3.00000;40.0000;
2005;1;3;13;84.0000;81.0000;209.000;8.00000;32.0000;
2005;1;3;14;39.0000;9.00000;54.0000;38.0000;1.00000;
2005;1;3;15;44.0000;15.0000;66.0000;32.0000;4.00000;
2005;1;3;16;46.0000;14.0000;66.0000;30.0000;8.00000;
2005;1;3;17;67.0000;35.0000;121.000;11.0000;83.0000;
2005;1;3;18;86.0000;87.0000;220.000;2.00000;79.0000;
2005;1;3;19;98.0000;158.000;340.000;2.00000;100.000;
2005;1;3;20;93.0000;114.000;268.000;1.00000;82.0000;
2005;1;3;21;96.0000;135.000;303.000;2.00000;89.0000;
2005;1;3;22;103.000;181.000;381.000;2.00000;96.0000;
2005;1;3;23;97.0000;172.000;361.000;1.00000;94.0000;
2005;1;3;24;91.0000;125.000;282.000;1.00000;85.0000;
2005;1;4;1;84.0000;110.000;253.000;0.000000;76.0000;
2005;1;4;2;84.0000;84.0000;212.000;0.000000;67.0000;
2005;1;4;3;81.0000;83.0000;208.000;0.000000;63.0000;
2005;1;4;4;75.0000;73.0000;187.000;0.000000;54.0000;
2005;1;4;5;69.0000;65.0000;170.000;0.000000;43.0000;
2005;1;4;6;70.0000;79.0000;191.000;0.000000;47.0000;
2005;1;4;7;73.0000;104.000;232.000;0.000000;64.0000;
2005;1;4;8;87.0000;153.000;322.000;0.000000;46.0000;
2005;1;4;9;102.000;268.000;513.000;0.000000;69.0000;
2005;1;4;10;117.000;299.000;575.000;0.000000;91.0000;
2005;1;4;11;123.000;250.000;507.000;0.000000;105.000;
2005;1;4;12;112.000;135.000;320.000;1.00000;76.0000;
2005;1;4;13;79.0000;44.0000;146.000;9.00000;10.0000;
2005;1;4;14;54.0000;11.0000;71.0000;25.0000;2.00000;
2005;1;4;15;50.0000;10.0000;66.0000;27.0000;5.00000;
2005;1;4;16;54.0000;11.0000;70.0000;24.0000;24.0000;
2005;1;4;17;71.0000;14.0000;92.0000;14.0000;38.0000;
2005;1;4;18;98.0000;57.0000;186.000;2.00000;30.0000;
2005;1;4;19;99.0000;66.0000;200.000;3.00000;59.0000;
2005;1;4;20;100.000;69.0000;206.000;3.00000;62.0000;
2005;1;4;21;103.000;100.000;256.000;3.00000;69.0000;
2005;1;4;22;99.0000;117.000;278.000;2.00000;76.0000;
2005;1;4;23;93.0000;63.0000;188.000;2.00000;52.0000;
2005;1;4;24;83.0000;42.0000;148.000;1.00000;48.0000;
2005;1;5;1;71.0000;22.0000;104.000;1.00000;40.0000;
2005;1;5;2;64.0000;15.0000;88.0000;1.00000;38.0000;
2005;1;5;3;57.0000;13.0000;77.0000;1.00000;33.0000;
2005;1;5;4;53.0000;9.00000;67.0000;2.00000;31.0000;
2005;1;5;5;49.0000;8.00000;62.0000;2.00000;25.0000;
2005;1;5;6;53.0000;11.0000;70.0000;2.00000;22.0000;
