year;month;day;hour;NO2;NO;NOx;SO2;O3;TEMP;WS;WD;
2005;1;1;1;65.0000;125.000;257.000;13.0000;15.0000;-3.0;0.80;206.;
2005;1;1;2;68.0000;68.0000;173.000;8.00000;4.00000;1.11;0.60;46.0;
2005;1;1;3;70.0000;67.0000;174.000;6.00000;4.00000;1.61;0.60;52.0;
2005;1;1;4;55.0000;38.0000;112.000;6.00000;6.00000;2.11;0.60;46.0;
2005;1;1;5;57.0000;31.0000;105.000;6.00000;5.00000;1.91;0.00;-999;
2005;1;1;6;49.0000;14.0000;70.0000;5.00000;13.0000;1.01;0.60;30.0;
2005;1;1;7;48.0000;7.00000;59.0000;6.00000;13.0000;0.01;0.60;44.0;
2005;1;1;8;50.0000;7.00000;60.0000;7.00000;12.0000;-0.4;0.60;32.0;
2005;1;1;9;49.0000;8.00000;61.0000;7.00000;12.0000;-1.1;0.60;28.0;
2005;1;1;10;52.0000;30.0000;98.0000;8.00000;11.0000;-1.3;0.50;37.0;
2005;1;1;11;59.0000;41.0000;122.000;8.00000;15.0000;0.21;0.00;-999;
2005;1;1;12;44.0000;16.0000;69.0000;7.00000;34.0000;3.41;0.70;187.;
2005;1;1;13;35.0000;9.00000;48.0000;6.00000;44.0000;7.71;1.00;185.;
2005;1;1;14;23.0000;1.00000;26.0000;5.00000;58.0000;8.71;1.10;185.;
2005;1;1;15;18.0000;0.000000;18.0000;4.00000;61.0000;9.61;1.00;191.;
2005;1;1;16;33.0000;1.00000;34.0000;6.00000;45.0000;9.71;0.90;209.;
2005;1;1;17;60.0000;9.00000;73.0000;7.00000;16.0000;7.91;1.00;202.;
2005;1;1;18;67.0000;11.0000;85.0000;7.00000;9.00000;6.11;0.70;204.;
2005;1;1;19;74.0000;45.0000;143.000;8.00000;4.00000;3.31;1.00;4.00;
2005;1;1;20;72.0000;34.0000;124.000;6.00000;7.00000;1.81;0.60;29.0;
2005;1;1;21;61.0000;21.0000;93.0000;6.00000;6.00000;1.61;0.70;27.0;
2005;1;1;22;59.0000;20.0000;89.0000;6.00000;5.00000;0.51;0.00;-999;
2005;1;1;23;55.0000;16.0000;79.0000;6.00000;12.0000;0.11;0.50;44.0;
2005;1;1;24;44.0000;10.0000;60.0000;5.00000;15.0000;0.71;0.70;31.0;
2005;1;2;1;43.0000;10.0000;58.0000;5.00000;17.0000;1.01;0.60;57.0;
2005;1;2;2;32.0000;2.00000;35.0000;5.00000;19.0000;1.31;0.40;-999;
2005;1;2;3;28.0000;1.00000;30.0000;5.00000;24.0000;1.01;0.00;-999;
2005;1;2;4;28.0000;1.00000;29.0000;5.00000;19.0000;1.71;0.60;56.0;
2005;1;2;5;29.0000;0.000000;29.0000;5.00000;17.0000;1.11;0.00;-999;
