year;month;day;hour;NO2;NO;NOx;SO2;O3;PM10;
2005;1;1;1;59.0000;54.0000;141.800;3.00000;5.00000;58.0000;
2005;1;1;2;58.0000;25.0000;96.3333;2.00000;4.00000;58.0000;
2005;1;1;3;-999;-999;-999;1.00000;9.00000;58.0000;
2005;1;1;4;54.0000;13.0000;73.9333;1.00000;9.00000;58.0000;
2005;1;1;5;60.0000;16.0000;84.5333;0.000000;4.00000;58.0000;
2005;1;1;6;55.0000;11.0000;71.8667;0.000000;-999;58.0000;
2005;1;1;7;53.0000;19.0000;82.1333;1.00000;6.00000;58.0000;
2005;1;1;8;54.0000;36.0000;109.200;3.00000;3.00000;58.0000;
2005;1;1;9;48.0000;95.0000;193.667;9.00000;3.00000;58.0000;
2005;1;1;10;48.0000;122.000;235.067;11.0000;4.00000;58.0000;
2005;1;1;11;49.0000;90.0000;187.000;7.00000;5.00000;58.0000;
2005;1;1;12;52.0000;87.0000;185.400;23.0000;9.00000;58.0000;
2005;1;1;13;45.0000;39.0000;104.800;42.0000;21.0000;58.0000;
2005;1;1;14;20.0000;5.00000;27.6667;11.0000;40.0000;58.0000;
2005;1;1;15;29.0000;6.00000;38.2000;11.0000;36.0000;58.0000;
2005;1;1;16;35.0000;4.00000;41.1333;3.00000;35.0000;58.0000;
2005;1;1;17;54.0000;7.00000;64.7333;3.00000;15.0000;58.0000;
2005;1;1;18;48.0000;2.00000;51.0667;2.00000;17.0000;58.0000;
2005;1;1;19;50.0000;1.00000;51.5333;2.00000;10.0000;58.0000;
2005;1;1;20;57.0000;1.00000;58.5333;6.00000;4.00000;58.0000;
2005;1;1;21;60.0000;6.00000;69.2000;6.00000;2.00000;58.0000;
2005;1;1;22;62.0000;10.0000;77.3333;7.00000;2.00000;58.0000;
2005;1;1;23;60.0000;16.0000;84.5333;10.0000;2.00000;58.0000;
2005;1;1;24;57.0000;35.0000;110.667;14.0000;3.00000;58.0000;
2005;1;2;1;52.0000;81.0000;176.200;6.00000;3.00000;74.0000;
2005;1;2;2;56.0000;52.0000;135.733;7.00000;2.00000;74.0000;
2005;1;2;3;52.0000;49.0000;127.133;5.00000;3.00000;74.0000;
2005;1;2;4;45.0000;57.0000;132.400;9.00000;3.00000;74.0000;
2005;1;2;5;44.0000;64.0000;142.133;6.00000;3.00000;74.0000;
2005;1;2;6;46.0000;52.0000;125.733;3.00000;-999;74.0000;
2005;1;2;7;43.0000;65.0000;142.667;1.00000;3.00000;74.0000;
2005;1;2;8;39.0000;76.0000;155.533;3.00000;3.00000;74.0000;
2005;1;2;9;38.0000;77.0000;156.067;3.00000;2.00000;74.0000;
2005;1;2;10;35.0000;83.0000;162.267;3.00000;3.00000;74.0000;
