year;month;day;hour;NO2;NO;NOx;O3;PM10;
2005;1;1;1;49.0000;58.0000;137.933;5.00000;46.0000;
2005;1;1;2;49.0000;32.0000;98.0667;4.00000;46.0000;
2005;1;1;3;48.0000;17.0000;74.0667;3.00000;46.0000;
2005;1;1;4;41.0000;8.00000;53.2667;7.00000;46.0000;
2005;1;1;5;-999;-999;-999;12.0000;46.0000;
2005;1;1;6;37.0000;7.00000;47.7333;10.0000;46.0000;
2005;1;1;7;40.0000;5.00000;47.6667;9.00000;46.0000;
2005;1;1;8;29.0000;4.00000;35.1333;20.0000;46.0000;
2005;1;1;9;25.0000;5.00000;32.6667;23.0000;46.0000;
2005;1;1;10;22.0000;8.00000;34.2667;29.0000;46.0000;
2005;1;1;11;18.0000;8.00000;30.2667;39.0000;46.0000;
2005;1;1;12;15.0000;7.00000;25.7333;48.0000;46.0000;
2005;1;1;13;16.0000;6.00000;25.2000;53.0000;46.0000;
2005;1;1;14;13.0000;5.00000;20.6667;60.0000;46.0000;
2005;1;1;15;10.0000;4.00000;16.1333;65.0000;46.0000;
2005;1;1;16;13.0000;4.00000;19.1333;61.0000;46.0000;
2005;1;1;17;35.0000;4.00000;41.1333;34.0000;46.0000;
2005;1;1;18;63.0000;10.0000;78.3333;5.00000;46.0000;
2005;1;1;19;64.0000;15.0000;87.0000;4.00000;46.0000;
2005;1;1;20;61.0000;25.0000;99.3333;3.00000;46.0000;
2005;1;1;21;61.0000;48.0000;134.600;5.00000;46.0000;
2005;1;1;22;50.0000;52.0000;129.733;5.00000;46.0000;
2005;1;1;23;50.0000;67.0000;152.733;6.00000;46.0000;
2005;1;1;24;44.0000;65.0000;143.667;5.00000;46.0000;
2005;1;2;1;44.0000;71.0000;152.867;5.00000;64.0000;
2005;1;2;2;41.0000;62.0000;136.067;3.00000;64.0000;
2005;1;2;3;36.0000;48.0000;109.600;2.00000;64.0000;
2005;1;2;4;34.0000;43.0000;99.9333;-999;64.0000;
2005;1;2;5;-999;-999;-999;2.00000;64.0000;
2005;1;2;6;30.0000;37.0000;86.7333;1.00000;64.0000;
2005;1;2;7;35.0000;41.0000;97.8667;2.00000;64.0000;
2005;1;2;8;36.0000;43.0000;101.933;2.00000;64.0000;
2005;1;2;9;33.0000;47.0000;105.067;2.00000;64.0000;
2005;1;2;10;38.0000;42.0000;102.400;7.00000;64.0000;
2005;1;2;11;48.0000;42.0000;112.400;12.0000;64.0000;
2005;1;2;12;45.0000;34.0000;97.1333;18.0000;64.0000;
2005;1;2;13;51.0000;34.0000;103.133;22.0000;64.0000;
2005;1;2;14;52.0000;30.0000;98.0000;23.0000;64.0000;
2005;1;2;15;51.0000;22.0000;84.7333;25.0000;64.0000;
2005;1;2;16;48.0000;12.0000;66.4000;27.0000;64.0000;
2005;1;2;17;59.0000;12.0000;77.4000;11.0000;64.0000;
2005;1;2;18;62.0000;18.0000;89.6000;2.00000;64.0000;
2005;1;2;19;58.0000;34.0000;110.133;5.00000;64.0000;
2005;1;2;20;60.0000;65.0000;159.667;6.00000;64.0000;
2005;1;2;21;59.0000;71.0000;167.867;5.00000;64.0000;
2005;1;2;22;58.0000;82.0000;183.733;5.00000;64.0000;
2005;1;2;23;52.0000;75.0000;167.000;4.00000;64.0000;
2005;1;2;24;52.0000;74.0000;165.467;4.00000;64.0000;
